strategy_name,Strategy,Ticker,Timeframe,Entry_Signal,TakeProfit_Pct,StopLoss_Pct,MaxDays,MomentumExitThreshold,TrendExitThreshold,TrailingStop_Pct,MinDays,Confidence,SampleSize,StatisticalValidity
AMZN_AMZN_SMA_77_81,AMZN_SMA_77_81,AMZN,D,STATISTICAL_DIVERGENCE,15.09,8.05,83,0.02,0.015,3.16,11,0.9,100,LOW
ASML_ASML_SMA_71_80,ASML_SMA_71_80,ASML,D,STATISTICAL_DIVERGENCE,15.0,8.0,454,0.02,0.015,4.54,21,0.9,77,MEDIUM
