strategy_name,Strategy,Ticker,Timeframe,Entry_Signal,TakeProfit_Pct,StopLoss_Pct,MaxDays,MomentumExitThreshold,TrendExitThreshold,TrailingStop_Pct,MinDays,Confidence,SampleSize,StatisticalValidity
TSLA_TSLA_ASSET_DISTRIBUTION,TSLA_ASSET_DISTRIBUTION,TSLA,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,8.57,5,0.9,54,MEDIUM
AAPL_AAPL_ASSET_DISTRIBUTION,AAPL_ASSET_DISTRIBUTION,AAPL,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.22,5,0.9,54,MEDIUM
ADBE_ADBE_ASSET_DISTRIBUTION,ADBE_ASSET_DISTRIBUTION,ADBE,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.03,5,0.9,54,MEDIUM
AMZN_AMZN_ASSET_DISTRIBUTION,AMZN_ASSET_DISTRIBUTION,AMZN,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.2,5,0.9,54,MEDIUM
GME_GME_ASSET_DISTRIBUTION,GME_ASSET_DISTRIBUTION,GME,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,8.66,5,0.9,54,MEDIUM
ASML_ASML_ASSET_DISTRIBUTION,ASML_ASSET_DISTRIBUTION,ASML,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.34,5,0.9,54,MEDIUM
NI_NI_ASSET_DISTRIBUTION,NI_ASSET_DISTRIBUTION,NI,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.49,5,0.9,344,HIGH
RJF_RJF_ASSET_DISTRIBUTION,RJF_ASSET_DISTRIBUTION,RJF,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.9,5,0.9,344,HIGH
DOV_DOV_ASSET_DISTRIBUTION,DOV_ASSET_DISTRIBUTION,DOV,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.78,5,0.9,344,HIGH
SMCI_SMCI_ASSET_DISTRIBUTION,SMCI_ASSET_DISTRIBUTION,SMCI,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,7.7,5,0.9,344,HIGH
