strategy_name,Strategy,Ticker,Timeframe,Entry_Signal,TakeProfit_Pct,StopLoss_Pct,MaxDays,MomentumExitThreshold,TrendExitThreshold,TrailingStop_Pct,MinDays,Confidence,SampleSize,StatisticalValidity
SPG_SPG_ASSET_DISTRIBUTION,SPG_ASSET_DISTRIBUTION,SPG,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.69,5,0.9,7953,HIGH
ADBE_ADBE_ASSET_DISTRIBUTION,ADBE_ASSET_DISTRIBUTION,ADBE,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.98,5,0.9,9809,HIGH
LNC_LNC_ASSET_DISTRIBUTION,LNC_ASSET_DISTRIBUTION,LNC,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.08,5,0.9,11429,HIGH
MTD_MTD_ASSET_DISTRIBUTION,MTD_ASSET_DISTRIBUTION,MTD,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.19,5,0.9,6961,HIGH
EXR_EXR_ASSET_DISTRIBUTION,EXR_ASSET_DISTRIBUTION,EXR,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.14,5,0.9,5266,HIGH
CTSH_CTSH_ASSET_DISTRIBUTION,CTSH_ASSET_DISTRIBUTION,CTSH,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.95,5,0.9,6813,HIGH
CMA_CMA_ASSET_DISTRIBUTION,CMA_ASSET_DISTRIBUTION,CMA,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.33,5,0.9,11429,HIGH
HIMS_HIMS_ASSET_DISTRIBUTION,HIMS_ASSET_DISTRIBUTION,HIMS,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,12.0,5,0.9,1470,HIGH
MSI_MSI_ASSET_DISTRIBUTION,MSI_ASSET_DISTRIBUTION,MSI,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.47,5,0.9,15994,HIGH
TEAM_TEAM_ASSET_DISTRIBUTION,TEAM_ASSET_DISTRIBUTION,TEAM,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,5.95,5,0.9,2416,HIGH
HPQ_HPQ_ASSET_DISTRIBUTION,HPQ_ASSET_DISTRIBUTION,HPQ,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.53,5,0.9,15994,HIGH
LYB_LYB_ASSET_DISTRIBUTION,LYB_ASSET_DISTRIBUTION,LYB,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,4.46,5,0.9,3831,HIGH
