strategy_name,Strategy,Ticker,Timeframe,Entry_Signal,TakeProfit_Pct,StopLoss_Pct,MaxDays,MomentumExitThreshold,TrendExitThreshold,TrailingStop_Pct,MinDays,Confidence,SampleSize,StatisticalValidity
NVDA_NVDA_ASSET_DISTRIBUTION,NVDA_ASSET_DISTRIBUTION,NVDA,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,3.72,5,0.9,6664,HIGH
MSFT_MSFT_ASSET_DISTRIBUTION,MSFT_ASSET_DISTRIBUTION,MSFT,D,STATISTICAL_DIVERGENCE,15.0,8.0,30,0.03571180555555555,0.015,2.03,5,0.9,9915,HIGH
