Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Mean Win Rate [%],SUI20947-USD,SMA,64,71,0,true,false,None,1,51,0.8875201147575464,44.0,1.687112543950246,4.466050672419951,0.7802879152680574,-0.438574121549425,44 days 00:57:36,0.011425959780621572,0.3496343692870201,0.6924131627056672,1.5614848100554215,0,4376,4377 days 00:00:00,1000.0,3815.9703971875183,281.59703971875183,501.57474125685883,100.0,212.6115127080197,62.72050914134346,1454 days 00:00:00,50,-3.815970397186902,99.38412382591365,-18.149536752323794,19.668798570861085,-7.478965533498082,56 days 14:10:54.545454546,34 days 04:17:08.571428571,56.39572735169406,0.4966511872360108,0.18837634601368095,1.1080019179016831,1.2587110199656768,13.715818951208009,1.2012749748203253,0.922354948805461,-0.026909845131222767,,,0.00046152887899828595,0.11630527750756806,2.815970397187545,0.08015266212424299,0.2818344680226552,0,51,4376,,,,
Most Worst Trade [%],SUI20947-USD,SMA,64,71,0,true,false,None,1,51,0.8875201147575464,44.0,1.687112543950246,4.466050672419951,0.7802879152680574,-0.438574121549425,44 days 00:57:36,0.011425959780621572,0.3496343692870201,0.6924131627056672,1.5614848100554215,0,4376,4377 days 00:00:00,1000.0,3815.9703971875183,281.59703971875183,501.57474125685883,100.0,212.6115127080197,62.72050914134346,1454 days 00:00:00,50,-3.815970397186902,99.38412382591365,-18.149536752323794,19.668798570861085,-7.478965533498082,56 days 14:10:54.545454546,34 days 04:17:08.571428571,56.39572735169406,0.4966511872360108,0.18837634601368095,1.1080019179016831,1.2587110199656768,13.715818951208009,1.2012749748203253,0.922354948805461,-0.026909845131222767,,,0.00046152887899828595,0.11630527750756806,2.815970397187545,0.08015266212424299,0.2818344680226552,0,51,4376,,,,
Most Best Trade [%],SUI20947-USD,SMA,65,70,0,true,false,None,1,60,0.8696158024745715,42.3728813559322,1.4916959606933666,3.5412667530942046,0.6871168819604461,-0.597181582236339,37 days 07:43:43.728813558,0.013482632541133455,0.41133455210237657,0.8158135283363802,1.456645373759042,0,4376,4377 days 00:00:00,1000.0,3020.4354366330554,202.04354366330554,501.57474125685883,100.0,227.50074114532808,61.35737405826654,1459 days 00:00:00,59,-3.0204354366328516,131.9710994756441,-19.408504375344545,17.530219373934145,-6.744727821052809,48 days 16:19:12,28 days 23:17:38.823529411,34.29586223846928,0.4397547004775665,0.15737645795147753,1.0950300996166829,1.2436122528525633,13.884359211061897,1.1963279811723433,0.9153259949195596,-0.02690984513122278,,,0.0004065453469465932,0.10244942743054149,2.020435436633069,0.06571081070029683,0.28037882224931376,0,60,4376,,,,
Most Max Drawdown Duration,SUI20947-USD,SMA,66,69,0,true,false,None,1,78,0.8662793471616221,41.55844155844156,1.3290312016297297,2.068260161342952,0.5804107249933962,-0.7398351078570273,28 days 10:35:50.649350649,0.017595978062157222,0.5347349177330896,1.062614259597806,1.1059709272263498,0,4376,4377 days 00:00:00,1000.0,2304.9213846073008,130.49213846073008,501.57474125685883,100.0,251.98812130952615,64.52905966556771,1616 days 00:00:00,77,-2.3049213846070415,81.70566994673881,-19.408504375344542,12.958246387428057,-5.675730043873122,37 days 21:00:00,21 days 17:36:00,16.976965012881955,0.3732530923914549,0.11175847020277066,1.0803918953042015,1.245488034337094,14.267802300968816,1.2117772520764616,0.8915763135946623,-0.026718357890318147,,,0.0003425779230288237,0.08632963660326358,1.3049213846073116,0.049251134496061555,0.27835732872070745,0,78,4376,,,,
Least Max Drawdown [%],SUI20947-USD,SMA,63,71,0,true,false,None,1,46,0.7572965679176139,44.44444444444444,1.6389625106386037,4.816909955707551,0.7456581043815969,-0.5014942372923316,48 days 20:48:00,0.010283363802559415,0.31535648994515536,0.6238574040219378,1.5190438160138071,0,4376,4377 days 00:00:00,1000.0,3500.378989451519,250.03789894515188,501.57474125685883,100.0,186.63296000350886,61.315731929296035,1459 days 00:00:00,45,-3.500378989451292,105.40448938500471,-19.276685460385405,20.86642420082446,-8.022701440385976,62 days 01:12:00,38 days 07:40:48,55.64176374313263,0.475541188390519,0.1796119998902617,1.103425869825077,1.255450012787005,13.771178842761843,1.1881477451215452,0.9286941580756012,-0.027044217460355353,,,0.00044157698269357403,0.11127739963878065,2.5003789894515185,0.07479764743359696,0.28162097093836197,0,46,4376,,,,
Median Win Rate [%],SUI20947-USD,SMA,63,71,0,true,false,None,1,46,0.7572965679176139,44.44444444444444,1.6389625106386037,4.816909955707551,0.7456581043815969,-0.5014942372923316,48 days 20:48:00,0.010283363802559415,0.31535648994515536,0.6238574040219378,1.5190438160138071,0,4376,4377 days 00:00:00,1000.0,3500.378989451519,250.03789894515188,501.57474125685883,100.0,186.63296000350886,61.315731929296035,1459 days 00:00:00,45,-3.500378989451292,105.40448938500471,-19.276685460385405,20.86642420082446,-8.022701440385976,62 days 01:12:00,38 days 07:40:48,55.64176374313263,0.475541188390519,0.1796119998902617,1.103425869825077,1.255450012787005,13.771178842761843,1.1881477451215452,0.9286941580756012,-0.027044217460355353,,,0.00044157698269357403,0.11127739963878065,2.5003789894515185,0.07479764743359696,0.28162097093836197,0,46,4376,,,,
Median Best Trade [%],SUI20947-USD,SMA,63,71,0,true,false,None,1,46,0.7572965679176139,44.44444444444444,1.6389625106386037,4.816909955707551,0.7456581043815969,-0.5014942372923316,48 days 20:48:00,0.010283363802559415,0.31535648994515536,0.6238574040219378,1.5190438160138071,0,4376,4377 days 00:00:00,1000.0,3500.378989451519,250.03789894515188,501.57474125685883,100.0,186.63296000350886,61.315731929296035,1459 days 00:00:00,45,-3.500378989451292,105.40448938500471,-19.276685460385405,20.86642420082446,-8.022701440385976,62 days 01:12:00,38 days 07:40:48,55.64176374313263,0.475541188390519,0.1796119998902617,1.103425869825077,1.255450012787005,13.771178842761843,1.1881477451215452,0.9286941580756012,-0.027044217460355353,,,0.00044157698269357403,0.11127739963878065,2.5003789894515185,0.07479764743359696,0.28162097093836197,0,46,4376,,,,
Median Max Drawdown [%],SUI20947-USD,SMA,62,71,0,true,false,None,1,42,0.6412118703145784,41.46341463414634,1.7697612478807603,5.511492951583845,0.7681610467673947,-0.4560349193807825,53 days 15:13:10.243902439,0.009369287020109689,0.2879341864716636,0.5690127970749542,1.5869472392586024,0,4376,4377 days 00:00:00,1000.0,3728.3914456435036,272.83914456435036,501.57474125685883,100.0,172.1209076865218,66.21553152656091,1616 days 00:00:00,41,-3.7283914456429557,105.90902855694175,-19.02200651799706,24.363277431516135,-7.8418543883681915,73 days 11:17:38.823529412,39 days 14:00:00,66.63706919729621,0.490611858478501,0.17516701539208604,1.1071947473289592,1.2251279947486289,13.762660546193574,1.1838702838475867,0.9352331606217618,-0.026780222530597756,,,0.0004570759348318906,0.11518313557763643,2.728391445643513,0.07870973089884248,0.28255110986444465,0,42,4376,,,,
Mean Max Drawdown [%],SUI20947-USD,SMA,62,72,0,true,false,None,1,40,0.6316468475380741,43.58974358974359,1.7761395454023678,5.577896331397733,0.7539059397709245,-0.4834527722042132,56 days 09:13:50.769230769,0.008912248628884826,0.2742230347349177,0.5415904936014625,1.5295876594326507,0,4376,4377 days 00:00:00,1000.0,3590.8704212861944,259.0870421286195,501.57474125685883,100.0,148.8272087822161,66.38534652420574,1616 days 00:00:00,39,-3.590870421285672,103.61360247942362,-19.02200651799706,24.08376342502167,-8.722091877311671,73 days 11:17:38.823529412,43 days 04:21:49.090909090,66.52464850532,0.481791147531662,0.1694586884018956,1.1050684287743207,1.2281238422166962,13.842111908639895,1.1816674418594169,0.9351771823681936,-0.026780222530597825,,,0.00044764391942368287,0.11280626769476808,2.590870421286194,0.0763781969409647,0.28178675528073055,0,40,4376,,,,
Median Total Fees Paid,SUI20947-USD,SMA,58,76,0,true,false,None,1,37,0.6253648163771754,44.44444444444444,2.1289077627212287,6.514382974762712,0.8137159274346949,-0.36318952171431684,61 days 11:20:00,0.008226691042047532,0.25365630712979886,0.5004570383912248,1.6524143286075432,0,4376,4377 days 00:00:00,1000.0,4194.080508757981,319.40805087579804,501.57474125685883,100.0,150.553148030391,65.6955233304377,1362 days 00:00:00,36,-4.1940805087579065,110.5364581289215,-20.064119945660675,25.138174685409265,-8.384650393754528,87 days 12:00:00,40 days 15:36:00,88.84096081296491,0.5185481504039748,0.19330833719169863,1.1132645297770725,1.2211040992417037,13.523637885884776,1.1763563038595037,0.9463667820069204,-0.02690984513122287,,,0.0004855570735285481,0.12236038252919412,3.194080508758004,0.08604417378527973,0.2839866327829335,0,37,4376,,,,
