Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
AAPL,9.87,SMA,13,37,0,,false,false,1,150,1.581251138347419,51.006711409395976,2.0934187564235556,7.439022184977168,1.1877952385173276,-0.25799051557487473,43 days 03:42:16.912751677,0.009184931506849315,0.28125,0.5606249999999999,2.0922249895248286,0,11200,11201 days 00:00:00,1000.0,1168587.0824278402,116758.70824278402,157354.73830667176,100.0,79749.88452559352,74.62352982324936,1380 days 00:00:00,149,-63913.6383145391,151.8114826732831,-56.63775665208826,22.172925906667107,-7.900384429384963,65 days 16:25:15.789473685,19 days 16:46:01.643835616,8265.105508338122,0.8082101809190119,0.3468355612486395,1.1790484129817584,-1.0794115392099155,59.486310081269366,1.1271587517747368,0.4126623786101653,-0.027339751907697187,None,None,0.0008286205760619262,0.2088123851676054,1167.5870824278315,0.172239124295249,0.31094107743633165,16222.222222222223
ETH-USD,6.51,SMA,51,54,0,,false,false,1,42,1.5293198211316386,60.97560975609756,2.059508322946246,12.108544483647766,1.1412894230989066,0.22036409882478084,35 days 07:01:27.804878048,0.014909090909090908,0.45818181818181813,0.9054545454545454,5.547914927053157,0,2750,2751 days 00:00:00,1000.0,9255.68894670779,825.5688946707791,676.4939213352865,100.0,327.5684330023723,67.13221461880408,1022 days 00:00:00,41,-130.20916103178934,362.37620948075414,-31.19085375651392,27.967223909330936,-12.670642118982192,41 days 16:19:12,25 days 07:30:00,204.5341001887702,0.7881127630726101,0.5116054278981437,1.1809661172686625,-0.5159475780274443,17.572479896566517,1.1404580446446726,0.38033115905669845,-0.04758981273600628,None,None,0.001393255182301381,0.351100305939948,8.255688946707805,0.2261002823899645,0.5361533316116583,2750.0
GD,10.21,SMA,70,85,0,,false,false,1,124,1.4696908384382497,57.72357723577236,2.2347663643064615,6.1304967333005065,0.7946098922624221,-0.7369818490213595,77 days 02:32:11.707317073,0.0053231710615687005,0.16322948661693726,0.3251426064063186,1.0006778344834526,0,15953,15954 days 00:00:00,1000.0,98531.31812113961,9753.131812113961,37081.592186031325,100.0,5153.952039734273,59.91620900635364,1960 days 00:00:00,123,-386.21563118738413,228.0198275862069,-28.967015706806286,16.61214823211324,-8.180988967001495,101 days 04:23:39.718309859,44 days 05:32:18.461538462,796.0775101815204,0.5291931485109301,0.18481252250070232,1.1098933568880585,0.5274848276232043,13.42871893146717,1.0851703863518432,0.4081200353045013,-0.02073972255922024,None,None,0.0003829944266473184,0.09651459551512423,97.53131812113915,0.07520017630964282,0.21949515788232835,23106.527777777777
GOOGL,11.47,EMA,9,46,0,,false,false,1,65,1.3799702038848303,51.5625,2.5946319666563706,6.668699393486766,1.5912629076263158,-0.5349880359872744,53 days 06:00:00,0.00846156671196151,0.2613941018766756,0.5187667560321716,1.7431586886460047,0,5222,5223 days 00:00:00,1000.0,31750.470206727914,3075.0470206727914,6612.834203527372,100.0,1650.359987840939,33.851453399110895,768 days 00:00:00,64,349.124129256812,73.99108161188714,-8.88521442470909,16.602899442621798,-3.906416787850527,88 days 20:21:49.090909091,15 days 08:30:58.064516129,475.0210324604859,1.0285313744730105,0.8074927396474896,1.2184765770745278,1.0663047549826483,16.85304477267978,1.120136289483106,0.5298769771528998,-0.019742060425566584,None,None,0.000761357833603957,0.19186217406819717,30.750470206727933,0.18156234454155173,0.22450084456819955,7563.611111111111
GME,7.35,SMA,50,57,0,,false,false,1,85,1.3589022859694015,51.19047619047619,1.134394741371907,21.38082847494567,1.0216836868283128,-0.19518427279110565,35 days 10:17:08.571428571,0.009905127335259641,0.304867634500427,0.6061485909479079,6.518322600816058,0,5855,5856 days 00:00:00,1000.0,9180.290782538588,818.0290782538588,1016.4178588939711,100.0,1131.3264375219464,93.81538255181164,1743 days 00:00:00,84,-120.56787196304322,1729.1080386572514,-47.136348983764634,52.71432171896387,-11.481127854146585,40 days 13:23:43.255813953,30 days 01:10:14.634146341,98.8197458869239,0.5197583712847409,0.15796014271262687,1.188179494188971,10.747954861174655,298.58394929628145,1.2336333406109685,0.34127347686669723,-0.03585760530257004,None,None,0.0011735411388293243,0.2957323669849897,8.18029078253853,0.10010565180327213,0.6847681123061423,8480.45634920635
LMT,11.08,SMA,59,87,0,,false,false,1,82,1.305995501716225,61.72839506172839,1.7567869940902399,5.074703583560787,0.6514974675239925,-0.968313443136385,91 days 06:31:06.666666666,0.004585003498502327,0.14118225793227843,0.2806427810117242,0.7164581102641366,0,12197,12198 days 00:00:00,1000.0,16513.613517296824,1551.3613517296824,48959.60638472148,100.0,1153.3650290582245,58.63251248822795,2714 days 00:00:00,81,-211.24238316742048,113.87345935893694,-28.93377926421403,13.895049364974987,-9.151660580010502,114 days 19:12:00,53 days 07:44:30.967741935,194.1340234625216,0.44179183365731844,0.14928649292689689,1.0939511889860174,0.17715019724968567,24.092521154692186,1.0845934387491083,0.4226731980405878,-0.01989203907073703,None,None,0.00033482252972051363,0.08437527748956944,15.513613517296918,0.05964294707901541,0.22984956814790314,17666.289682539682
FTNT,12.91,SMA,8,21,0,,false,false,1,98,1.2034098164269023,46.391752577319586,1.7447817009219737,4.011826598118104,1.4264103296409911,-0.7154556370594852,24 days 19:03:05.567010308,0.017176163891689824,0.5278276481149012,1.0502692998204668,2.117552997929484,0,3899,3900 days 00:00:00,1000.0,18322.280115893955,1732.2280115893952,6087.725631561801,100.0,1509.204429909092,46.355210889967616,853 days 00:00:00,97,-366.08832350748344,73.46472102407441,-17.16109071494261,14.916331268442626,-5.424763981970423,40 days 08:32:00,11 days 07:50:46.153846153,182.3543138082622,0.9315289493536097,0.6748112122138353,1.2017848435540153,1.0708153451209346,22.834920761608736,1.1259713137036464,0.49082568807339444,-0.027661951917796298,None,None,0.0009234254746756282,0.2327032196182583,17.32228011589399,0.20672388062447178,0.3006437624471138,5647.361111111111
PENDLE-USD,5.16,SMA,84,85,0,,false,false,1,34,1.2023830662350723,39.39393939393939,1.5848818353908671,33.30347653106464,2.0599687792491417,3.3686389934625462,22 days 02:54:32.727272727,0.022252191503708697,0.6877950101146325,1.3553607552258935,22.90596497753603,0,1483,1484 days 00:00:00,1000.0,13979.391550500432,1297.9391550500432,297.10377923017796,100.0,402.1279891053208,70.20231544926791,485 days 00:00:00,33,535.5933687617435,727.9662034176934,-33.54070225613814,100.73890248035755,-10.529550335975745,35 days 12:55:23.076923077,13 days 09:36:00,377.0847933860206,1.1039477969495721,1.3006884344057432,1.2707334783353248,2.699830524300835,22.0549172669001,1.478932748797045,0.31327433628318585,-0.07554773024773767,None,None,0.003175023302890551,0.8001058723284189,12.979391550500427,0.5650091315198831,0.8722582436089278,1483.0
SUI20947-USD,7.18,SMA,4,5,0,,false,false,1,98,1.1263487038774738,38.144329896907216,1.309493007862895,2.1494863340101547,1.9279511907076072,0.2702884267574872,3 days 14:35:52.577319586,0.1295060080106809,3.9252336448598135,7.810413885180241,8.437236077423037,0,749,750 days 00:00:00,1000.0,3238.9908427528417,223.89908427528417,176.2584619044389,100.0,432.67277434658484,69.99692009637857,216 days 00:00:00,97,27.234257962908032,111.35440817868894,-21.05689864378247,13.394834580517646,-4.785145084669465,5 days 12:19:27.567567567,2 days 10:23:59.999999999,22.801614276184893,1.1119020579220442,1.1025307678110317,1.255830016929733,1.3065334672333018,7.086514019958454,2.0297717715492203,0.2975778546712803,-0.055714801055699564,None,None,0.00237351732377868,0.5981263655922273,2.2389908427528384,0.4842179034407097,0.6473998202356186,749.0
WELL,18.26,SMA,21,58,0,,false,false,1,108,0.9681615389220692,49.532710280373834,1.4958033445564325,1.9519658010506795,0.46816658844234776,-0.8335928620377017,61 days 23:06:10.093457944,0.006488140927695392,0.19919199016335853,0.3965396100474267,0.3888159526420992,0,11386,11387 days 00:00:00,1000.0,4630.235795521337,363.02357955213375,2181.538508488628,100.0,531.6964592814844,41.92973311661889,2461 days 00:00:00,107,-78.07522916027028,39.12235012956783,-18.82097512701643,9.519417251743088,-5.4753476598140915,94 days 10:24:54.339622642,30 days 02:13:20,34.65711238020191,0.3371947290735421,0.12008915803053072,1.0687814280515486,-0.4499820828802076,9.48820779202811,0.9732985094711387,0.36862980769230774,-0.018402490781804403,None,None,0.00019736396148782782,0.04973571829493261,3.6302357955213553,0.03449912907857855,0.1775144777557491,16491.626984126982
