Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Expectancy Components,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
BTC-USD,MACD,14,23,13,false,false,1,101,9.525257296057992,53.0,1.8719536498998877,8.30393499949065,2.426674703389024,1.866982702270086,20 days 01:26:23.999999998,0.02589331952356292,0.7845675815639566,1.5613671672708442,6.5149982000146744,0,3862,3863 days 00:00:00,1000.0,529704.2784244079,52870.42784244079,18441.1394601641,100.0,31274.315329016605,61.52755789276792,1106 days 00:00:00,100,-3607.320244065835,104.68813710047856,-26.016413568790824,21.550431762607534,-6.6336039035986065,28 days 07:14:43.018867924,10 days 18:22:58.723404255,5323.115986684737,1.489068211472935,1.3144847760229812,1.3840860222093903,0.9785240890870431,12.079224577959994,1.3300101032021387,0.38558106169296985,"{'win_rate': 0.53, 'avg_win': 21.550431762607534, 'avg_loss': 6.6336039035986065}",-0.03093072081751733,None,None,0.0019260479835166771,0.48536409184620266,528.7042784244081,0.5055678982382619,0.3922827513590656,3862.0
MSTR,MACD,13,21,32,true,false,1,155,7.098349652003733,44.8051948051948,2.4860226199646656,8.213211570016188,1.3511608795971342,18.31917183949194,23 days 09:11:41.298701298,0.015746932415763165,0.48207938388625593,0.9610485781990521,3.959419973400873,0,6752,6753 days 00:00:00,1000.0,551333.4961121735,55033.34961121735,2848.6391688239487,100.0,12123.34267387345,90.38661507823632,1920 days 00:00:00,154,-551.3334961121436,172.7589740381635,-61.58299999999998,29.550868501592646,-9.107945233263523,37 days 11:07:49.565217391,11 days 22:52:14.117647058,3577.174218235622,0.8384903180476714,0.4498560311949048,1.233967718915397,1.8590133288074693,62.71651163069932,1.2695694005172053,0.3736777868185516,"{'win_rate': 0.44805194805194803, 'avg_win': 29.550868501592646, 'avg_loss': 9.107945233263523}",-0.04152500736888381,None,None,0.0015856030428157877,0.3995719667895785,550.3334961121699,0.26561225024259305,0.5735128076246381,9779.682539682539
MSTR,MACD,9,13,5,false,false,1,403,2.7277160580749684,41.29353233830846,2.664692044824426,2.9403780829868214,1.5929765717266477,60.06161839134118,8 days 15:20:35.820895521,0.04110562877361553,1.2534063981042654,2.503702606635071,3.6854887020612366,0,6752,6753 days 00:00:00,1000.0,1740425.1786135528,173942.51786135527,2848.6391688239487,100.0,60832.88728213241,82.05310804849529,3977 days 00:00:00,402,62419.603137198836,128.4712106704712,-35.71772540983606,14.554097251918785,-5.2285938748212555,12 days 19:39:45.542168674,5 days 16:46:46.779661016,4171.65566038894,0.9135424434496615,0.6054355492222141,1.2584432383765578,3.211761827284494,53.80112739834887,1.5104190379602398,0.3506,"{'win_rate': 0.4129353233830846, 'avg_win': 14.554097251918785, 'avg_loss': 5.2285938748212555}",-0.040789736102093986,None,None,0.0017180498371363584,0.4329485589583623,1739.4251786135574,0.3210848729043825,0.5703661336139769,9779.682539682539
MSTR,MACD,7,8,12,false,false,1,379,2.3986122572949546,39.682539682539684,2.5336737793814796,3.0467490855285715,1.5395657613802223,43.05797547206532,9 days 05:16:11.428571428,0.03865156138414595,1.1787618483412323,2.3544135071090047,3.591391583489618,0,6752,6753 days 00:00:00,1000.0,1256052.7462881007,125505.27462881008,2848.6391688239487,100.0,42473.036216587185,85.64283662461251,3492 days 00:00:00,378,45047.793439272325,128.4712106704712,-36.94600409836066,16.03408793307227,-5.497552787855444,13 days 19:31:12,6 days 04:44:12.631578947,3201.0713038328786,0.8877439885592958,0.5495189516481246,1.2487216909229313,3.1592277522537,53.378185453178666,1.4863701494803556,0.351140456182473,"{'win_rate': 0.39682539682539686, 'avg_win': 16.03408793307227, 'avg_loss': 5.497552787855444}",-0.041716963684822535,None,None,0.0016727690541650853,0.42153780164960153,1255.0527462881023,0.3051033257176714,0.5714719889448189,9779.682539682539
BTC-USD,MACD,2,21,4,false,false,1,417,0.8353725967908189,39.90384615384615,1.3958938267271719,1.7481699983535535,2.314825444205437,0.5672237282400411,4 days 18:38:04.615384614,0.10771620921802175,3.2392542723977216,6.470740548938375,5.662767136044266,0,3862,3863 days 00:00:00,1000.0,290013.9133775292,28901.39133775292,18441.1394601641,100.0,75511.14232166154,65.72466391041996,1004 days 00:00:00,416,7313.7476497964235,72.38504286094206,-15.439952672392701,9.03783219734787,-3.0921657017786717,7 days 17:20:57.831325301,2 days 19:40:48,677.1638599224352,1.3630873581213874,1.0782781923197142,1.3426622516444313,1.4955308472884248,13.406592952773266,1.7854551218675925,0.3655001767408979,"{'win_rate': 0.3990384615384615, 'avg_win': 9.03783219734787, 'avg_loss': 3.0921657017786717}",-0.03185311723440852,None,None,0.001769579550906754,0.445934046828502,289.01391337752733,0.44755176962601295,0.3937251015027679,3862.0
