Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
TSLA,SMA,15,24,false,86,51.76470588235295,2.5360880501781864,0.02288021534320323,9.963850365085777,8.075325401800963,0.48613728129205924,0.9666218034993271,4.843799127683692,1.8456882516035176,0,0,3715,3716 days 00:00:00,1000.0,104273.23018456309,10327.323018456309,14933.274070510117,100.0,4187.106088560491,61.350742619892515,667 days 00:00:00,85,1,-12245.250535006911,379.5311065571732,-19.823638251583823,26.08376420088865,-7.335569361141697,36 days 03:16:21.818181818,12 days 01:45:21.951219512,1359.0409496420007,1.1668576689091075,0.9428690420708581,1.2649165212577054,0.817620856383356,11.763581867037916,1.2168817166529857,0.42375478927203064,-0.03669913459510319,None,None,0.0015836949647008256,0.39909113110460803,103.27323018456333,0.3704465345674921,0.4116236825029501,-0.30843544625954017,5380.853174603174,2.6529429779951768,24 days 12:42:21.176470587
PAYC,SMA,45,46,false,104,61.165048543689316,2.0458423248531235,0.03731884057971015,3.0330444652238615,3.0330444652238615,0.791304347826087,1.5750000000000002,2.4000612724814907,1.5369671981832138,0,0,2760,2761 days 00:00:00,1000.0,12417.583652844769,1141.758365284477,1190.6188644106287,100.0,1307.1649453024506,43.1574580213867,559 days 00:00:00,103,1,-973.6387220594952,53.90032148579189,-27.10709765207851,7.657833276914032,-4.250997913188155,20 days 20:57:08.571428571,9 days 06:00:00,120.30312985343943,1.0384279411297515,0.9156687350309717,1.2264538238469558,0.48914495493846005,17.98437544241556,1.0554394509067935,0.533888888888889,-0.03114075511976451,None,None,0.0011268552579690224,0.28396752500819367,11.417583652844819,0.2585027368885968,0.32910802542288187,-0.04103790103337424,3997.6190476190477,0.815124554040767,16 days 08:37:16.893203883
LIN,SMA,72,85,false,67,57.57575757575758,2.448912579715153,0.007992249939452653,5.454133964097853,3.817592385995919,0.17038023734560426,0.33821748607410995,0.9292766393177135,0.9548386652479602,0,0,8258,8259 days 00:00:00,1000.0,19169.08624065885,1816.9086240658849,5417.6061915600485,100.0,1184.1349285685721,45.91385230529112,1322 days 00:00:00,66,1,-1301.1321632446306,42.051145260747425,-20.88193224592219,13.371757788978023,-5.291212655382379,102 days 20:12:37.894736842,59 days 23:08:34.285714286,295.0033091500529,0.6484515304164623,0.30365404062738877,1.1218133069524137,0.1354396054278281,8.2410553356792,1.0681285155881561,0.5187568959176168,-0.02065640356579787,None,None,0.0004426025173082267,0.11153583436167312,18.16908624065876,0.09429634946802135,0.20700606157356988,-0.6646288859281797,11960.992063492064,0.3964382489786768,84 days 15:38:10.909090909
VTR,SMA,79,88,false,63,61.29032258064516,1.584535109341822,0.008826879271070615,4.498151266661126,3.1335435790223576,0.18835421412300682,0.37371867881548976,0.8472457468383641,0.6598740977502039,0,0,7024,7025 days 00:00:00,1000.0,5465.788432074712,446.5788432074712,167.60167756568757,100.0,431.42468289037254,70.4672375345427,1378 days 00:00:00,62,1,-347.0534696384757,86.15424094027709,-38.04257975655167,13.438657320337905,-9.657649984993773,77 days 08:12:37.894736842,51 days 13:00:00,77.62648228569665,0.44436975063134565,0.13092757565462862,1.0986407722568572,1.2319626319709627,35.716988197718294,1.00678970908629,0.4419129720853859,-0.02102701279005784,None,None,0.0003614853141710129,0.09109429917109525,4.465788432074741,0.06282313135023099,0.24671347648457975,1.6645249003098137,10173.650793650793,0.33691461050147475,67 days 08:30:58.064516128
UHS,SMA,22,27,false,282,52.66903914590747,1.334365194526565,0.0254875283446712,1.8947100854669894,1.6359436010099435,0.5371428571428571,1.0723809523809524,1.0177299887651257,0.8673046042969302,0,0,11025,11026 days 00:00:00,1000.0,53181.92273008682,5218.192273008683,13690.024594907225,100.0,13216.67134275238,60.37586845637124,2602 days 00:00:00,281,1,-4384.462097465432,45.27691117471726,-37.00526315789473,8.192615147586892,-5.113485021252901,28 days 16:12:58.378378378,14 days 19:18:29.774436090,201.30386059627176,0.5840538803133435,0.23285530986154626,1.130658217786949,-0.5245803234537788,38.153006208126925,1.213389306893316,0.3518881804806278,-0.022217425412347374,None,None,0.0004908970287378591,0.12370605124194049,52.18192273008636,0.09507145269562756,0.25490842666029506,-0.6188325129123666,15968.75,0.2553070734486906,22 days 02:38:51.672597864
