Ticker,Strategy Type,Short Window,Long Window,Signal Window,Last Position Open Date,Last Position Close Date
LIN,SMA,68,86,0,2025-04-01,2025-06-02
VTR,SMA,79,81,0,2025-04-01,2025-06-11
UHS,SMA,16,25,0,2025-04-02,2025-04-21
TSLA,SMA,11,25,0,2025-04-03,2025-04-16
MA,SMA,8,58,0,2025-04-02,2025-04-03
CRWD,EMA,5,21,0,2025-04-14,
LYV,SMA,18,29,0,2025-04-14,2025-06-17
NFLX,EMA,19,46,0,2025-04-14,
MCO,SMA,71,82,0,2025-04-29,2025-05-01
COST,EMA,29,68,0,2025-04-30,
INTU,SMA,54,64,0,2025-04-30,
ISRG,SMA,83,85,0,2025-05-02,2025-05-07
EQT,SMA,42,54,0,2025-05-05,2025-05-29
GOOGL,SMA,9,39,0,2025-05-05,
HSY,SMA,78,85,0,2025-05-07,2025-06-17
AMZN,SMA,10,27,0,2025-05-09,
FFIV,SMA,14,45,0,2025-05-09,
RTX,EMA,27,41,0,2025-05-13,
GME,SMA,53,54,0,2025-05-13,2025-06-11
TSLA,SMA,15,23,0,2025-05-01,2025-06-11
AMD,SMA,7,45,0,2025-05-08,
AAPL,SMA,13,37,0,2025-05-14,2025-06-04
GD,SMA,70,85,0,2025-05-16,
GOOGL,EMA,9,46,0,2025-05-16,
LMT,EMA,59,87,0,2025-05-21,
ILMN,EMA,21,32,0,2025-06-02,
SHOP,SMA,57,59,0,2025-06-02,2025-06-11
PWR,SMA,66,78,0,2025-06-03,
PGR,SMA,37,61,0,2025-06-03,
COIN,SMA,12,13,0,2025-06-04,2025-06-04
COR,SMA,8,26,0,2025-06-16,
AMZN,SMA,51,69,0,2025-06-18,
SMCI,SMA,58,60,0,2025-06-23,
