Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
BTC-USD,SMA,104,105,0,false,false,0,74,1.752983985553844,59.45945945945946,2.613275778287028,15.749016967236047,1.781519242832413,0.05672621702969015,31 days 07:08:06.486486486,0.019091847265221878,0.5727554179566564,1.1455108359133128,9.020334795475755,0,3876,3877 days 00:00:00,1000.0,219751.12150599342,21875.11215059934,20700.8322478146,100.0,13390.384080206775,64.62311387272726,1049 days 00:00:00,74,0.0,635.637382729637,-23.814704618803713,29.780735254667917,-4.830836520997361,43 days 07:05:27.272727273,13 days 16:48:00,2956.096236567479,1.1879147372852725,1.0235130512809156,1.2799211808673296,-0.070369534784563,15.893862213955867,1.1682226951070922,0.4752663622526636,-0.04090367651467321,None,None,0.0018272368794085357,0.46046369361095096,218.75112150599384,0.41978473086327006,0.46650498023906983,3876.0
MSTR,MACD,13,21,32,false,false,1,155,1.7234559309307649,44.8051948051948,2.4860226199646656,8.213211570016188,1.372309774547292,18.219057632690117,23 days 09:11:41.298701298,0.015725970665764366,0.481437657151309,0.9597692649016417,3.9541493359566178,0,6761,6762 days 00:00:00,1000.0,653651.9038698695,65265.19038698696,3395.857988165661,100.0,12123.34267387345,90.38661507823632,1920 days 00:00:00,154,101767.07426158385,172.7589740381635,-61.58299999999998,29.550868501592646,-9.107945233263523,37 days 11:07:49.565217391,11 days 22:52:14.117647058,3577.174218235622,0.8511754689033851,0.4635088968870721,1.2377761838343517,1.8573142840339505,62.667049829430475,1.2686367282551576,0.37522879804759,-0.041481754194580306,None,None,0.001609350754030446,0.4055563900156724,652.6519038698651,0.27326777140473024,0.5734272294829315,9792.718253968254
BTC-USD,MACD,14,23,13,false,false,1,101,1.6775389682952704,53.0,1.8719536498998877,8.30393499949065,2.4603564446040616,1.8658835307500652,20 days 01:26:23.999999998,0.025799793601651185,0.781733746130031,1.5557275541795668,6.491466214772103,0,3876,3877 days 00:00:00,1000.0,594261.742118317,59326.17421183171,20700.8322478146,100.0,31274.315329016605,61.52755789276792,1106 days 00:00:00,100,60950.14344984328,104.68813710047856,-26.016413568790824,21.550431762607534,-6.6336039035986065,28 days 07:14:43.018867924,10 days 18:22:58.723404255,5323.115986684737,1.508149392752478,1.3401329070990087,1.3896527363441464,0.9791193989309389,12.072268618836352,1.3281750116026534,0.3886103151862464,-0.030884990001936532,None,None,0.0019494975295500777,0.4912733774466196,593.2617421183179,0.5146245005423304,0.3920351684787851,3876.0
BTC-USD,SMA,26,38,0,false,false,1,56,1.6580864751555904,56.36363636363636,3.0753607411877324,17.257414472073084,2.063840661647051,0.41819283666432056,39 days 14:50:10.909090908,0.014189886480908152,0.43343653250774,0.8591331269349846,7.479993888824247,0,3876,3877 days 00:00:00,1000.0,294577.7200684043,29357.77200684043,20700.8322478146,100.0,8420.748157365644,67.09803713121846,817 days 00:00:00,55,1200.567746262299,267.5713900491202,-25.20796837568079,36.924547647376784,-8.145965879360856,52 days 07:44:30.967741935,23 days 05:00:00,5315.948224038945,1.325029040682961,1.0550250557594947,1.319111172731969,0.5722053770607455,10.53827262956086,1.1636603611305596,0.44179992562290815,-0.03585865344276378,None,None,0.0018027874502908033,0.4543024374732824,293.5777200684032,0.44708755587811133,0.41263478108499496,3876.0
BTC-USD,SMA,27,29,0,false,false,1,141,1.6537112231287048,51.42857142857142,1.8480064053423475,7.168351865384597,2.307550682225217,1.8414751737286512,15 days 14:13:42.857142856,0.03611971104231166,1.0913312693498454,2.1749226006191953,7.823046540396504,0,3876,3877 days 00:00:00,1000.0,589209.0090768666,58820.90090768666,20700.8322478146,100.0,49824.16548248408,64.84165645822193,752 days 00:00:00,140,1945.220450169756,217.46231727195834,-24.03378449670691,18.66673755979252,-5.006409458106142,21 days 18:00:00,9 days 01:45:52.941176470,4187.59849019069,1.4522342374424488,1.2693767245674656,1.350038402102606,0.7081066189990318,9.736513244659935,1.288776155284508,0.4428730926684034,-0.03585865344276369,None,None,0.001983502000148158,0.49984250403733577,588.2090090768648,0.5137840916071352,0.41423107320939284,3876.0
MSTR,SMA,16,82,0,false,false,0,47,1.648165575876569,53.191489361702125,2.6645516713439705,37.12137376155984,1.5068556946814138,37.33191430356863,78 days 22:28:05.106382978,0.004799484553837176,0.14598432184588078,0.29196864369176156,5.419138574568786,0,6761,6762 days 00:00:00,1000.0,1302697.373894551,130169.7373894551,3395.857988165661,100.0,19644.416101788196,83.94428050240444,2354 days 00:00:00,47,0.0,489.9829015544042,-30.033379409144324,80.13482711966776,-11.757550509017353,120 days 00:57:36,32 days 05:27:16.363636363,27695.688806267037,0.9468972629937289,0.5631887386485164,1.2494649908703357,0.4656897552212576,38.941815830766686,1.2427869310580975,0.38253935800449806,-0.0383104093050475,None,None,0.0015779486277382416,0.39764305419003687,1301.6973738945505,0.30641490189208054,0.5054017035424742,9792.718253968254
MSTR,SMA,18,21,0,false,false,1,242,1.6451140737214696,47.30290456431535,2.12649658153768,5.618468598140746,1.4740584609694292,35.10399295343963,15 days 01:59:30.124481326,0.024610122924994884,0.7516639550362372,1.5002218606714983,4.223200327725376,0,6761,6762 days 00:00:00,1000.0,1227040.3287561468,122604.03287561469,3395.857988165661,100.0,58327.30966469848,85.9624617378018,2357 days 00:00:00,241,569.2355676679872,481.51675392670165,-35.477187499999985,18.38476152496884,-5.841038438539588,20 days 13:15:47.368421052,10 days 04:09:26.929133858,5084.942295387876,0.9210988911894759,0.544442225857283,1.2518544041026627,0.7233250542668491,38.82620705631031,1.3612133618132114,0.3746696483025005,-0.03903302204810474,None,None,0.0016374532374685575,0.4126382158420765,1226.0403287561353,0.303505150977756,0.5391496769659266,9792.718253968254
BTC-USD,SMA,76,78,0,false,false,0,61,1.6217089380790721,57.377049180327866,2.226202437974096,25.937894200106125,1.7991901301425188,0.12110268573798645,37 days 12:59:00.983606556,0.015737874097007224,0.4721362229102168,0.9442724458204336,12.246219397882925,0,3876,3877 days 00:00:00,1000.0,233077.5863003647,23207.758630036467,20700.8322478146,100.0,10027.873001062346,64.3271929581157,1302 days 00:00:00,61,0.0,996.8003042619595,-33.28289019687436,50.27243223385051,-6.8201377683959254,48 days 22:37:42.857142857,22 days 04:36:55.384615384,3804.550595087946,1.200431934048344,1.0425771529097627,1.2829578066810934,-0.07891667963705717,16.11889934031094,1.1484541656580773,0.47023132347364427,-0.03977127481972132,None,None,0.0018390001030789325,0.463428025975891,232.07758630036594,0.4252284401173585,0.46461252802191205,3876.0
MSTR,SMA,6,27,0,false,false,1,149,1.601042667277167,38.513513513513516,1.9435254677957297,11.463977432084665,1.3744819618568818,18.722269116650917,24 days 07:56:45.405405404,0.015113270509955364,0.46280136074545186,0.9224966720899275,5.305544355123934,0,6761,6762 days 00:00:00,1000.0,670740.2512453194,66974.02512453194,3395.857988165661,100.0,18305.5482176318,89.48038602708812,2310 days 00:00:00,148,104045.72973252356,621.5801948051948,-50.0000264924055,43.04846379075747,-8.319711825545548,44 days 22:18:56.842105263,11 days 10:17:08.571428571,3822.260280491864,0.8810524836195973,0.47041370154028767,1.2384935819975498,0.32902657920514705,41.53885909081329,1.2893348620467133,0.37021276595744684,-0.03791307410722133,None,None,0.0015181421896329243,0.38257183178749693,669.7402512453195,0.27449292782907864,0.5225855205991864,9792.718253968254
MSTR,SMA,52,90,0,false,false,0,38,1.5800416167595654,60.526315789473685,2.8770109087309574,30.51898501049582,1.1358015404022752,2.0072779803817524,98 days 22:06:18.947368421,0.0038804343201236744,0.1180298772370951,0.2360597544741902,3.602152054189567,0,6761,6762 days 00:00:00,1000.0,103122.8895231407,10212.28895231407,3395.857988165661,100.0,1363.0494079426817,92.58642735845723,2380 days 00:00:00,38,0.0,548.5691315957581,-38.37834262845191,61.1965040519,-16.519877519657257,129 days 18:46:57.391304348,51 days 14:24:00,2687.444461135282,0.7193338058833371,0.3070983826651912,1.1840570741136884,0.717630847048744,40.52147951377091,1.1973114443463049,0.38395415472779365,-0.03956857123299002,None,None,0.001209332166469588,0.3047517059503362,102.12288952314006,0.18858943626679703,0.5098727904698249,9792.718253968254
