Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Allocation [%],Stop Loss [%],Total Period
AAPL,SMA,17,47,0,false,false,0,125,1.6281027966025559,50.4,2.5805575432284313,8.626152468656203,1.165194984596262,-0.33924163757378323,52 days 14:47:02.400000,0.007705479452054794,0.23437499999999997,0.46874999999999994,2.0217544848412974,0,11200,11201 days 00:00:00,1000.0,1040734.5920352231,103973.45920352232,157354.73830667176,100.0,49543.31740793445,75.5215582286803,1613 days 00:00:00,125,0.0,126.2470685237955,-60.34491182136912,25.443288608462556,-8.462227802437349,80 days 10:17:08.571428572,24 days 08:30:58.064516129,8317.87673628178,0.7920185784619931,0.33642966138532193,1.1725870985318723,-0.9763402241536469,56.5037603923299,1.1146078143671263,0.42433875890132244,-0.02810452292954774,None,None,0.0008236636287130738,0.20756323443569458,1039.7345920352334,0.16918729837493363,0.3153996612004911,,,16222.222222222223
GD,SMA,73,86,0,false,false,1,135,1.4184493268426495,57.46268656716418,2.20260709174612,5.402667337528964,0.760825567591635,-0.7956931973576163,70 days 17:43:52.835820894,0.005799227010164275,0.17770952172005267,0.3541026766125494,0.9601054285648225,0,15953,15954 days 00:00:00,1000.0,76760.21536416857,7576.021536416857,37081.592186031325,100.0,4360.7061333802585,64.95036832517863,3122 days 00:00:00,134,-1092.2098907309264,239.116,-29.337499999999995,15.126388080524128,-7.732885245113624,90 days 23:22:35.844155844,43 days 09:41:03.157894736,573.5255616037275,0.508182442325362,0.1607469910883389,1.1051056578581384,0.5083284373725084,13.485208761089616,1.0866832426914241,0.4074988972209969,-0.02074512189106063,None,None,0.00036689861677524123,0.09245845142736078,75.76021536416854,0.07096801931357755,0.21896420310828657,,,23106.527777777777
GME,SMA,53,61,0,false,false,1,74,1.3260792439967712,50.68493150684932,1.1468674903383287,29.064098811657377,1.122341600065067,0.5844718615292868,41 days 00:59:10.684931505,0.00860802732707088,0.2654141759180188,0.5272416737830914,7.7140238348959125,0,5855,5856 days 00:00:00,1000.0,17104.854969733424,1610.4854969733424,1016.4178588939711,100.0,1751.7982133947216,89.12191182233633,3230 days 00:00:00,73,-261.2692129804673,2002.4212849535427,-55.61120187612679,68.65760751548677,-11.629229578389506,46 days 13:37:17.837837837,35 days 08:40:00,224.1934819549847,0.5679662712873956,0.21723231232334828,1.2070255368171356,10.610307219585769,293.1261932092441,1.2639223634684509,0.33973919011667814,-0.03502267880111577,None,None,0.0012884293810282105,0.324684204019109,16.104854969733406,0.12996388772571832,0.687994199265395,,,8480.45634920635
PENDLE-USD,SMA,84,85,0,false,false,1,34,1.2023830662350723,39.39393939393939,1.5848818353908671,33.30347653106464,2.0599687792491417,3.3686389934625462,22 days 02:54:32.727272727,0.022252191503708697,0.6877950101146325,1.3553607552258935,22.90596497753603,0,1483,1484 days 00:00:00,1000.0,13979.391550500432,1297.9391550500432,297.10377923017796,100.0,402.1279891053208,70.20231544926791,485 days 00:00:00,33,535.5933687617435,727.9662034176934,-33.54070225613814,100.73890248035755,-10.529550335975745,35 days 12:55:23.076923077,13 days 09:36:00,377.0847933860206,1.1039477969495721,1.3006884344057432,1.2707334783353248,2.699830524300835,22.0549172669001,1.478932748797045,0.31327433628318585,-0.07554773024773767,None,None,0.003175023302890551,0.8001058723284189,12.979391550500427,0.5650091315198831,0.8722582436089278,,,1483.0
SUI20947-USD,SMA,4,5,0,false,false,1,98,1.1263487038774738,38.144329896907216,1.309493007862895,2.1494863340101547,1.9279511907076072,0.2702884267574872,3 days 14:35:52.577319586,0.1295060080106809,3.9252336448598135,7.810413885180241,8.437236077423037,0,749,750 days 00:00:00,1000.0,3238.9908427528417,223.89908427528417,176.2584619044389,100.0,432.67277434658484,69.99692009637857,216 days 00:00:00,97,27.234257962908032,111.35440817868894,-21.05689864378247,13.394834580517646,-4.785145084669465,5 days 12:19:27.567567567,2 days 10:23:59.999999999,22.801614276184893,1.1119020579220442,1.1025307678110317,1.255830016929733,1.3065334672333018,7.086514019958454,2.0297717715492203,0.2975778546712803,-0.055714801055699564,None,None,0.00237351732377868,0.5981263655922273,2.2389908427528384,0.4842179034407097,0.6473998202356186,,,749.0
