Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
MSTR,0.048275,SMA,52,90,0,,false,false,1,39,1.7020435161347305,60.526315789473685,2.8770109087309574,30.51898501049582,1.1284918163347135,1.76998444904981,98 days 22:06:18.947368421,0.0038661385850804844,0.12068965517241378,0.23828470380194516,3.6833257771288053,0,6786,6787 days 00:00:00,1000.0,99832.38760372078,9883.238760372078,3567.9762620192087,100.0,1466.0692775961606,92.58642735845723,2380 days 00:00:00,38,-3290.501919419912,548.5691315957581,-38.37834262845191,61.1965040519,-16.519877519657257,129 days 18:46:57.391304348,51 days 14:24:00,2687.444461135282,0.7150885473115963,0.3034054586483586,1.1828584304507763,0.716315911599813,40.55409846448321,1.1960571695790796,0.9889647924330006,-0.039568511783187627,0.001200903247403708,0.30262761834573443,98.83238760372014,0.18640389367472432,0.5093248891014465,9828.92857142857
BTC-USD,0.0682,SMA,11,36,0,,false,false,1,54,1.6775932260478807,52.83018867924528,3.068159758746415,19.290687236028802,2.2769051740739887,1.605374440185,40 days 12:13:35.094339621,0.0135480572597137,0.41411042944785276,0.8205521472392637,7.9884747756560985,0,3912,3913 days 00:00:00,1000.0,600120.7082488518,59912.07082488517,22995.570195518994,100.0,13277.628284654307,56.86020362672907,731 days 00:00:00,53,116334.6961297979,222.4912061437157,-18.251507913216162,43.10343527569783,-7.37959056840051,60 days 12:51:25.714285714,18 days 01:55:11.999999999,9109.170039982146,1.46279695799984,1.4353557245515995,1.3580213177162872,0.4930419481324206,10.98984952954884,1.1720681912240167,1.1586538461538463,-0.034987095409957175,0.001962623700417632,0.49458117250524325,599.1207082488479,0.5098039410987776,0.406911246289476,3912.0
BTC-USD,0.0682,MACD,14,23,13,,false,false,0,101,1.62239493545616,53.46534653465347,2.1129746794041857,8.495155992749769,2.491323071344346,1.954701622324728,20 days 06:53:27.920792078,0.02581799591002045,0.7745398773006135,1.549079754601227,6.579837080273977,0,3912,3913 days 00:00:00,1000.0,680450.4856298214,67945.04856298213,22995.570195518994,100.0,31955.446946263673,61.52755789276792,1106 days 00:00:00,101,0.0,104.68813710047856,-26.016413568790824,21.66278034697891,-6.6336039035986065,28 days 13:46:40,10 days 18:22:58.723404255,6727.23253098833,1.5259343426073952,1.361265004637869,1.3945684274079833,0.9792248158777807,12.097497879860706,1.3299111639554304,1.0486177311725453,-0.03084647716945754,0.00196745556800547,0.4957988031373784,679.4504856298224,0.5220682384538973,0.39103514173565224,3912.0
