Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
QCOM,true,66,81,70,53.62318840579711,1.2551396823874876,0.008247669136983026,33.89897156842615,27.96570675656115,0.17571121204876883,0.34891226392541236,5.956429381494913,1.0713760544369946,0,0,8366,8367 days 00:00:00,1000.0,104576.34753650428,10357.634753650429,28561.33355034706,100.0,16581.116046689018,70.81553913092728,2567 days 00:00:00,69,1,-104.57634753649472,2043.1204878048777,-25.757700092825075,71.59575850435533,-9.687938326241973,101 days 16:51:53.513513514,31 days 07:30:00,1502.6220852759507,0.6795921316407488,0.31756434155642616,1.1529633598609808,1.466667074240593,23.32828630741732,1.170978412358807,0.3947324554092349,-0.031278518465600126,None,None,0.0008117740763358465,0.20456706723663332,103.57634753650504,0.15032867918036552,0.3622709741131942,-0.6373546516869634,69 days 01:23:28.695652174
AMGN,true,44,88,66,44.61538461538462,1.3100002742090964,0.006182821268905165,11.662827232701435,8.005254195227021,0.1318367735185009,0.2616760201655094,1.5375895124630636,0.8097402011666632,0,0,10513,10514 days 00:00:00,1000.0,36455.060633214256,3545.506063321426,94404.72301136433,100.0,4086.196527222009,71.06587800610025,3742 days 00:00:00,65,1,-36.45506063321227,285.98900601471604,-36.22338498375534,38.80240830377736,-10.19961307455417,152 days 11:35:10.344827586,52 days 20:00:00,546.023318366884,0.5327411834253143,0.18710432346463862,1.1114925489512548,0.7163347120819339,13.94786838645922,1.1358849501237878,0.4091944779520171,-0.02562592346798228,None,None,0.0005049657134816628,0.127251359797379,35.45506063321448,0.09001450722703397,0.2874698633918012,-0.9624435520784842,97 days 07:00:55.384615385
BIDU,true,71,82,43,42.857142857142854,1.1079471432813364,0.008524457073269738,16.848485678534125,7.178053070144717,0.18327582707529938,0.3622894256139639,3.0879201476996783,0.6835563560342254,0,0,4927,4928 days 00:00:00,1000.0,4013.483057053789,301.3483057053789,673.6249820028526,100.0,718.3885234924875,80.96512995414457,1571 days 00:00:00,42,1,-4.013483057053236,692.7098867188176,-27.697326919309482,56.179077893517345,-12.649458482703285,92 days 21:20:00,36 days 20:00:00,71.84515571692486,0.4565891248821442,0.13389815766053917,1.0993914933472335,0.42014901972547436,12.25536600930031,1.1382240029238635,0.3486590038314177,-0.030494085427767072,None,None,0.0005012791764979996,0.1263223524774959,3.013483057053774,0.0736479309684388,0.33296670125282424,-0.5526467786135301,60 days 20:34:17.142857142
NTES,true,57,59,152,49.00662251655629,1.2505712620585812,0.024327372321572418,9.401706610718074,7.0883982597365,0.5142580956984051,1.0251329144514258,4.834903737942983,0.7807903747259997,0,0,6207,6208 days 00:00:00,1000.0,9390.646809848668,839.0646809848669,16853.402193864018,100.0,2071.2150629621183,78.94173040558402,3887 days 00:00:00,151,1,-9.390646809848477,1313.7389381483113,-60.13999854768192,26.810715202458148,-7.329028919006156,32 days 07:47:01.621621621,15 days 09:02:20.259740259,55.6293871301888,0.5115946824864922,0.1782935879352599,1.1179570966259655,0.881864567227831,25.915347156015734,1.1944521980215768,0.40293785310734465,-0.034104956371356014,None,None,0.0007141457127325393,0.17996471960859992,8.390646809848656,0.09517726122683179,0.4233577497773118,-0.9502139288356654,23 days 16:22:15.099337747
IDXX,true,83,88,97,56.25,1.9428098676885206,0.011310084825636193,6.953658574916101,6.017589151369703,0.23998586239396794,0.477497643732328,1.6687797498944508,1.0271151352975696,0,0,8488,8489 days 00:00:00,1000.0,69394.05514463497,6839.405514463498,45400.27405275752,100.0,3436.5487510640824,67.0472386663794,2063 days 00:00:00,96,1,-69.39405514462851,176.85049504950493,-39.771016775089855,18.903435858273735,-8.410340789400854,80 days 04:00:00,30 days 12:00:00,713.1609291643705,0.6905123245205286,0.29825492618756017,1.1433379284670606,0.4067295542172054,12.563459493775923,1.0076347909818846,0.5276228180673024,-0.027303663497773193,None,None,0.0006717020781555639,0.1692689236952021,68.3940551446349,0.13412396281258077,0.29502034064724253,-0.8493532108084689,58 days 10:30:00
HUM,true,43,87,59,46.55172413793103,1.3340221577922775,0.005329412845722687,8.6745459404394,5.543496814008611,0.11384728475604154,0.22576495451621797,0.9875735018105685,0.6422713524888989,0,0,10883,10884 days 00:00:00,1000.0,16266.494946680967,1526.6494946680966,2571.8172141831133,100.0,1276.068392712187,80.14220556517866,1931 days 00:00:00,58,1,-16.266494946679813,87.36666666666667,-41.393333333333324,32.745014412796934,-12.290055632259095,167 days 11:33:20.000000002,61 days 15:29:01.935483871,263.4958869246145,0.4483286906446778,0.12234246956649174,1.0953238976744752,-0.646623706401668,24.242889763256176,1.0967349429532836,0.3991515618974162,-0.024432462387724757,None,None,0.0004128831046445341,0.10404654237042259,15.266494946681064,0.06670761492473631,0.2793040814455197,-0.40639269142110995,110 days 21:55:51.724137932
TRMB,true,45,62,79,53.84615384615385,1.4152145053967418,0.008943928448572412,5.879621560411265,4.8706924169087396,0.19023047815617475,0.3780529755761954,1.1184832208143893,0.7519117891667768,0,0,8721,8722 days 00:00:00,1000.0,16953.50927531723,1595.3509275317228,3893.8304498822986,100.0,1518.0936894357696,65.61223768322813,2904 days 00:00:00,78,1,-16.95350927531399,110.40348685033341,-43.50110489242974,19.255273113333395,-9.72530525133122,86 days 10:51:25.714285714,37 days 14:00:00,204.7495228793913,0.4894019707512801,0.19165768758173216,1.1089929469246362,1.0813655810506975,19.610762167987374,1.124516108800074,0.385984427141268,-0.030585014016734306,None,None,0.000565047212444038,0.14239189753589757,15.953509275317064,0.08521635174288189,0.35015934845608104,-0.5902875207162791,63 days 21:32:18.461538461
PFE,true,54,88,83,45.1219512195122,1.341936726047129,0.006164486543376936,6.236542545199795,4.329307207737194,0.13103292737934144,0.2604871447902571,0.8171924264233379,0.6054286811796237,0,0,13302,13303 days 00:00:00,1000.0,12716.914073481767,1171.6914073481767,3178.3627389717017,100.0,1584.043758181186,61.39560712341074,4894 days 00:00:00,82,1,-12.716914073480439,312.1856760317163,-20.473658411863937,21.6056856051794,-6.40030841522788,145 days 07:08:06.486486486,47 days 17:04:00,143.04428033603944,0.4142975291954694,0.11770086639156066,1.083008383508995,0.10191999431005658,7.0799746755936885,1.0988983223924707,0.35371934466266414,-0.019031112551325387,None,None,0.0002668556016176824,0.06724761160765597,11.716914073481798,0.04935010124076866,0.19534877085771316,-0.6313537806804094,91 days 17:51:13.170731707
CI,false,24,73,67,43.93939393939394,1.9308914138406994,0.006099251455503188,6.352231048626999,4.294048960610326,0.13002495148322704,0.258109232048794,0.825948533907974,0.7736061561793967,0,0,10821,10822 days 00:00:00,1000.0,21267.270431447814,2026.7270431447812,5429.53065892578,100.0,1000.5947400234785,45.17791460581888,2394 days 00:00:00,66,1,-21.267270431446377,65.32390197375521,-18.43571957860674,23.353570658250007,-6.973143239996441,182 days 03:18:37.241379310,37 days 15:34:03.243243243,307.40208639211005,0.534738806245238,0.2404148426019855,1.1071101186623253,-0.02662666507812157,16.972454609085148,1.0415035931119623,0.4532026319323218,-0.01933300006905607,None,None,0.0003700767439520557,0.09325933947591804,20.267270431447926,0.07378408278275561,0.20989243930347565,-0.6267215031168524,101 days 03:16:21.818181818
REGN,true,23,42,104,49.51456310679612,1.5420792948577307,0.012053832650672908,5.604787037882406,4.269516638267404,0.2555880631948508,0.5087185488589818,1.4325166636319688,0.67320393978854,0,0,8545,8546 days 00:00:00,1000.0,7846.209988049573,684.6209988049574,3249.1598095414174,100.0,477.542880929666,97.06141241338133,6293 days 00:00:00,103,1,-7.84620998804894,216.01214285714286,-65.91959776154998,23.306522924789572,-11.756530851199624,59 days 05:10:35.294117647,26 days 15:13:50.769230769,66.54423493240412,0.4288268824439314,0.0947551003554651,1.1075393751631433,2.4195858268337234,100.3018262066128,1.1515098781472013,0.3342701014832162,-0.034512389530580126,None,None,0.0006234290737328472,0.1571041265806775,6.84620998804958,0.06262802689843028,0.4409118302706487,-0.7892929129572165,42 days 18:24:27.961165048
