Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
QQQ,SMA,3,79,0,true,false,1,100,0.8850019947213471,38.38383838383838,2.054375192687599,1.981738908360718,0.7297933390678806,-0.6093107311636171,44 days 03:38:10.909090908,0.010381331247191199,0.318955042527339,0.6347205346294046,0.6320856177942752,0,6584,6585 days 00:00:00,1000.0,4494.971393354751,349.4971393354751,894.5654954291598,100.0,370.0506953607058,55.62284731699668,3691 days 00:00:00,99,-4.494971393353808,49.95387755102044,-12.567639156683622,10.320298038373412,-3.2127733365652222,97 days 22:06:18.947368421,10 days 15:44:15.737704918,35.348145098465686,0.5275737329638263,0.15618764296944296,1.1008904346440758,-0.2659333991195304,9.085953423969617,0.9266093960887366,0.5783796740172579,-0.016814509957101615,None,None,0.00027963905095405953,0.070469040840423,3.4949713933547484,0.05920268173799981,0.16075384061115025,4372,4371,9536.349206349207
QQQ,SMA,3,88,0,true,false,1,95,0.885125638417853,38.297872340425535,2.1199820592147542,2.257063259866734,0.7685340005948609,-0.5581401776378085,46 days 20:40:51.063829788,0.009857021588242148,0.3030072904009721,0.6028250303766707,0.6839066226358042,0,6584,6585 days 00:00:00,1000.0,4952.725509016744,395.2725509016743,894.5654954291598,100.0,396.4278992606216,55.90899656168061,3430 days 00:00:00,94,-4.952725509016091,66.24932126696834,-10.857712082262214,11.305354327969756,-3.359117403093764,101 days 23:20:00.000000001,12 days 15:43:26.896551724,42.10295994176341,0.5529711318453854,0.16586628570017486,1.105582904865718,-0.2171650671481507,8.893966207466022,0.9303464213855618,0.584456207892204,-0.01687828648146368,None,None,0.00029503108657219474,0.07434783381619307,3.9527255090167532,0.06314096056488627,0.16181248295879377,4406,4405,9536.349206349207
QQQ,SMA,4,67,0,true,false,1,100,0.9201576922136716,40.4040404040404,2.021997523875772,2.06399714780351,0.784277972924856,-0.5402102262541473,43 days 15:59:59.999999999,0.010381331247191199,0.318955042527339,0.6347205346294046,0.658322298053975,0,6584,6585 days 00:00:00,1000.0,5113.1206674422,411.31206674422003,894.5654954291598,100.0,455.1018832330409,48.63705059323911,2531 days 00:00:00,99,-5.113120667441763,59.306829268292695,-9.840409123234533,9.874457586859538,-3.2312302685056618,89 days 02:24:00,12 days 20:44:44.745762711,41.598321092016576,0.561061996833069,0.1946383147523173,1.1087453105811722,-0.15526953535824584,9.16044440099564,0.9396383577488333,0.5659928656361474,-0.01684079893065522,None,None,0.00030011987124634477,0.07563020755407888,4.113120667442157,0.06443846310311896,0.1622297881422225,4324,4323,9536.349206349207
QQQ,SMA,4,68,0,true,false,1,98,0.9343588380632957,41.23711340206185,2.0804559437099206,2.170669562372849,0.8074375963832097,-0.5064924069848369,44 days 15:35:15.463917525,0.010171607383611577,0.3125759416767922,0.621962332928311,0.6784990825278436,0,6584,6585 days 00:00:00,1000.0,5414.748644436616,441.47486444366155,894.5654954291598,100.0,450.6477585546961,49.34005343920796,2526 days 00:00:00,97,-5.4147486444362585,59.306829268292695,-11.253659457287252,10.001199836337104,-3.324439401812593,90 days 09:36:00,12 days 13:03:09.473684210,45.56869477403146,0.5769990927955853,0.1989248348655054,1.1118402315106368,-0.15182625018136722,9.120793180652052,0.939425778174955,0.5682305310788284,-0.016840798930655206,None,None,0.0003089165837329414,0.07784697910070124,4.414748644436619,0.06677580212688672,0.1623726189867817,4332,4331,9536.349206349207
QQQ,SMA,4,69,0,true,false,1,99,0.9071282640432395,38.775510204081634,2.0081520711255108,2.1703096717245653,0.8107513426104876,-0.5015581224258894,44 days 05:08:34.285714286,0.010276469315401387,0.3157654921020656,0.6283414337788579,0.6853089015059799,0,6584,6585 days 00:00:00,1000.0,5458.8890515472485,445.88890515472485,894.5654954291598,100.0,491.249893783295,46.36033483665993,2377 days 00:00:00,98,-5.458889051546976,59.306829268292695,-11.25365945728725,10.531181125736145,-3.1249089158161008,94 days 16:25:15.789473685,12 days 06:00:00,45.55457082243667,0.5794655386225679,0.21277654634359888,1.112312416552598,-0.15348413905683483,9.133839735002255,0.9377864097713342,0.5697258641239571,-0.016840798930655224,None,None,0.00031010614449399185,0.07814674841248595,4.4588890515472634,0.06710729885295197,0.1623040888615332,4334,4333,9536.349206349207
QQQ,SMA,4,70,0,true,false,1,98,0.9389468309220591,41.23711340206185,2.115817570157089,2.1934517317422837,0.8090856462884045,-0.5018996602454849,44 days 19:17:56.288659792,0.010171607383611577,0.3125759416767922,0.621962332928311,0.6856202405719349,0,6584,6585 days 00:00:00,1000.0,5455.833772059306,445.5833772059306,894.5654954291598,100.0,455.7720083733406,46.84287368273389,2524 days 00:00:00,97,-5.455833772059123,59.306829268292695,-11.253659457287254,9.829897942081342,-3.165457889548282,90 days 16:48:00,12 days 14:18:56.842105263,45.99267634877694,0.578380964030382,0.21051190788632174,1.1119675447183552,-0.15369915780128166,9.076382527639504,0.9370773635090005,0.5723495702005731,-0.016914093718127278,None,None,0.00031027493579328057,0.07818928381990671,4.455833772059301,0.06708443673612963,0.1626969480250882,4347,4346,9536.349206349207
QQQ,SMA,4,71,0,true,false,1,98,0.9069545640443407,40.20618556701031,1.9731090349351585,2.156714103668041,0.783477478941144,-0.5378996084317904,44 days 20:02:28.453608247,0.010171607383611577,0.3125759416767922,0.621962332928311,0.6741369418816567,0,6584,6585 days 00:00:00,1000.0,5133.790657212241,413.37906572122415,894.5654954291598,100.0,453.320265120294,47.1042735262211,2460 days 00:00:00,97,-5.133790657211648,59.306829268292695,-11.253659457287258,10.205868706040814,-3.2556484737895137,93 days 03:41:32.307692308,12 days 08:16:33.103448275,42.66932420483971,0.5610950078529161,0.20149160066158384,1.1083341346313484,-0.16523008081917467,9.04188769341916,0.9354025675257502,0.5723495702005731,-0.016914093718127306,None,None,0.00030105712112252355,0.07586639452287594,4.13379065721222,0.06460281575475202,0.16272684423127778,4350,4349,9536.349206349207
QQQ,SMA,4,72,0,true,false,1,97,0.9191276952392817,41.66666666666667,1.9909264601389507,2.160560700886871,0.7791779680943286,-0.5443950714715855,45 days 06:44:59.999999999,0.010066745451821768,0.30938639125151884,0.6155832320777643,0.6684480783272413,0,6584,6585 days 00:00:00,1000.0,5075.68448608988,407.56844860898804,894.5654954291598,100.0,439.9797214267448,47.01443234565191,2452 days 00:00:00,96,-5.075684486088903,59.3068292682927,-11.512577717308695,9.967111314168173,-3.4155468800283466,91 days 19:12:00,12 days 01:17:08.571428571,42.5079184434997,0.5582201646670545,0.2004077058800667,1.1077698907534463,-0.16770288478411685,9.070052431713098,0.9343918819752575,0.5719742181904988,-0.01687450144744404,None,None,0.0002992285957345164,0.07540560612509814,4.075684486089914,0.06413916463667002,0.16257144897907513,4348,4347,9536.349206349207
QQQ,SMA,4,73,0,true,false,1,97,0.9081587005997347,40.625,1.973351351699761,2.190815997777509,0.7845222357327915,-0.5368709661163387,45 days 08:29:59.999999999,0.010066745451821768,0.30938639125151884,0.6155832320777643,0.677808655448479,0,6584,6585 days 00:00:00,1000.0,5142.992536437657,414.29925364376567,894.5654954291598,100.0,448.96615861397515,48.49151330251773,2456 days 00:00:00,96,-5.142992536437305,59.306829268292695,-11.512577717308686,10.318940375643528,-3.3705322607623995,94 days 18:27:41.538461539,11 days 13:03:09.473684210,43.20974509348012,0.5623268826179805,0.19595149249914914,1.1084162272725475,-0.17716920369659592,9.0587967878824,0.9347643516665164,0.5734767025089607,-0.01684079893065519,None,None,0.00030112744088701515,0.07588411510352781,4.142992536437628,0.06467577774964717,0.16240828864301216,4355,4354,9536.349206349207
QQQ,SMA,4,74,0,true,false,1,92,0.9079864439960589,39.56043956043956,2.189291610254367,2.4120899999521184,0.8191359114808259,-0.48791111609143273,47 days 20:50:06.593406593,0.009542435792872717,0.2934386391251519,0.5836877278250304,0.7078004070333374,0,6584,6585 days 00:00:00,1000.0,5580.97046137433,458.097046137433,894.5654954291598,100.0,433.25246912958295,46.30983703109943,2401 days 00:00:00,91,-5.580970461373909,59.30682926829268,-11.512577717308687,11.005284055966365,-3.212546109439026,101 days 18:00:00,12 days 14:24:00,50.401664086106635,0.5859858327858652,0.21591875083706058,1.1132911360595272,-0.1672923598753765,9.09103260443513,0.9374839108234626,0.5734767025089607,-0.016798019220760657,None,None,0.00031340762379325525,0.07897872119590033,4.580970461374328,0.06801088663044341,0.16220683223814197,4357,4356,9536.349206349207
