Short Window,Long Window,Signal Window,Signal
2,8,16,1
2,8,17,1
2,8,18,1
2,9,14,1
2,9,15,1
2,9,16,1
2,9,17,1
2,9,18,1
2,10,13,1
2,10,14,1
2,10,15,1
2,10,16,1
2,10,17,1
2,10,18,1
2,11,12,1
2,11,13,1
2,11,14,1
2,11,15,1
2,11,16,1
2,11,17,1
2,11,18,1
2,12,11,1
2,12,12,1
2,12,13,1
2,12,14,1
2,12,15,1
2,12,16,1
2,12,17,1
2,12,18,1
2,13,10,1
2,13,11,1
2,13,12,1
2,13,13,1
2,13,14,1
2,13,15,1
2,13,16,1
2,13,17,1
2,13,18,1
2,14,9,1
2,14,10,1
2,14,11,1
2,14,12,1
2,14,13,1
2,14,14,1
2,14,15,1
2,14,16,1
2,14,17,1
2,14,18,1
2,15,9,1
2,15,10,1
2,15,11,1
2,15,12,1
2,15,13,1
2,15,14,1
2,15,15,1
2,15,16,1
2,15,17,1
2,15,18,1
2,16,8,1
2,16,9,1
2,16,10,1
2,16,11,1
2,16,12,1
2,16,13,1
2,16,14,1
2,16,15,1
2,16,16,1
2,16,17,1
2,16,18,1
2,17,8,1
2,17,9,1
2,17,10,1
2,17,11,1
2,17,12,1
2,17,13,1
2,17,14,1
2,17,15,1
2,17,16,1
2,17,17,1
2,17,18,1
2,18,8,1
2,18,9,1
2,18,10,1
2,18,11,1
2,18,12,1
2,18,13,1
2,18,14,1
2,18,15,1
2,18,16,1
2,18,17,1
2,18,18,1
2,19,7,1
2,19,8,1
2,19,9,1
2,19,10,1
2,19,11,1
2,19,12,1
2,19,13,1
2,19,14,1
2,19,15,1
2,19,16,1
2,19,17,1
2,19,18,1
2,20,7,1
2,20,8,1
2,20,9,1
2,20,10,1
2,20,11,1
2,20,12,1
2,20,13,1
2,20,14,1
2,20,15,1
2,20,16,1
2,20,17,1
2,20,18,1
2,21,7,1
2,21,8,1
2,21,9,1
2,21,10,1
2,21,11,1
2,21,12,1
2,21,13,1
2,21,14,1
2,21,15,1
2,21,16,1
2,21,17,1
2,21,18,1
2,22,7,1
2,22,8,1
2,22,9,1
2,22,10,1
2,22,11,1
2,22,12,1
2,22,13,1
2,22,14,1
2,22,15,1
2,22,16,1
2,22,17,1
2,22,18,1
2,23,7,1
2,23,8,1
2,23,9,1
2,23,10,1
2,23,11,1
2,23,12,1
2,23,13,1
2,23,14,1
2,23,15,1
2,23,16,1
2,23,17,1
2,23,18,1
2,24,6,1
2,24,7,1
2,24,8,1
2,24,9,1
2,24,10,1
2,24,11,1
2,24,12,1
2,24,13,1
2,24,14,1
2,24,15,1
2,24,16,1
2,24,17,1
2,24,18,1
2,25,6,1
2,25,7,1
2,25,8,1
