Fast Period,Slow Period,Signal Period,Signal
2,4,2,1
2,4,3,1
2,4,4,1
2,4,5,1
2,5,2,1
2,5,3,1
2,5,4,1
2,6,2,1
2,6,3,1
2,7,2,1
2,7,3,1
2,8,2,1
2,8,3,1
2,9,2,1
2,9,3,1
2,10,2,1
2,10,3,1
2,11,2,1
2,12,2,1
2,13,2,1
2,13,18,1
2,14,2,1
2,14,16,1
2,14,17,1
2,14,18,1
2,15,2,1
2,15,15,1
2,15,16,1
2,15,17,1
2,15,18,1
2,16,2,1
2,16,14,1
2,16,15,1
2,16,16,1
2,16,17,1
2,16,18,1
2,17,2,1
2,17,14,1
2,17,15,1
2,17,16,1
2,17,17,1
2,17,18,1
2,18,2,1
2,18,13,1
2,18,14,1
2,18,15,1
2,18,16,1
2,18,17,1
2,18,18,1
2,19,2,1
2,19,12,1
2,19,13,1
2,19,14,1
2,19,15,1
2,19,16,1
2,19,17,1
2,19,18,1
2,20,2,1
2,20,12,1
2,20,13,1
2,20,14,1
2,20,15,1
2,20,16,1
2,20,17,1
2,20,18,1
2,21,2,1
2,21,12,1
2,21,13,1
2,21,14,1
2,21,15,1
2,21,16,1
2,21,17,1
2,21,18,1
2,22,2,1
2,22,3,1
2,22,11,1
2,22,12,1
2,22,13,1
2,22,14,1
2,22,15,1
2,22,16,1
2,22,17,1
2,22,18,1
2,23,2,1
2,23,3,1
2,23,11,1
2,23,12,1
2,23,13,1
2,23,14,1
2,23,15,1
2,23,16,1
2,23,17,1
2,23,18,1
2,24,2,1
2,24,3,1
2,24,11,1
2,24,12,1
2,24,13,1
2,24,14,1
2,24,15,1
2,24,16,1
2,24,17,1
2,24,18,1
2,25,2,1
2,25,3,1
2,25,10,1
2,25,11,1
2,25,12,1
2,25,13,1
2,25,14,1
2,25,15,1
2,25,16,1
2,25,17,1
2,25,18,1
2,26,2,1
2,26,3,1
2,26,10,1
2,26,11,1
2,26,12,1
2,26,13,1
2,26,14,1
2,26,15,1
2,26,16,1
2,26,17,1
2,26,18,1
2,27,2,1
2,27,3,1
2,27,10,1
2,27,11,1
2,27,12,1
2,27,13,1
2,27,14,1
2,27,15,1
2,27,16,1
2,27,17,1
2,27,18,1
2,28,2,1
2,28,3,1
2,28,10,1
2,28,11,1
2,28,12,1
2,28,13,1
2,28,14,1
2,28,15,1
2,28,16,1
2,28,17,1
2,28,18,1
2,29,2,1
2,29,3,1
2,29,10,1
