Date,Portfolio_Value,Normalized_Value
0,1000.0,1.0
1,1000.0,1.0
2,1000.0,1.0
3,1000.0,1.0
4,1000.0,1.0
5,1000.0,1.0
6,1000.0,1.0
7,1000.0,1.0
8,999.0009990009991,0.999000999000999
9,1091.2176391692265,1.0912176391692265
10,1106.585933486222,1.106585933486222
11,1079.6914440817268,1.0796914440817267
12,1048.9548554477353,1.0489548554477353
13,1060.481050535235,1.060481050535235
14,1037.4286603602359,1.0374286603602358
15,991.3168005420068,0.9913168005420069
16,949.0540168205158,0.9490540168205158
17,929.8437258750128,0.9298437258750127
18,979.7906054545073,0.9797906054545072
19,972.1065095965038,0.9721065095965038
20,937.5278217330163,0.9375278217330163
21,941.3699209625123,0.9413699209625123
22,960.5803145090042,0.9605803145090042
23,952.896116050012,0.952896116050012
24,1010.5271940884987,1.0105271940884988
25,979.7906054545073,0.9797906054545072
26,999.0009990009991,0.999000999000999
27,1010.5271940884987,1.0105271940884988
28,1006.6850948590026,1.0066850948590025
29,991.3168005420068,0.9913168005420069
30,983.6327046840033,0.9836327046840033
31,952.896116050012,0.952896116050012
32,918.3174281865244,0.9183174281865244
33,868.363571739788,0.868363571739788
34,818.4166921602936,0.8184166921602936
35,849.153280794285,0.849153280794285
36,879.0099795588482,0.8790099795588482
37,879.0099795588482,0.8790099795588482
38,879.0099795588482,0.8790099795588482
39,879.0099795588482,0.8790099795588482
40,879.0099795588482,0.8790099795588482
41,879.0099795588482,0.8790099795588482
42,879.0099795588482,0.8790099795588482
43,879.0099795588482,0.8790099795588482
44,879.0099795588482,0.8790099795588482
45,879.0099795588482,0.8790099795588482
46,879.0099795588482,0.8790099795588482
47,879.0099795588482,0.8790099795588482
48,879.0099795588482,0.8790099795588482
49,879.0099795588482,0.8790099795588482
50,879.0099795588482,0.8790099795588482
51,879.0099795588482,0.8790099795588482
52,879.0099795588482,0.8790099795588482
53,879.0099795588482,0.8790099795588482
54,879.0099795588482,0.8790099795588482
55,879.0099795588482,0.8790099795588482
