TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
ZEC-USD,77,86,86,89
BNB-USD,57,71,51,87
FTM-USD,27,46,65,82
RUNE-USD,43,89,38,89
SOL-USD,16,78,20,60
AAVE-USD,59,75,53,75
AVAX-USD,55,63,17,83
TRX-USD,15,55,19,72
ETH-USD,61,76,23,56
DOGE-USD,39,83,51,84
LINK-USD,80,86,13,41
MKR-USD,45,76,36,81
ADA-USD,14,48,8,48
DOT-USD,42,71,45,85
MATIC-USD,17,79,76,77
SUI20947-USD,25,84,41,76
FET-USD,42,54,48,58
ARB11841-USD,70,84,59,85
APT21794-USD,41,89,40,79
OP-USD,44,61,38,66
CAKE-USD,58,67,14,87
SHIB-USD,42,87,71,81
PENDLE-USD,50,79,47,86
UNI7083-USD,13,67,18,80
NEAR-USD,58,69,41,54
SEI-USD,59,64,47,75
GRT6719-USD,10,27,54,75
STX4847-USD,16,38,23,25
VIRTUAL-USD,3,10,2,3
TON-USD,74,75,73,87
