TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW
ZEC-USD,3,5,2,22
BNB-USD,11,21,12,22
FTM-USD,2,13,3,23
RUNE-USD,3,26,8,12
SOL-USD,27,30,15,19
AAVE-USD,12,40,2,3
AVAX-USD,2,10,5,9
TRX-USD,2,4,2,3
ETH-USD,13,20,2,17
DOGE-USD,2,8,2,4
LINK-USD,2,14,5,6
MKR-USD,5,12,14,17
ADA-USD,2,18,3,13
DOT-USD,28,33,9,87
MATIC-USD,2,4,7,20
SUI20947-USD,38,59,19,34
FET-USD,25,34,5,8
ARB11841-USD,58,61,4,9
APT21794-USD,31,41,2,8
OP-USD,81,83,2,15
CAKE-USD,2,6,13,18
SHIB-USD,35,37,54,88
PENDLE-USD,87,88,5,18
UNI7083-USD,18,21,24,27
NEAR-USD,13,33,2,17
SEI-USD,47,48,12,40
GRT6719-USD,2,15,20,79
STX4847-USD,30,32,11,19
