Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
MU,SMA,71,82,0,false,false,None,1,89,1.597102710255594,59.09090909090909,2.5762930707813863,12.66888253436867,0.8749917955819712,0.4319017316843013,65 days 14:27:16.363636363,0.005844186647129824,0.17978068487879953,0.35754136206233167,2.277620378677861,0,10396,10397 days 00:00:00,1000.0,132742.55513524252,13174.255513524253,9200.530470780133,100.0,4021.2378077029593,81.6255611674083,2299 days 00:00:00,88,12773.46229865172,322.73257359741496,-48.95119923782348,32.87746650335729,-16.52129430972601,81 days 12:00:00,42 days 15:19:59.999999999,1351.9215095067143,0.5937292470955907,0.22936371224304838,1.1208432720199795,0.09613236690111629,8.386718432912232,1.1005776773937501,1.0184135977337108,-0.03994680072481328,0.0008123725661392301,0.20471788666708599,131.7425551352415,0.12578903126340513,0.41496694991370414,0,89,15057.698412698412,None,None,None,None
AAPL,SMA,79,83,0,false,false,None,1,140,1.4953618391344028,56.11510791366906,2.891058354105529,6.009868875627721,0.8224287912726836,-0.9499284454667758,50 days 15:01:17.697841726,0.008513006589875919,0.26080014193205003,0.5197374257074425,1.5673746557567196,0,11273,11274 days 00:00:00,1000.0,94458.60557719033,9345.860557719034,186650.09794169138,100.0,4521.209439631277,90.49803063596802,4989 days 00:00:00,139,3534.762025521355,180.2328237519991,-65.90961784158745,18.219583579765715,-9.602553205073317,66 days 12:36:55.384615384,30 days 07:04:55.081967213,646.9341262709993,0.5744275515385273,0.1752986118091897,1.1174918912864942,-1.2577691630527075,42.82089837784477,1.085123594097937,1.0298291340863017,-0.030716589462566477,0.0006304161831654688,0.15886487815769812,93.45860557719121,0.10700917661738685,0.3328425141629573,0,140,16327.956349206348,None,None,None,None
NTES,SMA,38,46,0,false,false,None,1,93,1.2490880264728998,52.17391304347826,1.5507776333201422,7.927259143087662,1.1627717543353544,-0.6899200961562088,39 days 08:36:31.304347826,0.010031239453439368,0.308433354390398,0.6135502210991788,2.4450311286244797,0,6332,6333 days 00:00:00,1000.0,69365.26992309952,6836.526992309952,22047.6300062128,100.0,6473.88224777226,74.0805205098432,1146 days 00:00:00,92,-364.12351723585743,214.82286720205357,-36.34781366082007,23.694746897237167,-9.273636588711796,55 days 21:30:00,21 days 07:38:10.909090909,747.058624351472,0.749523478642811,0.37361032163556396,1.1727302373956543,0.8826991807877959,18.893047885613843,1.190703114597121,0.9849056603773587,-0.03206012763620025,0.0009765086588851475,0.24608018203905715,68.36526992309943,0.1837552830561977,0.3951277756686544,0,93,9171.349206349207,None,None,None,None
ANET,SMA,6,11,0,false,false,None,1,128,1.2397811623243147,51.96850393700787,1.9601439019572389,2.1063832286580215,1.3232704935610835,-0.810611613027513,13 days 02:50:04.724409447,0.03099405860050262,0.9501590668080593,1.8928950159066806,2.001399122881853,0,2829,2830 days 00:00:00,1000.0,8680.904626832564,768.0904626832563,4055.6365411931984,100.0,613.6131567535892,39.9283618692248,627 days 00:00:00,127,374.5491480693818,42.314979853656446,-21.250615632364887,8.58600520442626,-4.904355302501054,18 days 07:16:21.818181818,7 days 12:11:48.196721311,57.53035810049747,0.9207375292301565,0.805073942290653,1.2086165788481669,-0.5292346199116037,27.552570167237455,1.1278684884509815,1.0715935334872981,-0.027849423187391868,0.0009682367230615658,0.2439956542115146,7.68090462683257,0.21220312131295982,0.3189278225080231,0,128,4097.559523809524,None,None,None,None
