Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
MSTR,,MACD,13,21,32,,false,false,0,155,1.7518813526425319,45.16129032258064,2.76001841200707,8.27908241937922,1.3692499275654164,18.48496429873294,23 days 09:54:34.838709676,0.015779076766460776,0.4799469183131819,0.9598938366263638,3.9735200936418993,0,6782,6783 days 00:00:00,1000.0,653458.0648907044,65245.80648907043,3348.520710059151,100.0,12777.454850941223,90.38661507823632,1920 days 00:00:00,155,0.0,172.7589740381635,-61.58299999999998,29.391901711873984,-9.107945233263523,37 days 07:53:08.571428571,11 days 22:52:14.117647058,4209.406870262609,0.8496663802511214,0.461784098078042,1.2367938971927133,1.8533783114418028,62.59126719034786,1.2667969836475264,0.3764204545454545,-0.04157145065881241,None,None,0.0016057504867562434,0.4046491226625733,652.4580648907,0.2723017721615748,0.5731606025940155,9823.13492063492
MSTR,,SMA,16,82,0,,false,false,1,48,1.6483213065595455,53.191489361702125,2.6645516713439705,37.12137376155984,1.496204154134489,36.08248118525309,78 days 22:28:05.106382978,0.0047846232775719776,0.14862872309053377,0.29416101445001475,5.517302381547083,0,6782,6783 days 00:00:00,1000.0,1242714.5622919877,124171.45622919877,3348.520710059151,100.0,20945.812079704625,83.94428050240444,2354 days 00:00:00,47,-59982.811602563364,489.9829015544042,-30.033379409144324,80.13482711966776,-11.757550509017353,120 days 00:57:36,32 days 05:27:16.363636363,27695.688806267037,0.9408038338839971,0.5566477743707844,1.2471312339222635,0.46383440203517934,38.85321556578547,1.2411640988317294,0.38372093023255816,-0.03844673671166435,None,None,0.0015674879579855084,0.39500696541234814,1241.7145622919875,0.30305025662242757,0.5053029540697163,9823.13492063492
MSTR,,SMA,18,21,0,,false,false,1,242,1.643868238416578,47.30290456431535,2.12649658153768,5.618468598140746,1.468668977440467,35.11818852978565,15 days 01:59:30.124481326,0.02453391935946482,0.7493364789147744,1.495576526098496,4.210123476224015,0,6782,6783 days 00:00:00,1000.0,1210425.0230180812,120942.50230180813,3348.520710059151,100.0,58327.30966469848,85.9624617378018,2357 days 00:00:00,241,-16046.070170397637,481.51675392670165,-35.477187499999985,18.38476152496884,-5.841038438539588,20 days 13:15:47.368421052,10 days 04:09:26.929133858,5084.942295387876,0.9182058888576522,0.541162738538372,1.2503455119083633,0.7209504271059219,38.752877175851296,1.3582501947052084,0.3761412051125989,-0.03905482226356113,None,None,0.001631826620950353,0.411220308479489,1209.4250230180699,0.3017763951979153,0.5389899192208245,9823.13492063492
MSTR,,SMA,6,27,0,,false,false,1,149,1.5998660672005387,38.513513513513516,1.9435254677957297,11.463977432084665,1.369391989925387,18.729840147130805,24 days 07:56:45.405405404,0.015066473299588354,0.4613683279268652,0.9196402241226777,5.28911609923222,0,6782,6783 days 00:00:00,1000.0,661657.7833882399,66065.77833882399,3348.520710059151,100.0,18305.5482176318,89.48038602708812,2310 days 00:00:00,148,94963.26187544409,621.5801948051948,-50.0000264924055,43.04846379075747,-8.319711825545548,44 days 22:18:56.842105263,11 days 10:17:08.571428571,3822.260280491864,0.8781913786278687,0.46752418506510807,1.2370297459618569,0.3273312105181444,41.44664896105661,1.286833990358583,0.3716885743174924,-0.03795317549157728,None,None,0.0015128849571637464,0.3812470092052641,660.6577833882404,0.2728913484599096,0.5224725017454992,9823.13492063492
MSTR,,MACD,13,31,11,,false,false,0,219,1.5936767011136932,40.63926940639269,2.5677728720779416,5.656629519109433,1.4580503537972103,30.591454161449565,16 days 09:58:21.369863012,0.022294308463580065,0.6781185491005602,1.3562370982011205,3.835865402297889,0,6782,6783 days 00:00:00,1000.0,1058846.3852049822,105784.63852049822,3348.520710059151,100.0,26265.517874452053,85.08324312161011,1667 days 00:00:00,219,0.0,221.76438495185585,-54.00252659574467,23.96375762089892,-6.876712027500291,26 days 11:51:54.606741573,9 days 12:22:09.230769230,4830.348790890332,0.88237096971027,0.534401434199906,1.2503705635554347,2.141477071490047,61.93305742213456,1.3392432662685116,0.36919660880096894,-0.040915475508695794,None,None,0.001688037987661177,0.4253855728906166,1057.8463852049842,0.2953218607597603,0.5801999768751342,9823.13492063492
MSTR,,SMA,52,90,0,,false,false,1,39,1.5785441922689876,60.526315789473685,2.8770109087309574,30.51898501049582,1.120144283907887,1.773146992619681,98 days 22:06:18.947368421,0.0038684188201645775,0.12076083751105868,0.23842524329106457,3.685498189854921,0,6782,6783 days 00:00:00,1000.0,93859.40136825254,9285.940136825253,3348.520710059151,100.0,1466.0692775961606,92.58642735845723,2380 days 00:00:00,38,-9263.488154888153,548.5691315957581,-38.37834262845191,61.1965040519,-16.519877519657257,129 days 18:46:57.391304348,51 days 14:24:00,2687.444461135282,0.7098939680276807,0.299021457665117,1.181468985579389,0.7169014800079772,40.55272830556367,1.195930819889302,0.38315660685154984,-0.039568559343029545,None,None,0.0011923676901898362,0.30047665792783873,92.85940136825197,0.18380701241007524,0.5094052493476506,9823.13492063492
MSTR,,MACD,9,13,5,,false,false,0,404,1.5473539410483588,41.336633663366335,2.9778368399228015,2.9897521720644944,1.6156550523702526,61.65994210369349,8 days 15:23:10.099009899,0.04112740008806551,1.2509584193453258,2.5019168386906516,3.7400556514000542,0,6782,6783 days 00:00:00,1000.0,2099181.13825325,209818.113825325,3348.520710059151,100.0,67239.43536790088,82.05310804849529,3977 days 00:00:00,404,0.0,128.4712106704712,-35.71772540983606,14.636488036161074,-5.217019512763052,12 days 20:07:11.137724550,5 days 16:24:18.227848101,5193.517668943687,0.9260775678601176,0.6206415593045479,1.262420620518707,3.2122447432375796,53.886600274684525,1.509182724812745,0.35173375846950966,-0.04066274055893002,None,None,0.0017390133575472277,0.4382313661019014,2098.181138253255,0.32867820498752054,0.5695111824841415,9823.13492063492
MSTR,,SMA,6,84,0,,false,false,1,64,1.495326973249404,44.44444444444444,2.202033597221742,33.59956450150893,1.4174084842900716,20.638251778519795,58 days 03:48:34.285714284,0.0064134312018518,0.19817163078737834,0.3932468298437039,6.6584804910097315,0,6782,6783 days 00:00:00,1000.0,725561.3420984779,72456.13420984779,3348.520710059151,100.0,16905.230871824457,88.73526736933606,2382 days 00:00:00,63,41585.513407633174,968.2606217616581,-43.82149374097277,89.33300825536105,-10.987190501572767,105 days 23:08:34.285714286,19 days 21:56:34.285714285,10840.886169695945,0.8951008896606357,0.47939973767826266,1.2357251566875862,0.4126303239544168,39.779485513973285,1.243706158775989,0.37725888324873097,-0.03853315312428107,None,None,0.0014833893248623114,0.3738141098653025,724.5613420984798,0.27725883441632315,0.5026085395057937,9823.13492063492
