Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
RGTI,SMA,11,12,0,True,False,,0,78,1.5154158422094717,48.717948717948715,2.5386915789726627,11.216641684891025,2.1183724441209684,1.3911074445081804,7 days 00:55:23.076923075,0.0474885844748858,1.4444444444444444,2.888888888888889,16.20181576706481,0,1134,1135 days 00:00:00,1000.0,8327.899756290884,732.7899756290884,306.4646790808741,100.0,198.98007264341985,84.77204194194411,757 days 00:00:00,78,0.0,740.5969216675728,-30.187902782131204,33.41354324272878,-9.870414795054844,9 days 03:47:22.105263157,5 days 00:36:00,93.94743277296008,1.1300469707867429,1.152634543015992,1.3193558465139932,2.309731006100974,18.535143158066383,1.841924240623455,0.7162921348314607,-0.0777434797239969,0.0039404887719432,0.993003170529693,7.327899756290902,0.6009700588362832,1.057548519325918,0,78,1642.5,,,,
CSCO,SMA,73,78,0,True,False,,0,105,1.4498493542536943,57.14285714285714,1.797695678565273,7.970695541779584,1.182275268633185,-0.8009612560493703,53 days 18:44:34.285714285,0.0080655485853283,0.2453271028037383,0.4906542056074766,1.9554276445954584,0,8988,8989 days 00:00:00,1000.0,184724.43519015625,18372.443519015625,92305.86545287278,100.0,18603.260864834436,63.11841626302458,4486 days 00:00:00,105,0.0,241.18740352493103,-25.648213992212145,18.674543194032537,-6.301101327891012,70 days 12:24:00,31 days 11:12:00,1749.7565256205344,0.7950132716806287,0.373964265506495,1.1631388860670693,0.1918828656368811,10.481786899109752,1.099190378845543,1.0581778265642152,-0.0263177602424434,0.0007377367960409,0.1859096726023242,183.72443519015656,0.1575515534729497,0.2814321893495066,0,105,13018.333333333332,,,,
ADBE,SMA,42,63,0,True,False,,0,82,1.448013124174932,59.7560975609756,1.91720024708456,10.46777959617302,0.9526777727821266,-0.9098733526538372,74 days 17:51:13.170731706,0.0057318718872265,0.1743444365698086,0.3486888731396173,1.8249991358317248,0,9877,9878 days 00:00:00,1000.0,153785.65820537173,15278.565820537173,169523.2905075732,100.0,7132.610744821658,81.92090349651285,1092 days 00:00:00,82,0.0,162.68056733504585,-61.32298369407654,25.401159627967075,-11.706027117702996,98 days 21:03:40.408163265,38 days 21:49:05.454545454,1863.2397342118504,0.6487930372054993,0.2496360627313161,1.1384009785960771,-0.0367129207677283,19.794950591347614,1.0841215504929134,1.050067658998647,-0.0319294508563593,0.0007652592606129,0.1928453336744555,152.78565820537233,0.1370797579598115,0.3577248547595939,0,82,14305.972222222224,,,,
IBKR,SMA,51,53,0,True,False,,0,121,1.4293429538974392,55.371900826446286,2.5167044093042024,2.492695212102497,1.0781842172376046,0.0161004944794512,22 days 14:40:39.669421487,0.0179655324790101,0.5464516129032259,1.0929032258064515,1.362137319129558,0,4650,4651 days 00:00:00,1000.0,9007.391251443389,800.7391251443387,788.0511125570879,100.0,540.6967112452967,42.275317375234025,1444 days 00:00:00,121,0.0,115.13685154995552,-24.619192993204084,7.950972975841947,-4.279612383648304,28 days 22:55:31.343283582,14 days 17:46:40,66.1767872020115,0.7415589709614429,0.4453403274557956,1.154607473000978,-0.0981361536043906,12.24068165548217,1.1562405811664636,0.998587570621469,-0.0217729749239536,0.0005874546893179,0.1480385817081252,8.00739125144338,0.1264761095339943,0.2402566318274286,0,121,6735.119047619048,,,,
CI,SMA,24,52,0,True,False,,0,100,1.4097925635098505,55.00000000000001,2.2662920474119197,5.442895078585777,0.9875628715951816,0.2838289472328643,65 days 16:19:12,0.0062867506729567,0.1912219996357676,0.3824439992715352,1.0408012807348508,0,10982,10983 days 00:00:00,1000.0,68087.6133017899,6708.76133017899,5225.588147579085,100.0,4078.2338198013817,50.4013822543503,983 days 00:00:00,100,0.0,63.81209818536324,-21.430200828996018,14.726876794520535,-5.9041936853344845,94 days 11:46:54.545454545,30 days 11:12:00,670.8761330178986,0.6729709573807205,0.2987714203317161,1.14072556266561,0.2267419111176658,15.77565758110194,1.060871375228487,1.0752722613709162,-0.0191428857951807,0.0004753359617645,0.1197846623646779,67.08761330178974,0.1016887741932608,0.214215579275947,0,100,15906.468253968254,,,,
APP,SMA,5,10,0,True,False,,0,55,1.3532828801085457,47.27272727272727,4.276172898983638,5.702639764655672,2.317635466799623,-0.115457889234085,11 days 15:16:21.818181817,0.03333854498659,1.0140474100087795,2.028094820017559,5.7827470835621595,0,1139,1140 days 00:00:00,1000.0,8840.136362606814,784.0136362606814,886.3497019738415,100.0,213.32190047788248,82.25717706410401,695 days 00:00:00,55,0.0,118.66307050528172,-23.782144821883,19.08637227393543,-6.296568691939973,17 days 11:04:36.923076923,6 days 09:55:51.724137931,142.54793386557844,1.3367749987729662,1.2269386307981482,1.3356107003252553,2.73180359290769,32.265882528187504,1.3203028412957405,1.011594202898551,-0.0469311154022968,0.002537667614966,0.639492238971444,7.840136362606801,0.6188896433377495,0.5757356544242284,0,55,1649.7420634920634,,,,
REGN,SMA,33,48,0,True,False,,0,103,1.3253722671627652,53.398058252427184,1.9606117660925828,5.307468321965074,0.7495464027199558,-0.558647075589489,43 days 21:54:10.485436893,0.008168197653012,0.2484493452791178,0.4968986905582357,1.318637029681881,0,8706,8707 days 00:00:00,1000.0,12787.204666557263,1178.7204666557263,2670.6982132951166,100.0,743.9892175038542,88.13102921038326,3058 days 00:00:00,103,0.0,208.4714285714286,-34.24552363788501,20.311991927231848,-11.885214975736435,58 days 08:17:27.272727273,27 days 09:00:00,114.43888025783744,0.4539281088957708,0.1279308937931515,1.1116720762675898,3.795659734787301,85.35580546698569,1.1741716123526804,0.9467713787085514,-0.0352662221898491,0.000656663807408,0.1654792794668352,11.787204666557171,0.076545908892643,0.4387354291647645,0,103,12609.880952380952,,,,
RKLB,SMA,11,13,0,True,False,,0,72,1.3188918075154654,51.388888888888886,2.352044079133451,3.5711019790701615,1.7087359807396871,-0.3532429702555301,9 days 02:39:59.999999998,0.0402506793855027,1.2242914979757085,2.448582995951417,4.372069791379825,0,1235,1236 days 00:00:00,1000.0,4708.763924082923,370.8763924082923,573.4400638131812,100.0,178.0509525057316,77.37220244884521,805 days 00:00:00,72,0.0,128.32302789443722,-28.01804101267182,13.738748836057058,-7.177553269744555,12 days 01:56:45.405405405,5 days 23:18:51.428571428,51.510610056707286,0.9807490203432392,0.749892833617486,1.231277325883826,2.3347429142170895,20.80116641163652,1.4948535118528403,0.8236775818639798,-0.0479251822978539,0.0019223988363375,0.4844445067570742,3.7087639240829295,0.3714962176619403,0.5944732465068392,0,72,1788.7896825396824,,,,
FTNT,SMA,7,22,0,True,False,,0,99,1.2819000842327133,53.535353535353536,1.9102549434510117,3.899576328774776,1.4349221188231427,-0.624660160292301,24 days 20:36:21.818181817,0.0170535641046673,0.5187125748502994,1.0374251497005988,2.0227592783240422,0,4008,4009 days 00:00:00,1000.0,19886.23441492419,1888.6234414924193,5031.769190723826,100.0,1551.1254047713005,48.01328948224374,962 days 00:00:00,99,0.0,73.24790342042684,-20.59481440979485,12.182652166468747,-5.643967571176973,35 days 14:02:15.849056604,12 days 12:00:00,190.77004459519392,0.9355046543256832,0.6516647356074975,1.20308107687295,1.0825132474355863,22.779805024436666,1.1191027315980575,1.075040783034258,-0.027034533161751,0.0009212163644806,0.2321465238491192,18.886234414924232,0.2067718037889145,0.298649914148846,0,99,5805.238095238095,,,,
XYZ,SMA,11,23,0,True,False,,0,55,1.2719047005293274,52.72727272727272,1.7469120889675755,7.6051589236497374,1.6897779198144398,2.342926107769289,25 days 09:35:59.999999998,0.0152072898437028,0.4625550660792952,0.9251101321585904,3.517804788472346,0,2497,2498 days 00:00:00,1000.0,18157.115123655723,1715.7115123655724,513.2364452741239,100.0,986.6168162329672,46.702698819095104,977 days 00:00:00,55,0.0,160.57472113924734,-18.03276528484102,21.182586543767652,-7.538894960327934,37 days 03:18:37.241379310,12 days 07:23:04.615384615,311.94754770283106,1.1325498050276894,1.129385603166985,1.2495331714309603,0.0435978981270165,8.739509268701921,1.117056487025319,1.118594436310395,-0.0384272865942992,0.0014682306389547,0.3699941210165938,17.157115123655693,0.3397184336582268,0.39317299035757,0,55,3616.686507936508,,,,
