Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
BKNG,SMA,72,76,0,False,False,,1,84,1.8080723447389568,65.06024096385542,3.446690187571687,9.928706862823358,1.1750971241408483,7.952935168808211,49 days 14:44:49.156626505,0.0085951866790222,0.2645867706614669,0.5260236988150593,2.627004485678776,0,6667,6668 days 00:00:00,1000.0,88383.34903713367,8738.334903713367,976.0301776960804,100.0,4144.516053613618,79.51563993825144,1531 days 00:00:00,83,-2708.525372388249,236.252777365809,-51.011206896551705,20.966905840613443,-10.625180888923692,60 days 19:06:40,28 days 19:02:04.137931034,1085.44426999424,0.7604415098596412,0.3496597587475169,1.1872049094558883,0.8489534758639726,39.269838881460736,1.1195375304646586,1.0604422604422603,-0.0286018757892944,0.0009669610761796,0.2436741911972666,87.38334903713377,0.1845628043646503,0.3856469310248193,0,84,9656.56746031746,,,,
DECK,SMA,81,88,0,False,False,,1,88,1.7625759898711912,59.77011494252874,3.243513555031369,14.56673825625517,1.3422279630442115,9.643658020180595,55 days 15:59:59.999999999,0.0074671498538858,0.2297364495275982,0.4568622575832919,3.3465107281899003,0,8044,8045 days 00:00:00,1000.0,871477.2411878832,87047.72411878832,8178.365365905595,100.0,20154.974732113023,57.76646140193261,1262 days 00:00:00,87,-18977.140139756026,516.6080969525713,-24.390006546063976,30.32357706139388,-8.843422254236627,71 days 05:32:18.461538461,32 days 13:01:42.857142857,10223.613578478613,0.8634209693177095,0.6224396546714044,1.1951107280868405,1.1574445659127164,22.877015361646215,1.0959213761606037,1.0905077262693157,-0.0355427774976911,0.0011758620551365,0.2963172378944022,870.477241187883,0.236232062320342,0.4130289437957549,0,88,11651.031746031746,,,,
AVGO,SMA,86,88,0,False,False,,1,78,1.7441361272519833,63.63636363636363,8.597377398813222,7.756383950528455,1.8784004635891265,-0.6403526310715718,36 days 23:59:59.999999999,0.0130875538738592,0.4032496307237814,0.8013293943870016,3.127758963802464,0,4062,4063 days 00:00:00,1000.0,73972.40613065677,7297.240613065678,20289.98748081449,100.0,1626.228708056699,41.48400268554687,595 days 00:00:00,77,12104.37071143726,246.05081821239995,-19.934259495487243,14.694849986520923,-4.38593161245837,48 days 17:37:57.551020408,16 days 11:08:34.285714285,790.4939664833703,1.198209104420743,1.1377900504846006,1.2378208874084444,0.8762114185169546,13.297528606482793,1.1383815487670172,1.0873515024458422,-0.0293011553383708,0.0012593341201838,0.3173521982863265,72.97240613065652,0.305947042754614,0.3187535700986341,0,78,5883.452380952381,,,,
AMAT,SMA,63,78,0,False,False,,1,92,1.690453113858226,59.34065934065934,3.37764562857379,13.866784220904872,1.24126498971372,0.4711790048345589,73 days 02:38:14.505494505,0.0054737234065406,0.1683220073183481,0.3348144276006273,2.3340849551131044,0,11478,11479 days 00:00:00,1000.0,3154014.2634964683,315301.4263496468,214318.8730355107,100.0,87913.49849075417,68.99444951216235,2182 days 00:00:00,91,469480.7128138784,180.5708703350257,-51.36831686460077,29.821189074288895,-9.418022862412348,91 days 16:53:20.000000001,45 days 23:21:04.864864865,29489.379677830664,0.8119052168875015,0.4231859544102889,1.171116596831644,0.4945300307418844,10.252436104745506,1.1502807800782022,1.0181136789506555,-0.0333343056850816,0.0009513397696649,0.2397376219555669,3153.014263496452,0.1934686485928609,0.3553669402342312,0,92,16624.88095238095,,,,
AAPL,SMA,80,85,0,False,False,,1,129,1.6748036517470128,61.71875,3.8474732562477647,7.071300991798601,0.912155061098284,-0.9001143535529954,55 days 02:03:44.999999999,0.0078268180621491,0.2399256044637322,0.4779913205207688,1.6965861648022684,0,11291,11292 days 00:00:00,1000.0,199701.7278741504,19870.17278741504,198929.21049429625,100.0,7455.409389333933,88.51775557686818,4939 days 00:00:00,128,17712.780778466666,185.9116376180996,-63.068051606552736,18.22608229896263,-10.91293825852708,66 days 05:28:06.075949367,37 days 02:56:19.591836734,1413.9761491850295,0.6336757028566875,0.2109677386852344,1.1301971190085287,-1.2185154098567514,42.408479178389975,1.09256604537618,1.0344428364688856,-0.0306488625652425,0.0006969295200282,0.1756262390471223,198.70172787415115,0.1254777017853088,0.3335558085289932,0,129,16354.027777777776,,,,
DASH,SMA,27,28,0,False,False,,1,64,1.6560386449227442,68.25396825396825,2.9167068851567217,2.3641087217397105,1.702046452650115,5.2624728609752145,10 days 19:02:51.428571427,0.036036363223661,1.1135045567522783,2.2096106048053024,2.6324458343149715,0,1207,1208 days 00:00:00,1000.0,3581.853965209117,258.18539652091175,41.22738768734659,100.0,180.36611800119783,53.78298140646589,461 days 00:00:00,63,21.73770158844536,25.04257475533423,-21.3851803195059,6.130598167945559,-5.7338435876028635,12 days 06:08:22.325581395,7 days 15:36:00,40.63676608921702,1.0822307114990246,0.874559919868806,1.2397767114320342,1.120069150952037,13.24690561851911,1.266510441058602,0.9788918205804747,-0.0355381306628595,0.0013267558658505,0.3343424781943384,2.5818539652091146,0.3049444968158823,0.3718072593189991,0,64,1748.234126984127,,,,
APH,SMA,72,88,0,False,False,,1,64,1.6540995523774966,68.25396825396825,2.566081693004862,11.616601873717524,1.3961741513633843,-0.6988452712219957,90 days 07:37:08.571428571,0.0050979712155366,0.1575246132208157,0.3125879043600563,1.8299007170975563,0,8532,8533 days 00:00:00,1000.0,258552.85958154988,25755.285958154993,85521.77169079239,100.0,7704.585902111889,44.62699931461842,865 days 00:00:00,63,72585.09941696358,212.51211509980084,-33.3306539446917,20.89842881886877,-8.339326058357651,108 days 08:55:48.837209302,51 days 12:00:00,2935.9961930886707,0.9065309791957716,0.6010424039322735,1.191910640998695,0.7599293709629056,18.38190637970075,1.132543444320602,1.0524193548387095,-0.0226503790679034,0.0007883367154154,0.1986608522847045,257.5528595815491,0.178279660650066,0.2637398811746192,0,64,12357.857142857143,,,,
BLDR,SMA,50,57,0,False,False,,1,55,1.6439625002925804,61.111111111111114,8.210028551932819,11.99528999117107,1.2519243460600102,5.077766048524707,51 days 15:06:39.999999999,0.0073145363509558,0.2266038846380223,0.4490876986462624,2.7181793093589537,0,5097,5098 days 00:00:00,1000.0,52200.659889458286,5120.065988945828,842.4256458816233,100.0,854.3580519540247,76.89888986374268,1427 days 00:00:00,54,1427.8970296978732,182.0736465120501,-47.610166725460665,26.85362750641385,-11.353526104210443,57 days 00:00:00,43 days 04:34:17.142857143,921.717830736304,0.7678712122519873,0.425666936917887,1.1952267644510464,3.2551915077525706,75.97660517486628,1.1299584087131065,1.0577617328519855,-0.0355719652653897,0.0012150504481977,0.3061927129458404,51.2006598894586,0.2159247505471608,0.4799020736717416,0,55,7382.559523809524,,,,
DHR,SMA,65,81,0,False,False,,0,85,1.642119876554751,70.58823529411765,2.123970330786229,8.049870170413634,1.029544422619099,-0.934706712709566,90 days 03:06:21.176470589,0.0049796293175094,0.1514637250742469,0.3029274501484938,1.219263322374912,0,11785,11786 days 00:00:00,1000.0,183493.164073498,18249.316407349797,279497.5894868676,100.0,9202.125388626691,54.13532021748995,1022 days 00:00:00,85,0.0,96.5778810004745,-47.04115324525826,15.728865267807512,-10.379718063331682,103 days 03:12:00.000000001,58 days 22:04:48,2146.9784008646816,0.6742118560488758,0.3235841553070032,1.1450431338515497,0.6315340784668896,20.55472356332348,1.11043225826914,1.0311688311688312,-0.0227233677862488,0.0005740578361896,0.14466257471978,182.49316407349824,0.1178901657063824,0.2582295669576464,0,85,17069.54365079365,,,,
AMZN,SMA,53,65,0,False,False,,1,77,1.6322395602925273,60.526315789473685,2.3295111514016527,15.283213062795776,1.618597600296322,-0.2881397216468455,58 days 17:41:03.157894736,0.0073509712631987,0.2265340431493415,0.450126085738302,3.4621680474279586,0,7138,7139 days 00:00:00,1000.0,1596570.3968744548,159557.0396874455,224140.95088515265,100.0,71562.57740874465,70.85863663404723,902 days 00:00:00,76,70316.24516757065,227.02734995034209,-33.95705890085733,31.55753641803386,-9.67074941523595,76 days 04:10:26.086956522,32 days 00:00:00,20069.133575090586,0.9942950883824506,0.6464228339764946,1.233646399599237,1.4317522261899316,17.617454817495467,1.2023274935853197,1.0260485651214128,-0.0324245730850825,0.0013762973909733,0.3468269425252877,1595.5703968744494,0.2973869725747575,0.4198012187915241,0,77,10338.76984126984,,,,
