Ticker,Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
BTC-USD,SMA,11,36,0,,false,false,1,54,1.6775932260478807,52.83018867924528,3.068159758746415,19.290687236028802,2.2769051740739887,1.605374440185,40 days 12:13:35.094339621,0.0135480572597137,0.41411042944785276,0.8205521472392637,7.9884747756560985,0,3912,3913 days 00:00:00,1000.0,600120.7082488518,59912.07082488517,22995.570195518994,100.0,13277.628284654307,56.86020362672907,731 days 00:00:00,53,116334.6961297979,222.4912061437157,-18.251507913216162,43.10343527569783,-7.37959056840051,60 days 12:51:25.714285714,18 days 01:55:11.999999999,9109.170039982146,1.46279695799984,1.4353557245515995,1.3580213177162872,0.4930419481324206,10.98984952954884,1.1720681912240167,1.1586538461538463,-0.034987095409957175,0.001962623700417632,0.49458117250524325,599.1207082488479,0.5098039410987776,0.406911246289476,3912.0
BTC-USD,SMA,26,38,0,,false,false,1,56,1.6562582761363391,56.36363636363636,3.0753607411877324,17.257414472073084,2.0837405411501275,0.41799221178309826,39 days 14:50:10.909090908,0.014059304703476482,0.42944785276073616,0.8512269938650306,7.411159589233839,0,3912,3913 days 00:00:00,1000.0,327075.39442757476,32607.539442757472,22995.570195518994,100.0,8420.748157365644,67.09803713121846,817 days 00:00:00,55,33698.242105432786,267.5713900491202,-25.20796837568079,36.924547647376784,-8.145965879360856,52 days 07:44:30.967741935,23 days 05:00:00,5315.948224038945,1.336929913689863,1.0673667160255111,1.321682332821733,0.5730594999794074,10.561281401664209,1.1661902936662356,1.1333333333333333,-0.035795688248371656,0.0018143507335878141,0.4572163848641292,326.07539442757354,0.4519281400656181,0.4115847799699065,3912.0
BTC-USD,SMA,8,44,0,,false,false,1,48,1.6539734034178868,48.93617021276596,2.7899720615634376,25.15650890162877,2.387822117519346,2.926273212685478,45 days 07:39:34.468085105,0.012014314928425357,0.36809815950920244,0.7285276073619632,9.260064626366418,0,3912,3913 days 00:00:00,1000.0,903868.9126909478,90286.89126909478,22995.570195518994,100.0,16695.913127826054,53.60574920633759,755 days 00:00:00,47,180464.54496646195,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.5232914685476546,1.6544310077566762,1.3765383509140403,0.5381947967886964,10.717528531825518,1.1756257475696215,1.1708984375,-0.03528492504706352,0.0020782224448271584,0.5237120560964439,902.8689126909434,0.5501556453216712,0.41376687921587035,3912.0
BTC-USD,SMA,104,105,0,,false,false,0,74,1.639620292938062,59.45945945945946,2.613275778287028,15.749016967236047,1.7733052271588272,-0.048724951605591905,31 days 07:08:06.486486486,0.018916155419222903,0.5674846625766871,1.1349693251533741,8.937325579566467,0,3912,3913 days 00:00:00,1000.0,219751.12150599342,21875.11215059934,22995.570195518994,100.0,13390.384080206775,64.62311387272726,1049 days 00:00:00,74,0.0,635.637382729637,-23.814704618803713,29.780735254667917,-4.830836520997361,43 days 07:05:27.272727273,13 days 16:48:00,2956.096236567479,1.1824180116436405,1.0115329962538446,1.2799211808673296,-0.06896876619414594,16.06760077100734,1.1682226951070922,1.0956140350877193,-0.040679036310238684,0.001810426113331687,0.45622738055958517,218.75112150599384,0.4152137473655557,0.4643617841487383,3912.0
BTC-USD,MACD,14,23,13,,false,false,0,101,1.62239493545616,53.46534653465347,2.1129746794041857,8.495155992749769,2.491323071344346,1.954701622324728,20 days 06:53:27.920792078,0.02581799591002045,0.7745398773006135,1.549079754601227,6.579837080273977,0,3912,3913 days 00:00:00,1000.0,680450.4856298214,67945.04856298213,22995.570195518994,100.0,31955.446946263673,61.52755789276792,1106 days 00:00:00,101,0.0,104.68813710047856,-26.016413568790824,21.66278034697891,-6.6336039035986065,28 days 13:46:40,10 days 18:22:58.723404255,6727.23253098833,1.5259343426073952,1.361265004637869,1.3945684274079833,0.9792248158777807,12.097497879860706,1.3299111639554304,1.0486177311725453,-0.03084647716945754,0.00196745556800547,0.4957988031373784,679.4504856298224,0.5220682384538973,0.39103514173565224,3912.0
BTC-USD,SMA,76,78,0,,false,false,1,64,1.5906251106862772,57.14285714285714,2.2392518871545506,25.154362217201612,1.7817868336444713,-0.02298767736133732,36 days 10:39:59.999999999,0.016104294478527608,0.49079754601226994,0.9739263803680981,12.345699247706312,0,3912,3913 days 00:00:00,1000.0,225669.5544712442,22466.95544712442,22995.570195518994,100.0,11199.237248098307,64.3271929581157,1302 days 00:00:00,63,-13163.335232997604,996.8003042619595,-33.28289019687436,48.97741697884685,-6.609710798325365,47 days 15:19:59.999999999,21 days 12:26:40,3775.1252334006626,1.1891136405401728,1.0225670406916536,1.2805469894867534,-0.07734690356952079,16.253931001483537,1.1503392491626416,1.1131907308377897,-0.03958711702235367,0.0018142786034839532,0.4571982080779562,224.66955447124548,0.4176379914992798,0.4627296415048412,3912.0
BTC-USD,SMA,3,47,0,,false,false,1,64,1.5802814365559832,42.857142857142854,2.6169933408095485,18.61105197857252,2.329280611968781,2.2727199187373657,34 days 04:34:17.142857142,0.016104294478527608,0.49079754601226994,0.9739263803680981,9.134258639790193,0,3912,3913 days 00:00:00,1000.0,753580.6062159832,75258.06062159831,22995.570195518994,100.0,20293.514169513423,59.404739460533705,756 days 00:00:00,63,147280.63539257657,409.7899392895237,-21.15388110539338,51.40198660542248,-5.982148991564944,67 days 02:40:00,9 days 12:00:00,9607.936044815975,1.492525423067578,1.4395044055920747,1.366307246188483,0.5077757797806053,10.839088697041731,1.183832576870648,1.1541389153187442,-0.0349010159993088,0.002029719612572012,0.511489342368147,752.5806062159795,0.5321074073898959,0.4124402233383208,3912.0
BTC-USD,SMA,27,29,0,,false,false,1,141,1.495817183156228,51.42857142857142,1.8480064053423475,7.168351865384597,2.3263994271887936,1.8405917398062772,15 days 14:13:42.857142856,0.03578732106339468,1.081288343558282,2.1549079754601226,7.751055314564632,0,3912,3913 days 00:00:00,1000.0,654210.2674952667,65321.026749526674,22995.570195518994,100.0,49824.16548248408,64.84165645822193,752 days 00:00:00,140,66946.47886856995,217.46231727195834,-24.03378449670691,18.66673755979252,-5.006409458106142,21 days 18:00:00,9 days 01:45:52.941176470,4187.59849019069,1.4632338626300136,1.2813132804749199,1.3523680498723771,0.708858065615333,9.75941737574308,1.289727346156207,1.0485689505637468,-0.03575958192092772,0.001993402691113233,0.5023374781605348,653.2102674952647,0.5182182671685132,0.4131692574846926,3912.0
BTC-USD,MACD,18,29,18,,false,false,0,82,1.4267428896863454,53.65853658536586,1.7575789566457718,9.449764997187227,2.1328059385289917,0.21053178411523946,25 days 15:13:10.243902438,0.020961145194274028,0.6288343558282208,1.2576687116564416,5.942336884734298,0,3912,3913 days 00:00:00,1000.0,279368.68615528836,27836.868615528834,22995.570195518994,100.0,13649.803119386934,70.85301534273518,1358 days 00:00:00,82,0.0,118.7975118615858,-21.627052513972878,24.777329547980706,-8.297941324784174,37 days 02:10:54.545454545,12 days 08:50:31.578947368,3394.740075064492,1.3524223260317438,0.9754395036995551,1.3341985736408302,0.7043149191169639,11.394660677016233,1.2387303011453266,1.0770694576593718,-0.032287271095114076,0.0017395385403918846,0.4383637121787549,278.36868615528863,0.4372608501769024,0.3900932416726686,3912.0
