Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Total Fees Paid,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Profit Factor,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Expectancy,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Sharpe Ratio,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Calmar Ratio,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Omega Ratio,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Sortino Ratio,11,34,16,SIRI,MACD,true,false,1,215,1.1063371865178973,48.13084112149533,1.4266924466074888,0.962644950496961,1.2251539320490699,8.48329167561497,0 days 23:59:59.999999999,0.019074095688804475,0.58288148721921,1.1630518977536795,0.5611079204097313,0,7746,7747 days 00:00:00,1000.0,4857.333506778853,385.7333506778853,-51.54594627586611,100.0,1721.1398899707676,31.38345678595221,3575 days 00:00:00,214,-4.857333506778559,59.7400023818016,-15.184997618198384,4.512215869157541,-2.3311010370889824,1 days 00:00:00,1 days 00:00:00,18.04762074899827,0.41173778276697776,0.24633171980186536,1.7641452621165572,32.10847358272002,1444.087314096706,5.243431751290879,0.33644859813084116,0.0,,,0.00026581579698958086,0.06698558084137438,3.857333506778846,0.052755808785160285,0.1957973312041679,215,0,11219.404761904761,,,,
Most Win Rate [%],10,34,17,SIRI,MACD,true,false,1,218,1.0799601176170635,48.38709677419355,1.3583314201429817,0.9006039505936692,1.0436168129036194,7.385070709754987,0 days 23:59:59.999999999,0.019341489553600797,0.5910147172734315,1.1793183578621225,0.5322701892354528,0,7746,7747 days 00:00:00,1000.0,4291.245117726368,329.1245117726368,-51.54594627586611,100.0,1576.2271591472993,34.013352038777214,4072 days 00:00:00,217,-4.291245117726248,59.7400023818016,-19.04905592543923,4.421098037279384,-2.3998592556741887,1 days 00:00:00,1 days 00:00:00,15.186803515410553,0.38552815537818497,0.20884813742546482,1.6985750314829242,30.43449544040551,1377.4105917145823,5.080141837279215,0.33435582822085885,0.0,,,0.00025216578740235496,0.06354577842539345,3.291245117726361,0.04852098368290991,0.19837035273914558,218,0,11219.404761904761,,,,
Median Win Rate [%],10,33,18,SIRI,MACD,true,false,1,216,1.0607337596335922,46.97674418604651,1.363485337791376,0.9003249977370418,1.0275367475104236,7.2074154092085765,0 days 23:59:59.999999999,0.019163226977069917,0.5855925639039504,1.1684740511231604,0.5272236237716527,0,7746,7747 days 00:00:00,1000.0,4199.671011950488,319.9671011950487,-51.54594627586611,100.0,1505.2779864290767,32.88837318742732,4072 days 00:00:00,215,-4.199671011950159,59.74000238180162,-19.049055925439212,4.621938882790369,-2.396894321476871,1 days 00:00:00,1 days 00:00:00,14.90172410680205,0.38089702082699484,0.21268399232268406,1.681833691794399,30.22459059871317,1363.8360101827764,5.156565564463968,0.3261538461538461,0.0,,,0.0002497630733639374,0.06294029448771223,3.1996710119504828,0.04778552763300925,0.19886912209757218,216,0,11219.404761904761,,,,
