Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Median Worst Trade [%],AMAT,SMA,64,84,0,true,false,1,77,1.6006914195450888,59.210526315789465,2.925274973782709,14.798182988970566,1.104054487051317,-0.5052634717165748,87 days 14:12:37.894736841,0.00459870577359442,0.14171779141104293,0.28159509202453986,2.0971658100933745,0,11410,11411 days 00:00:00,1000.0,934062.2652759742,93306.22652759742,188597.81154898685,100.0,25783.520411532696,65.4134204438497,1838 days 00:00:00,76,-934.0622652758611,262.20370515648995,-35.625757757432986,31.903699692920277,-10.0324057748274,116 days 07:28:00,45 days 21:40:38.709677419,12289.425362384867,0.7244322239754737,0.37385343100487267,1.1512679391794278,0.5113466844461845,10.19764191670254,1.13516378709268,1.0141866330390923,-0.03385625721482134,,,0.0008486685688831379,0.21386447935855074,933.0622652759683,0.16304801222926413,0.35529333487884024,6658,152,16526.388888888887,1.25,,,
Median Sharpe Ratio,AMAT,SMA,72,81,0,true,false,1,102,1.5783279332343116,54.45544554455446,3.2281396806632667,11.67589613249703,1.0415399086482313,-0.6972271582916896,66 days 11:10:05.940594059,0.006111437935961006,0.18773006134969325,0.37361963190184044,2.1919166972663136,0,11410,11411 days 00:00:00,1000.0,572022.9534265514,57102.29534265515,188597.81154898685,100.0,21952.523070129464,66.90660272106216,2658 days 00:00:00,101,-572.0229534264654,270.5815789473685,-54.690832644165354,29.52732779595335,-9.668206943374667,88 days 07:25:05.454545455,40 days 08:20:52.173913043,5659.356201781959,0.6861687288807867,0.33656124895229256,1.1418178408033137,0.4886099916193705,9.933495036895923,1.1347674064667737,1.0062131096613856,-0.03417749612807035,,,0.0008088803309868187,0.2038378434086783,571.022953426552,0.15052111142151103,0.35751976473267544,6714,202,16526.388888888887,1.25,,,
Mean Avg Winning Trade Duration,AMAT,SMA,72,81,0,true,false,1,102,1.5783279332343116,54.45544554455446,3.2281396806632667,11.67589613249703,1.0415399086482313,-0.6972271582916896,66 days 11:10:05.940594059,0.006111437935961006,0.18773006134969325,0.37361963190184044,2.1919166972663136,0,11410,11411 days 00:00:00,1000.0,572022.9534265514,57102.29534265515,188597.81154898685,100.0,21952.523070129464,66.90660272106216,2658 days 00:00:00,101,-572.0229534264654,270.5815789473685,-54.690832644165354,29.52732779595335,-9.668206943374667,88,40 days 08:20:52.173913043,5659.356201781959,0.6861687288807867,0.33656124895229256,1.1418178408033137,0.4886099916193705,9.933495036895923,1.1347674064667737,1.0062131096613856,-0.03417749612807035,,,0.0008088803309868187,0.2038378434086783,571.022953426552,0.15052111142151103,0.35751976473267544,6714,202,16526.388888888887,1.25,,,
Least Total Trades,AMAT,SMA,56,88,0,true,false,1,63,1.5684576819740197,62.903225806451616,2.5902304851393922,17.41258289831692,1.0323613915700696,-0.7365363037880432,106 days 12:46:27.096774193,0.0037515757626691323,0.11595092024539877,0.2300613496932515,2.0190050109091398,0,11410,11411 days 00:00:00,1000.0,497886.7652818215,49688.67652818215,188597.81154898685,100.0,13138.760423335365,69.43447405776921,2904 days 00:00:00,62,-497.8867652817862,272.859696484622,-31.637182766709635,35.533068471961265,-13.313457856993056,141 days 06:09:13.846153846,47 days 15:39:07.826086956,8022.333097533922,0.6800005586538281,0.31649120204674713,1.1421343032249374,0.4993850128918921,10.525635209149755,1.1235106018239718,1.0165763468281799,-0.03333323439461582,,,0.0007885795434013821,0.1987220449371483,496.886765281824,0.14699970953601715,0.3517085612051576,6606,124,16526.388888888887,1.25,,,
Most Win Rate [%],AMAT,SMA,56,88,0,true,false,1,63,1.5684576819740197,62.903225806451616,2.5902304851393922,17.41258289831692,1.0323613915700696,-0.7365363037880432,106 days 12:46:27.096774193,0.0037515757626691323,0.11595092024539877,0.2300613496932515,2.0190050109091398,0,11410,11411 days 00:00:00,1000.0,497886.7652818215,49688.67652818215,188597.81154898685,100.0,13138.760423335365,69.43447405776921,2904 days 00:00:00,62,-497.8867652817862,272.859696484622,-31.637182766709635,35.533068471961265,-13.313457856993056,141 days 06:09:13.846153846,47 days 15:39:07.826086956,8022.333097533922,0.6800005586538281,0.31649120204674713,1.1421343032249374,0.4993850128918921,10.525635209149755,1.1235106018239718,1.0165763468281799,-0.03333323439461582,,,0.0007885795434013821,0.1987220449371483,496.886765281824,0.14699970953601715,0.3517085612051576,6606,124,16526.388888888887,1.25,,,
Least Avg Losing Trade [%],AMAT,SMA,56,88,0,true,false,1,63,1.5684576819740197,62.903225806451616,2.5902304851393922,17.41258289831692,1.0323613915700696,-0.7365363037880432,106 days 12:46:27.096774193,0.0037515757626691323,0.11595092024539877,0.2300613496932515,2.0190050109091398,0,11410,11411 days 00:00:00,1000.0,497886.7652818215,49688.67652818215,188597.81154898685,100.0,13138.760423335365,69.43447405776921,2904 days 00:00:00,62,-497.8867652817862,272.859696484622,-31.637182766709635,35.533068471961265,-13.313457856993056,141 days 06:09:13.846153846,47 days 15:39:07.826086956,8022.333097533922,0.6800005586538281,0.31649120204674713,1.1421343032249374,0.4993850128918921,10.525635209149755,1.1235106018239718,1.0165763468281799,-0.03333323439461582,,,0.0007885795434013821,0.1987220449371483,496.886765281824,0.14699970953601715,0.3517085612051576,6606,124,16526.388888888887,1.25,,,
Most Avg Winning Trade Duration,AMAT,SMA,56,88,0,true,false,1,63,1.5684576819740197,62.903225806451616,2.5902304851393922,17.41258289831692,1.0323613915700696,-0.7365363037880432,106 days 12:46:27.096774193,0.0037515757626691323,0.11595092024539877,0.2300613496932515,2.0190050109091398,0,11410,11411 days 00:00:00,1000.0,497886.7652818215,49688.67652818215,188597.81154898685,100.0,13138.760423335365,69.43447405776921,2904 days 00:00:00,62,-497.8867652817862,272.859696484622,-31.637182766709635,35.533068471961265,-13.313457856993056,141,47 days 15:39:07.826086956,8022.333097533922,0.6800005586538281,0.31649120204674713,1.1421343032249374,0.4993850128918921,10.525635209149755,1.1235106018239718,1.0165763468281799,-0.03333323439461582,,,0.0007885795434013821,0.1987220449371483,496.886765281824,0.14699970953601715,0.3517085612051576,6606,124,16526.388888888887,1.25,,,
Median Avg Winning Trade Duration,AMAT,SMA,69,83,0,true,false,1,85,1.5590833890370723,54.761904761904766,3.614177579323782,14.389401045472988,1.0792458717278979,-0.5914843008167286,79 days 15:59:59.999999999,0.0050827800655517275,0.15644171779141103,0.31104294478527605,2.25110261754332,0,11410,11411 days 00:00:00,1000.0,771451.6684936921,77045.16684936921,188597.81154898685,100.0,18724.475577621866,65.41342044384969,2999 days 00:00:00,84,-771.4516684935661,267.9526315789474,-52.21391834929578,35.020090178367845,-10.584591062768158,108,45 days 03:47:22.105263157,9181.227620978403,0.7095511730909092,0.36224879079738637,1.1473027564884957,0.49803906368009765,10.075372252716793,1.1334498749086068,1.0122218740206834,-0.03394253344266498,,,0.0008330030173439939,0.20991676037068646,770.451668493695,0.15814568451598987,0.3560488232471087,6693,168,16526.388888888887,1.25,,,
Most Expectancy,AMAT,SMA,61,84,0,true,false,1,74,1.5488663604362065,57.534246575342465,2.6565144068496904,15.980338383594237,1.129297270534353,-0.39627009401401897,91 days 02:18:04.931506849,0.00441717791411043,0.1361963190184049,0.2705521472392638,2.1764632645140614,0,11410,11411 days 00:00:00,1000.0,1139621.390356316,113862.1390356316,188597.81154898685,100.0,32644.975252872297,65.4134204438497,1040 days 00:00:00,73,-1139.6213903562166,257.43684210526317,-32.520397691165684,34.92638081924255,-9.68849330341316,120 days 12:34:17.142857142,51 days 05:25:09.677419355,15613.164544474957,0.7402567185033871,0.38599709987047615,1.1550519464844746,0.5147757829684882,10.293588811457948,1.1342466629763719,1.0183428209993677,-0.03358728070805658,,,0.0008646125394326225,0.21788235993702088,1138.621390356323,0.16816814861589058,0.3542304368473981,6651,146,16526.388888888887,1.25,,,
Least Max Drawdown Duration,AMAT,SMA,61,84,0,true,false,1,74,1.5488663604362065,57.534246575342465,2.6565144068496904,15.980338383594237,1.129297270534353,-0.39627009401401897,91 days 02:18:04.931506849,0.00441717791411043,0.1361963190184049,0.2705521472392638,2.1764632645140614,0,11410,11411 days 00:00:00,1000.0,1139621.390356316,113862.1390356316,188597.81154898685,100.0,32644.975252872297,65.4134204438497,1040,73,-1139.6213903562166,257.43684210526317,-32.520397691165684,34.92638081924255,-9.68849330341316,120 days 12:34:17.142857142,51 days 05:25:09.677419355,15613.164544474957,0.7402567185033871,0.38599709987047615,1.1550519464844746,0.5147757829684882,10.293588811457948,1.1342466629763719,1.0183428209993677,-0.03358728070805658,,,0.0008646125394326225,0.21788235993702088,1138.621390356323,0.16816814861589058,0.3542304368473981,6651,146,16526.388888888887,1.25,,,
