Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Least Total Trades,AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Most Win Rate [%],AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Most Best Trade [%],AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Least Avg Losing Trade [%],AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Most Profit Factor,AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Most Expectancy,AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Median Max Drawdown Duration,AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31 days 16:15:29.032258064,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Most Avg Losing Trade Duration,AXON,SMA,84,88,0,true,false,1,73,1.674783826709965,56.94444444444444,4.059338386348792,57.294470895953474,1.49669435390969,-0.7194210245575824,50 days 01:39:59.999999998,0.008232790500347116,0.2538920172242464,0.5043060616098046,14.546608791569504,0,6038,6039 days 00:00:00,1000.0,485175.6105952574,48417.56105952574,172563.0403460587,100.0,9266.546078944299,84.60122505360741,3538 days 00:00:00,72,-485.1756105952081,3628.5701984534426,-50.5092263283842,110.49883259772169,-13.072588128965771,63 days 23:24:52.682926829,31,6731.399808414622,0.9416813218570881,0.5357355511733793,1.221762380237723,1.2140210772180198,21.340293572144354,1.1672135488446496,1.046734234234234,-0.03757111230627608,,,0.0014513699813963827,0.3657452353118884,484.17561059525633,0.2944320017479207,0.46743462848597056,3606,144,8745.515873015873,2.5,,,
Median Max Drawdown [%],AXON,SMA,85,87,0,true,false,1,97,1.5206039393050865,48.95833333333333,3.1022841378488617,43.17505793818038,1.4807856600485658,-0.7474420294826933,37 days 12:14:59.999999998,0.010977054000462822,0.33736336535276584,0.6712487578668433,14.565682845325181,0,6038,6039 days 00:00:00,1000.0,436821.7125609668,43582.17125609668,172563.0403460587,100.0,12845.481178729471,83.76146395913537,3540 days 00:00:00,96,-436.8217125608935,3628.5701984534426,-50.5092263283842,98.02467976928904,-9.435803818189138,51 days 20:25:31.914893617,23 days 18:07:20.816326530,4544.359732015913,0.9305827132780776,0.530132409679836,1.21904448086305,1.227353335126731,21.406412792471254,1.1867911441663552,1.027176927343317,-0.037425232485047706,,,0.0014333024806926927,0.36119222513455856,435.82171256096603,0.2887735936946767,0.4671211962519405,3602,192,8745.515873015873,2.5,,,
Mean Total Return [%],AXON,SMA,85,88,0,true,false,1,79,1.4923171386605076,48.717948717948715,2.9825408646067966,48.07406574198247,1.4238483726395097,-0.8153731464202904,46 days 07:41:32.307692307,0.008918856375376044,0.2747598542563763,0.5460417356740642,13.208823296778556,0,6038,6039 days 00:00:00,1000.0,319597.711832413,31859.771183241297,172563.0403460587,100.0,7618.987675372399,85.11670867167823,3540 days 00:00:00,78,-319.597711832379,3259.870139820579,-51.73585126668227,110.5439446400217,-11.272319211154795,66 days 00:37:53.684210526,27 days 14:24:00,4088.683455695454,0.8963000515438614,0.48995225608721776,1.209620549385024,1.2234986581119964,21.252312579810297,1.171758708119874,1.0323119777158773,-0.037629861475510396,,,0.0013832044421862486,0.34856751943093467,318.597711832412,0.27207879357630116,0.4680364280343469,3614,156,8745.515873015873,2.5,,,
