Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],7,13,3,ROKU,MACD,true,false,1,162,1.234699050953277,53.41614906832298,1.652245364682722,0.7855461118986535,1.9816978471609523,-0.185541730180925,0 days 23:59:59.999999999,0.05720852515880682,1.750900669068451,3.490993309315492,1.3754132129074728,0,1943,1944 days 00:00:00,1000.0,3086.0529893120647,208.60529893120648,256.12766996343026,100.0,576.2082438381001,18.756042154008014,235 days 00:00:00,161,-3.086052989311611,13.694961946794601,-11.417111324188593,3.5736987323831104,-2.4115355595901904,1 days 00:00:00,1 days 00:00:00,12.97601889628184,1.0330986142329208,1.2562970649764627,1.6665902685457232,3.6974946162562436,47.58358192286111,4.381821604940439,0.3803418803418804,-0.0009990009990009467,,,0.0006501497316454068,0.16383773237464253,2.0860529893120607,0.1572872773905163,0.19086149058623778,162,0,2814.265873015873,,,,
Most Sharpe Ratio,7,13,3,ROKU,MACD,true,false,1,162,1.234699050953277,53.41614906832298,1.652245364682722,0.7855461118986535,1.9816978471609523,-0.185541730180925,0 days 23:59:59.999999999,0.05720852515880682,1.750900669068451,3.490993309315492,1.3754132129074728,0,1943,1944 days 00:00:00,1000.0,3086.0529893120647,208.60529893120648,256.12766996343026,100.0,576.2082438381001,18.756042154008014,235 days 00:00:00,161,-3.086052989311611,13.694961946794601,-11.417111324188593,3.5736987323831104,-2.4115355595901904,1 days 00:00:00,1 days 00:00:00,12.97601889628184,1.0330986142329208,1.2562970649764627,1.6665902685457232,3.6974946162562436,47.58358192286111,4.381821604940439,0.3803418803418804,-0.0009990009990009467,,,0.0006501497316454068,0.16383773237464253,2.0860529893120607,0.1572872773905163,0.19086149058623778,162,0,2814.265873015873,,,,
Most Sortino Ratio,7,13,3,ROKU,MACD,true,false,1,162,1.234699050953277,53.41614906832298,1.652245364682722,0.7855461118986535,1.9816978471609523,-0.185541730180925,0 days 23:59:59.999999999,0.05720852515880682,1.750900669068451,3.490993309315492,1.3754132129074728,0,1943,1944 days 00:00:00,1000.0,3086.0529893120647,208.60529893120648,256.12766996343026,100.0,576.2082438381001,18.756042154008014,235 days 00:00:00,161,-3.086052989311611,13.694961946794601,-11.417111324188593,3.5736987323831104,-2.4115355595901904,1 days 00:00:00,1 days 00:00:00,12.97601889628184,1.0330986142329208,1.2562970649764627,1.6665902685457232,3.6974946162562436,47.58358192286111,4.381821604940439,0.3803418803418804,-0.0009990009990009467,,,0.0006501497316454068,0.16383773237464253,2.0860529893120607,0.1572872773905163,0.19086149058623778,162,0,2814.265873015873,,,,
Most Calmar Ratio,2,16,10,ROKU,MACD,true,false,1,163,1.218886374390364,54.93827160493827,1.5013759341706963,0.7602476402669995,1.7113365935601834,-0.2524078188750531,0 days 23:59:59.999999999,0.05756385761320935,1.761708697889861,3.512609366958312,1.3393348804086154,0,1943,1944 days 00:00:00,1000.0,2914.7904343441137,191.47904343441138,256.12766996343026,100.0,597.0303335993559,16.15192933792108,434 days 00:00:00,162,-2.914790434344013,13.694961946794601,-11.417111324188593,3.6875805315392967,-2.80869246005128,1 days 00:00:00,1 days 00:00:00,11.837686572706517,0.928718083274108,1.3772743814009458,1.5750613953941817,3.2334192057605304,43.15217936409344,4.112660310195916,0.3829787234042554,-0.0009990009990009532,,,0.0006331090609029708,0.15954348334754864,1.914790434344107,0.14875357734591677,0.2067480060838791,163,0,2814.265873015873,,,,
Most Total Fees Paid,2,17,8,ROKU,MACD,true,false,1,179,1.1924472509926023,55.0561797752809,1.4256348327843473,0.6901746862193678,1.652125902763124,-0.25790549192832085,0 days 23:59:59.999999999,0.06324917688364978,1.9346371590324243,3.858466289243438,1.3352375941835326,0,1943,1944 days 00:00:00,1000.0,2900.7093724505717,190.07093724505717,256.12766996343026,100.0,675.5440330355316,17.009476848212422,265 days 00:00:00,178,-2.9007093724503648,13.694961946794601,-11.417111324188593,3.5447467689505374,-2.8066761151263155,1 days 00:00:00,1 days 00:00:00,10.69443866192712,0.9228051810080525,1.3013062819521952,1.5235962281781326,2.821733977021707,38.261892220548084,3.861788459540611,0.39453125,-0.0009990009990009647,,,0.0006315276556837927,0.15914496923231577,1.9007093724505677,0.14803267895330285,0.2075530177559467,179,0,2814.265873015873,,,,
Most Win Rate [%],7,18,3,ROKU,MACD,true,false,1,151,1.2618297778130423,56.00000000000001,1.5865496165385662,0.7881827077095094,1.7280759970823125,-0.292174002187659,0 days 23:59:59.999999999,0.05329986816037902,1.6320123520329388,3.2532166752444676,1.2863239146406868,0,1943,1944 days 00:00:00,1000.0,2812.93823559215,181.29382355921499,256.12766996343026,100.0,514.5136089570066,22.387888641524206,334 days 00:00:00,150,-2.8129382355919006,13.694961946794592,-11.417111324188593,3.5998325095413493,-2.7902806764401054,1 days 00:00:00,1 days 00:00:00,12.105007825518292,0.9319754245421243,0.9573022353642884,1.6132549811985906,3.467562431191925,48.468111009594026,4.099565599281119,0.39351851851851855,-0.0009990009990009407,,,0.0006077288635365805,0.1531476736112183,1.8129382355921435,0.1434691967586228,0.1977662166492592,151,0,2814.265873015873,,,,
Most Expectancy,8,27,4,ROKU,MACD,true,false,1,116,1.2049291889711002,52.17391304347826,1.5766096297628456,0.9544106169493687,1.8522512720390572,-0.36829146614692515,0 days 23:59:59.999999999,0.040863232256290585,1.2537313432835822,2.4966546577457542,1.1965745048320444,0,1943,1944 days 00:00:00,1000.0,2617.980348718028,161.79803487180277,256.12766996343026,100.0,444.4504978131236,17.61031485548474,244 days 00:00:00,115,-2.6179803487175377,18.00891014630545,-11.417111324188593,4.2930379397566805,-2.6877282806586074,1 days 00:00:00,1 days 00:00:00,14.092159383189095,0.8980960155140572,1.124644637126488,1.7123044176957365,5.911312330526293,86.6123985797943,4.66741042888031,0.36686390532544383,-0.000999000999000913,,,0.0005641399658475602,0.14216327139358517,1.6179803487180267,0.1328719593145118,0.19050693984939995,116,0,2814.265873015873,,,,
Most Omega Ratio,8,27,4,ROKU,MACD,true,false,1,116,1.2049291889711002,52.17391304347826,1.5766096297628456,0.9544106169493687,1.8522512720390572,-0.36829146614692515,0 days 23:59:59.999999999,0.040863232256290585,1.2537313432835822,2.4966546577457542,1.1965745048320444,0,1943,1944 days 00:00:00,1000.0,2617.980348718028,161.79803487180277,256.12766996343026,100.0,444.4504978131236,17.61031485548474,244 days 00:00:00,115,-2.6179803487175377,18.00891014630545,-11.417111324188593,4.2930379397566805,-2.6877282806586074,1 days 00:00:00,1 days 00:00:00,14.092159383189095,0.8980960155140572,1.124644637126488,1.7123044176957365,5.911312330526293,86.6123985797943,4.66741042888031,0.36686390532544383,-0.000999000999000913,,,0.0005641399658475602,0.14216327139358517,1.6179803487180267,0.1328719593145118,0.19050693984939995,116,0,2814.265873015873,,,,
Median Total Trades,3,7,18,ROKU,MACD,true,false,1,150,1.2237300436612526,55.70469798657718,1.5389604026154653,0.7015600282525623,1.5277663445506973,-0.4243466202672642,0 days 23:59:59.999999999,0.0529445357059765,1.6212043232115287,3.231600617601647,1.1373721507954562,0,1943,1944 days 00:00:00,1000.0,2474.4075885751936,147.44075885751934,256.12766996343026,100.0,451.55630200122584,22.387888641524217,334 days 00:00:00,149,-2.4744075885751045,12.386948952394263,-11.417111324188593,3.4782044440322744,-2.790280676440106,1 days 00:00:00,1 days 00:00:00,9.911959705797095,0.8510026978689661,0.8282742871457951,1.542447838329655,3.0775587107791877,46.96494658375679,3.947931967153279,0.39069767441860465,-0.0009990009990009361,,,0.0005372810145299214,0.1353948156615402,1.4744075885751968,0.12461929649442638,0.19147728471380646,150,0,2814.265873015873,,,,
Most Profit Factor,5,7,10,ROKU,MACD,true,false,1,151,1.2260092672409793,54.666666666666664,1.7036255086112528,0.6622317687593082,1.561059975896277,-0.45971549904881315,1 days 00:00:00,0.05329986816037902,1.6320123520329388,3.2532166752444676,1.0807704265238118,0,1943,1944 days 00:00:00,1000.0,2383.818103459822,138.38181034598222,256.12766996343026,100.0,371.11708374141546,23.677628148993186,603 days 00:00:00,150,-2.3838181034593617,12.361851664174853,-11.417111324188593,3.3347989773357773,-2.5605698651123157,1 days 00:00:00,1 days 00:00:00,9.241346143755207,0.8550272090167099,0.7482196714561676,1.5441077042030729,3.297206794802327,48.67972329167668,4.055608186943007,0.3807339449541284,-0.0009990009990009344,,,0.0005105444970626603,0.12865721325979038,1.3838181034598183,0.11919503275109467,0.1810924593902121,151,0,2814.265873015873,,,,
