Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Least Max Drawdown [%],13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Win Rate [%],13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Profit Factor,13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Expectancy,13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Sharpe Ratio,13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Calmar Ratio,13,36,16,LVS,MACD,true,false,1,147,1.290867273967414,55.47945205479452,1.4928663611026174,0.7359789713812247,1.3911053583004354,19.89996420992166,0 days 23:59:59.999999999,0.019527314994188298,0.5980240216970167,1.191979852770244,0.4401331043498336,0,5162,5163 days 00:00:00,1000.0,2595.2934476375844,159.52934476375844,-8.44072205597154,100.0,708.0670160572836,21.829418261129753,2200 days 00:00:00,146,-2.595293447637232,28.020339287152684,-9.06855280078757,2.9172030711515764,-1.9821618298710597,1 days 00:00:00,1 days 00:00:00,10.944443432090544,0.5610944819625301,0.3195088955273677,1.7826472796277846,18.270322901147875,609.4220151155932,4.36224275485387,0.40865384615384615,0.0,,,0.00020795586894507885,0.05240487897415987,1.5952934476375873,0.047649374124064225,0.11240403111358997,147,0,7476.706349206349,,,,
Most Total Fees Paid,9,36,18,LVS,MACD,true,false,1,166,1.1557383096965543,51.515151515151516,1.3598444473084763,0.656755948310054,1.2627491636649886,18.919854735343225,0 days 23:59:59.999999999,0.022068540918089515,0.6753196435490121,1.3465710964742348,0.44352019291143907,0,5162,5163 days 00:00:00,1000.0,2512.565131044176,151.2565131044176,-8.44072205597154,100.0,886.1518302186367,33.36828421328252,3436 days 00:00:00,165,-2.5125651310440844,36.46849156563278,-13.131641966843988,3.005124849891054,-1.838386009619758,1 days 00:00:00,1 days 00:00:00,9.182289067728611,0.4776452490954022,0.20168792043261757,1.6949411226229418,24.82405844143192,990.1314880915237,4.608716310952265,0.36776859504132225,0.0,,,0.00020972557599795115,0.05285084515148369,1.5125651310441768,0.04599415930091033,0.1331657796369421,166,0,7476.706349206349,,,,
Mean Profit Factor,9,36,18,LVS,MACD,true,false,1,166,1.1557383096965543,51.515151515151516,1.3598444473084763,0.656755948310054,1.2627491636649886,18.919854735343225,0 days 23:59:59.999999999,0.022068540918089515,0.6753196435490121,1.3465710964742348,0.44352019291143907,0,5162,5163 days 00:00:00,1000.0,2512.565131044176,151.2565131044176,-8.44072205597154,100.0,886.1518302186367,33.36828421328252,3436 days 00:00:00,165,-2.5125651310440844,36.46849156563278,-13.131641966843988,3.005124849891054,-1.838386009619758,1 days 00:00:00,1 days 00:00:00,9.182289067728611,0.4776452490954022,0.20168792043261757,1.6949411226229418,24.82405844143192,990.1314880915237,4.608716310952265,0.36776859504132225,0.0,,,0.00020972557599795115,0.05285084515148369,1.5125651310441768,0.04599415930091033,0.1331657796369421,166,0,7476.706349206349,,,,
Median Profit Factor,9,36,18,LVS,MACD,true,false,1,166,1.1557383096965543,51.515151515151516,1.3598444473084763,0.656755948310054,1.2627491636649886,18.919854735343225,0 days 23:59:59.999999999,0.022068540918089515,0.6753196435490121,1.3465710964742348,0.44352019291143907,0,5162,5163 days 00:00:00,1000.0,2512.565131044176,151.2565131044176,-8.44072205597154,100.0,886.1518302186367,33.36828421328252,3436 days 00:00:00,165,-2.5125651310440844,36.46849156563278,-13.131641966843988,3.005124849891054,-1.838386009619758,1 days 00:00:00,1 days 00:00:00,9.182289067728611,0.4776452490954022,0.20168792043261757,1.6949411226229418,24.82405844143192,990.1314880915237,4.608716310952265,0.36776859504132225,0.0,,,0.00020972557599795115,0.05285084515148369,1.5125651310441768,0.04599415930091033,0.1331657796369421,166,0,7476.706349206349,,,,
