Pattern_Type,Period,Period_Number,Average_Return,Std_Dev,Win_Rate,Sample_Size,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Consistency_Score,Statistical_Significance,P_Value,CI_Lower,CI_Upper,Skewness,Kurtosis
Monthly,January,,-0.09249009305960941,4.078803741183765,0.5041322314049587,121,-0.022675789012777215,-0.033453124165064886,-13.421778149798358,0.5041322314049587,0.18219781889064834,0.8178021811093517,-0.8266489606425869,0.641668774523368,-0.017135117917169696,1.366303811700977
Monthly,February,,0.4955822554631394,5.03053054310481,0.48695652173913045,115,0.09851490836138913,0.23142797361401446,-9.788086327643807,0.48695652173913045,0.7641423530239072,0.23585764697609277,-0.4337000269460811,1.42486453787236,1.2828296227643452,2.793662424471237
Monthly,March,,-0.2722440942094255,4.762815496322395,0.45454545454545453,132,-0.0571603276296633,-0.0853588892875426,-16.781335544798186,0.45454545454545453,0.5140806334148198,0.4859193665851802,-1.092322640628946,0.5478344522100949,0.1090498920980554,1.9271713399002328
Monthly,April,,-0.49912852298011595,4.642839067658365,0.43548387096774194,124,-0.10750502347949216,-0.143765490803083,-21.273341651732153,0.43548387096774194,0.7866953999728612,0.2133046000271388,-1.3244342166277292,0.32617717066749735,-0.41066076361864373,3.2840181726532727
Monthly,May,,0.04654188204155503,5.30206589240406,0.5476190476190477,126,0.008778065566524303,0.010512854359365088,-16.598250487815065,0.5476190476190477,0.09184849874744327,0.9081515012525567,-0.8882886268816331,0.9813723909647433,-0.44367590007628355,2.6075525946102474
Monthly,June,,0.23608559622104344,3.510108548184602,0.624,125,0.06725877361916482,0.08638065816808178,-12.444053699727595,0.624,0.4531308736731803,0.5468691263268197,-0.3853166264632901,0.857487818905377,-0.36505244192253006,2.275955480117041
Monthly,July,,0.1551826915599835,3.277391574583445,0.5118110236220472,127,0.04734945093636153,0.06890659553821689,-8.608730466829902,0.5118110236220472,0.3111218393801941,0.6888781606198059,-0.4203444574132626,0.7307098405332295,-0.22729637788710128,0.47597914890277604
Monthly,August,,-0.05905174153220884,3.797075558376109,0.4393939393939394,132,-0.015551900567778913,-0.0328776632277754,-7.96221175525514,0.4393939393939394,0.12232026646473337,0.8776797335352666,-0.7128457436224774,0.5947422605580598,2.777608940765386,17.480355797736312
Monthly,September,,-0.2823207419071112,3.1489750297423695,0.4740740740740741,135,-0.08965480489383526,-0.12599314552842875,-10.847205674267899,0.4740740740740741,0.5475139917182563,0.4524860082817437,-0.8183523028176172,0.25371081900339476,-0.4198126929315703,0.38767706014049397
Monthly,October,,0.3314250365330097,4.137050397414483,0.5460992907801419,141,0.08011143319407933,0.15167708784969283,-9.632465044335458,0.5460992907801419,0.6238983121163675,0.3761016878836325,-0.35738541010966185,1.0202354831756812,1.1682623248238977,5.414849803631306
