Pattern_Type,Period,Period_Number,Average_Return,Std_Dev,Win_Rate,Sample_Size,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Consistency_Score,Statistical_Significance,P_Value,CI_Lower,CI_Upper,Skewness,Kurtosis
Monthly,January,,0.39402480811487045,4.481320647042813,0.47985347985347987,546,0.08792604661638845,0.15953625612544517,-18.044969742435455,0.47985347985347987,0.9388926979508184,0.061107302049181585,0.017300773748283538,0.7707488424814574,1.437436474611527,6.538063097383139
Monthly,February,,-0.1455001663180463,4.436911841656211,0.47876447876447875,518,-0.0327931163635052,-0.04245923731552018,-23.64401628152813,0.47876447876447875,0.5004496146144171,0.49955038538558294,-0.5284852867217733,0.23748495408568077,0.2760566064050863,9.135603190682907
Monthly,March,,-0.1549570035994502,5.827576582231375,0.43824027072758037,591,-0.026590298971260754,-0.03206886097659831,-61.855275014468894,0.43824027072758037,0.5444102234229832,0.4555897765770168,-0.6257545202043474,0.315840513005447,-1.3612949866270265,24.650588017273655
Monthly,April,,-0.36316707487733285,5.561994581075918,0.48028673835125446,558,-0.06529439566751276,-0.09709456765985289,-23.853137866361962,0.48028673835125446,0.9132499701711572,0.08675002982884285,-0.8256612513194905,0.09932710156482488,4.557501841056204,65.65713547685674
Monthly,May,,-0.1522340387939133,4.297249519568253,0.4772727272727273,572,-0.03542592490863978,-0.045428741588182976,-25.756488007831823,0.4772727272727273,0.5416314205518515,0.45836857944814846,-0.5051425864726006,0.20067450888477392,-0.11668302762250013,8.684114364958253
Monthly,June,,-0.08958596228694247,4.899656971067883,0.44880546075085326,586,-0.018284129443334716,-0.02381720846992421,-37.56399698027326,0.44880546075085326,0.33795455813641584,0.6620454418635842,-0.48711093106222386,0.3079390064883389,0.4694974165362012,21.81163446116505
Monthly,July,,0.17159541028637326,4.891795138280925,0.46452702702702703,592,0.03507820859944583,0.05876748686956764,-26.184935405658187,0.46452702702702703,0.5997819642838432,0.4002180357161568,-0.22326701761278278,0.5664578381855293,1.9595192162268307,15.258633635891275
Monthly,August,,-0.15206148589601776,4.256531300303451,0.4258064516129032,620,-0.03572427292738977,-0.054738037869238684,-18.82937188142354,0.4258064516129032,0.5584581898146069,0.44154181018539307,-0.487766694638021,0.1836437228459855,1.5856417014446955,16.20311634504872
Monthly,September,,-0.09361266294888945,3.706086794679833,0.47007042253521125,568,-0.025259166375507566,-0.039111607371591785,-12.541720568155437,0.47007042253521125,0.3532135482489852,0.6467864517510148,-0.39904677990428283,0.21182145400650396,0.754558770455297,4.068151849010427
Monthly,October,,0.5173756579014832,5.091561072828439,0.5049668874172185,604,0.10161434783970356,0.17923836627316728,-14.453158247267291,0.5049668874172185,0.9892358449210703,0.010764155078929655,0.11050801107542063,0.9242433047275458,1.694694833664269,9.22982904799499
Monthly,November,,0.0982357441454538,4.416128876134116,0.4629294755877034,553,0.022244763887291595,0.030079082066428828,-27.47808383759887,0.4629294755877034,0.36177691254514466,0.6382230874548553,-0.27064038020337156,0.4671118684942791,0.1695033309004654,8.938445767240408
Monthly,December,,-0.04731112661307951,4.589976432230739,0.44991212653778556,569,-0.01030748791668331,-0.016323258058630358,-15.405352417013463,0.44991212653778556,0.1810305241364092,0.8189694758635908,-0.4252563097893475,0.33063405656318845,1.6507657150344872,10.973631629019627
Weekly,Monday,,-0.052689383042880525,5.358525300345517,0.4608830364058869,1291,-0.009832814084032247,-0.012864550680138647,-61.855275014468894,0.4608830364058869,0.2796690758420053,0.7203309241579947,-0.3452648618486558,0.23988609576289477,-0.21018425280489225,23.46855939060073
Weekly,Tuesday,,0.05121235172697066,4.481348686469556,0.47767540751240256,1411,0.01142788818946293,0.016713398047648143,-21.42408014879055,0.47767540751240256,0.2903681385583239,0.7096318614416761,-0.1828148180445894,0.2852395214985307,0.8902787738624187,8.814625919941435
