Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,0.8098590411431557,7.648214696789636,0.5612903225806452,155,0.8891221738166204,0.11087782618337956,-0.4037215730086292,2.0234396552949407
Monthly,February,-0.11434318818603165,5.116247135365412,0.48226950354609927,141,0.17726431163963363,0.8227356883603664,-0.9661878929659873,0.737501516593924
Monthly,March,0.20276735627936995,5.066271850995497,0.5225806451612903,155,0.32225763437774024,0.6777423656222598,-0.6011234271438252,1.0066581397025651
Monthly,April,-0.38170846002080444,5.417042133091357,0.4666666666666667,150,0.5568302228094593,0.44316977719054074,-1.2556983732726454,0.4922814532310365
Monthly,May,-0.2393349640234804,7.2213455458291085,0.5161290322580645,155,0.36509253782370443,0.6349074621762956,-1.3851821074343647,0.9065121793874039
Monthly,June,-0.6261426122044649,5.632078372026225,0.42,150,0.7902051303050747,0.20979486969492536,-1.534826644349089,0.28254141994015924
Monthly,July,0.5024882783101094,5.614984757189012,0.5434782608695652,138,0.667266758423882,0.33273324157611806,-0.4426827985267108,1.4476593551469297
Monthly,August,-0.3677830242972844,4.36326811252862,0.47580645161290325,124,0.5055182083797907,0.49448179162020933,-1.143392508861465,0.4078264602668963
Monthly,September,0.017946667209617306,5.271092389762857,0.55,120,0.0,0.9740466417394862,-0.9348431391058775,0.9707364735251122
Monthly,October,0.5604145416402433,5.422826507289407,0.5,124,0.6969439186444141,0.3030560813555859,-0.4035408156119692,1.5243698988924557
Monthly,November,0.3292739738742686,4.596973492565744,0.5083333333333333,120,0.4520553689625635,0.5479446310374365,-0.5016637444866554,1.1602116922351926
Monthly,December,-0.6727406868939959,7.180400134999789,0.46153846153846156,130,0.7832454073477626,0.21675459265223745,-1.9187417155808313,0.5732603417928394
Weekly,Monday,-0.3044824558546303,6.111155275211379,0.48739495798319327,238,0.5431025517127156,0.4568974482872844,-1.084862867137724,0.47589795542846336
Weekly,Tuesday,-0.3466307137673732,5.507287904289477,0.5063291139240507,237,0.6081243889931989,0.39187561100680113,-1.0513961090507404,0.3581346815159939
Weekly,Wednesday,0.765253252652156,7.021195548644221,0.5021097046413502,237,0.9322988730834749,0.06770112691652505,-0.13324628871882793,1.66375279402314
Weekly,Thursday,0.04761162011491096,5.611844830055242,0.4767932489451477,237,0.09343091522357883,0.9065690847764212,-0.6705338824730933,0.7657571227029152
Weekly,Friday,0.057203320746504506,5.474276097880422,0.510548523206751,237,0.11245146273567475,0.8875485372643253,-0.6433375670846965,0.7577442085777054
Quarterly,Q1,0.3122720666657671,6.103662477479718,0.5232815964523282,451,0.679123066296861,0.3208769337031389,-0.25256081316275547,0.8771049464942897
Quarterly,Q2,-0.41379028628006553,6.158037275735484,0.46813186813186813,455,0.8121798464198251,0.18782015358017493,-0.981131100353156,0.15355052779302492
Quarterly,Q3,0.06777981010231905,5.140850514778986,0.5235602094240838,382,0.16473122715662047,0.8352687728433795,-0.4493900114729972,0.5849496316776353
Quarterly,Q4,0.05761494848150526,5.8944461236398915,0.4893048128342246,374,0.13597790973802093,0.8640220902619791,-0.5417160826268469,0.6569459795898575
DayOfMonth,Beginning,-0.007268956617512491,5.420978139593867,0.4987012987012987,385,0.0,0.9822971892758645,-0.5504772099941067,0.5359392967590817
DayOfMonth,Middle,0.00942631114683783,5.788605973533512,0.4963235294117647,544,0.0,0.9739923054519017,-0.47809289401414545,0.49694551630782113
DayOfMonth,End,0.2535123207744773,6.400397485555464,0.48863636363636365,352,0.5307477357759428,0.4692522642240572,-0.4174278467710173,0.9244524883199718
