Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.07365696833696239,2.1575391619714064,0.48006134969325154,652,0.5880776981298435,0.41192230187015655,-0.23957407406762582,0.09226013739370104
Monthly,February,0.044489388566680214,2.0738071709390216,0.5244299674267101,614,0.37105142331277485,0.6289485766872251,-0.11986852033431755,0.208847297467678
Monthly,March,0.022622134126682132,2.2281798479033457,0.5028571428571429,700,0.2049576370058256,0.7950423629941744,-0.14272701020442904,0.1879712784577933
Monthly,April,0.13766907710672546,2.403252233213662,0.5242424242424243,660,0.8737088860764194,0.12629111392358064,-0.04601598555028713,0.32135413976373806
Monthly,May,0.026239679872491973,2.0330442430038977,0.4882005899705015,678,0.23498593930981237,0.7650140606901876,-0.12706562803822824,0.1795449877832122
Monthly,June,-0.07445127615605393,2.1989161289734844,0.4823529411764706,680,0.6015868244404243,0.39841317555957567,-0.24001955203387015,0.09111699972176229
Monthly,July,0.09059142220966947,2.132744083277896,0.5014970059880239,668,0.6929423066614624,0.30705769333853755,-0.07143557541619465,0.25261841983553357
Monthly,August,-0.1821667307210761,1.992821331610488,0.4471428571428571,700,0.9650388103710175,0.03496118962898253,-0.3300503507514073,-0.03428311069074483
Monthly,September,-0.1699026659811209,2.21619650063952,0.43846153846153846,650,0.9407166599562684,0.05928334004373164,-0.3405935599441736,0.0007882279819318716
Monthly,October,0.05507490930984888,2.6881944842651615,0.4765957446808511,705,0.46668662145087514,0.5333133785491249,-0.14369997393352393,0.2538497925532217
Monthly,November,0.019741200307140154,2.235106596599964,0.48396946564885496,655,0.1739758636160358,0.8260241363839642,-0.1517453853141633,0.1912277859284436
Monthly,December,0.10744772729038674,1.9882131529276708,0.5214814814814814,675,0.7787305771027069,0.22126942289729307,-0.04281100724790904,0.2577064618286825
Weekly,Monday,0.03750492962104123,2.2185040225297152,0.4923891462607545,1511,0.45499327184733185,0.5450067281526682,-0.07444513016648446,0.14945498940856694
Weekly,Tuesday,-0.02404832143699455,2.171230272448966,0.48727272727272725,1650,0.3138443334405514,0.6861556665594486,-0.12888925735976886,0.08079261448577978
Weekly,Wednesday,0.07022757825024943,2.190304625736562,0.5133495145631068,1648,0.7610689541036959,0.23893104589630412,-0.03559864078248334,0.1760537972829822
Weekly,Thursday,-0.07216850826980144,2.404006557149903,0.4758961681087763,1618,0.7624611604047423,0.23753883959525765,-0.1893933562085095,0.045056339668906625
Weekly,Friday,-0.009910944634922095,2.037937726108326,0.47577639751552797,1610,0.1321948462381377,0.8678051537618623,-0.10953239890358318,0.089710509633739
Quarterly,Q1,-0.0024783137777621054,2.158060856265786,0.5020345879959308,1966,0.0,0.964264034473355,-0.09793088027174891,0.09297425271622471
Quarterly,Q2,0.028753828571789746,2.216849238075146,0.49801783944499506,2018,0.39870869472333115,0.6012913052766689,-0.06802589040394288,0.12553354754752238
Quarterly,Q3,-0.08792783664837593,2.1168497278584044,0.46233894945490583,2018,0.893091884280074,0.10690811571992595,-0.1803419342141067,0.004486260917354837
Quarterly,Q4,0.06107396225338148,2.328928680603357,0.49385749385749383,2035,0.729553884711277,0.27044611528872303,-0.04017266893979385,0.1623205934465568
DayOfMonth,Beginning,0.03260251974322297,2.369453406882263,0.4997242140099283,1813,0.4245857562758095,0.5754142437241905,-0.07653838562601162,0.14174342511245755
DayOfMonth,Middle,-0.06251120052106723,2.1291533706513044,0.4786516853932584,2670,0.798934529608157,0.20106547039184294,-0.1433084167693861,0.018286015727251637
DayOfMonth,End,0.08717053404675516,2.2092589836779477,0.4946236559139785,1674,0.8582004622403668,0.1417995377596332,-0.01873808433642228,0.19307915242993262
