Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,0.2797519359669505,3.512182062839817,0.4972067039106145,716,0.9724611102852007,0.027538889714799352,0.022057890672443792,0.5374459812614573
Monthly,February,-0.11992452224285301,2.8951709882163055,0.46944858420268254,671,0.6472508575586425,0.35274914244135747,-0.33937993307398906,0.09953088858828303
Monthly,March,-0.043508786758899624,3.3521101045359027,0.4631043256997455,786,0.28052188522291166,0.7194781147770883,-0.27821534006951243,0.19119776655171317
Monthly,April,-0.02031679492434785,3.0633671604452246,0.4798387096774194,744,0.13078692176628604,0.869213078233714,-0.240796545284611,0.2001629554359153
Monthly,May,-0.09187634837461936,3.0915107681363105,0.473753280839895,762,0.5482117552150048,0.45178824478499524,-0.31172947269845175,0.12797677594921303
Monthly,June,0.10546789695009061,3.134841653675445,0.4823529411764706,765,0.6126530897386295,0.38734691026137047,-0.11702776022667356,0.3279635541268548
Monthly,July,0.01174109234276132,3.232086485690405,0.46551724137931033,754,0.07598032893611961,0.9240196710638804,-0.2193291469794026,0.24281133166492525
Monthly,August,-0.17081834816965183,2.8281568837882283,0.45103092783505155,776,0.8441739987602863,0.15582600123971374,-0.37011477086576705,0.028478074526463365
Monthly,September,-0.10979922967551564,3.0555317442080723,0.4394366197183099,710,0.6161413159019224,0.38385868409807755,-0.33493667364762364,0.11533821429659236
Monthly,October,0.0018644736277530925,3.50630109363802,0.47865459249676584,773,0.0,0.9878618672997215,-0.24570036758263614,0.24942931483814235
Monthly,November,0.19328777378753123,4.021901932944672,0.5181564245810056,716,0.8671059891349738,0.13289401086502614,-0.10180517991894564,0.48838072749400807
Monthly,December,-0.02624413298080379,3.0616938676508454,0.462059620596206,738,0.16781807239766577,0.8321819276023342,-0.2475003466391456,0.195012080677538
Weekly,Monday,-0.1643923462721586,3.4872081895297566,0.4511904761904762,1680,0.9399641851058828,0.060035814894117245,-0.3312647459085268,0.002480053364209589
Weekly,Tuesday,-0.008717668864247281,3.275540906383346,0.46772428884026257,1828,0.08315299030223999,0.91684700969776,-0.1589733250770025,0.14153798734850795
Weekly,Wednesday,0.0583518542950622,3.140789050663044,0.47835616438356166,1825,0.5181107597610892,0.4818892402389108,-0.08584098883010488,0.2025446974202293
Weekly,Thursday,-0.041860792271981376,3.2323042246293623,0.47157190635451507,1794,0.3819154143328126,0.6180845856671874,-0.19153341455278916,0.1078118300088264
Weekly,Friday,0.14614415228055858,3.091045027136036,0.4960762331838565,1784,0.9196829511309175,0.08031704886908257,0.0026114342913011734,0.289676870269816
Quarterly,Q1,0.03940870931195907,3.278195964006905,0.4763000460193281,2173,0.3873660006624796,0.6126339993375204,-0.09850111919333322,0.17731853781725138
Quarterly,Q2,-0.001956200668584521,3.0981095065528255,0.47864376926464114,2271,0.0,0.9793645106670885,-0.1294437914017846,0.12553139006461558
Quarterly,Q3,-0.09002665518876068,3.04176970626413,0.45223214285714286,2240,0.7650454872617294,0.23495451273827067,-0.21605993713888053,0.036006626761359156
Quarterly,Q4,0.0540938994190805,3.547351595536278,0.48585541086663675,2227,0.5097820148934062,0.49021798510659376,-0.09331660197467503,0.20150440081283602
DayOfMonth,Beginning,-0.06901145421756599,3.402246579288961,0.4716699801192843,2012,0.6065559760103839,0.3934440239896161,-0.21776295449659339,0.0797400460614614
DayOfMonth,Middle,-0.025005599389753715,3.051358400821989,0.4648885887913572,2962,0.2875059099325685,0.7124940900674315,-0.1349381605920275,0.08492696181252009
DayOfMonth,End,0.13105818711854775,3.3563992495123665,0.4811218985976268,1854,0.8840143447776192,0.11598565522238082,-0.021821789842876887,0.2839381640799724
