Pattern_Type,Period,Period_Number,Average_Return,Std_Dev,Win_Rate,Sample_Size,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Consistency_Score,Statistical_Significance,P_Value,CI_Lower,CI_Upper,Skewness,Kurtosis
Monthly,January,,0.38775999268537664,4.004183414264269,0.54,100,0.09683871905169056,0.1642657490918314,-9.535386198184975,0.54,0.6890571774137237,0.31094282258627626,-0.4067568680679311,1.1822768534386845,0.48834118775812047,1.2505235526218712
Monthly,February,,0.004123327636491031,4.80392123272793,0.4895833333333333,96,0.0008583254047547277,0.0012754349716961838,-13.397472921186148,0.4895833333333333,0.0,0.9917169483062924,-0.9692415819483142,0.9774882372212963,0.030278263303597636,0.8195548714040726
Monthly,March,,0.04395167635977111,4.347374939940354,0.5181818181818182,110,0.010109934608118739,0.01400825598107168,-12.513270862718201,0.5181818181818182,0.09464274781777826,0.9053572521822217,-0.7775856143945024,0.8654889671140447,-0.17424305589232325,1.4125341185343325
Monthly,April,,-0.3350615508250993,3.7293049330675876,0.46601941747572817,103,-0.08984557627726358,-0.14332686363310154,-8.367922505418749,0.46601941747572817,0.6281026238268348,0.3718973761731652,-1.063915397058687,0.3937922954084883,0.38457334899147283,1.1839404405799705
Monthly,May,,-0.008982085398595397,4.846439309808803,0.4811320754716981,106,-0.0018533370221755134,-0.002697025134295707,-13.148781432084517,0.4811320754716981,0.0,0.9811813387195782,-0.942348353916067,0.9243841831188763,0.5802203479648343,4.0030397023320825
Monthly,June,,0.24496391644471777,3.2004891134603723,0.5728155339805825,103,0.076539524979,0.09935130802282463,-9.420475110307892,0.5728155339805825,0.49073720413326405,0.509262795866736,-0.38053838010670266,0.8704662129961382,-0.40098075848536996,1.032701034358329
Monthly,July,,0.17256599815363802,2.828377148668013,0.5238095238095238,105,0.06101237178885627,0.10298395257052036,-7.399390771775175,0.5238095238095238,0.36336162512770054,0.6366383748722995,-0.37479469019067446,0.7199266864979506,0.49675672097391005,1.6012851121996512
Monthly,August,,-0.08992276165149773,2.71105983382846,0.46846846846846846,111,-0.033168859104268485,-0.05525886164867008,-7.342350571006881,0.46846846846846846,0.19995613809818158,0.8000438619018184,-0.5998753837074099,0.4200298604044145,0.46373516438329715,1.7223822481291169
Monthly,September,,-0.07520204629149617,2.3433272919190347,0.4563106796116505,103,-0.032091994383725425,-0.0446884177242578,-8.22267810893969,0.4563106796116505,0.1628739485389219,0.8371260514610781,-0.5331809834803184,0.382776890897326,-0.08193813278918709,2.315512131219057
Monthly,October,,-0.22660583092848816,2.8389416375039485,0.46875,96,-0.07982053168508399,-0.11294044716630625,-7.539829792677024,0.46875,0.44768797520124304,0.552312024798757,-0.8018288698658692,0.34861720800889284,-0.0997996747496543,0.7700054177078095
Monthly,November,,0.6745054117353264,4.013894992630761,0.5301204819277109,83,0.16804261520883645,0.36325610957121285,-8.448735336301247,0.5301204819277109,0.8942068816994421,0.10579311830055796,-0.2019529616089556,1.5509637850796083,1.082390055194266,2.0784008873293676
Monthly,December,,-0.6908721982573135,2.8690325288340337,0.3939393939393939,99,-0.24080319456610758,-0.3189464341901374,-9.531401119244236,0.3939393939393939,0.9337449821720547,0.06625501782794535,-1.263090647137342,-0.11865374937728501,-0.372426883156577,1.1159339367076102
Weekly,Monday,,-0.3083857910630572,3.2763730207807455,0.47555555555555556,225,-0.09412413943927855,-0.11244787137414342,-13.397472921186148,0.47555555555555556,0.7628206372882331,0.2371793627117669,-0.7388162302234789,0.12204464809736443,-0.9162561402722739,3.034919572267931
