Fast Period,Slow Period,Signal Period,Signal
5,24,18,1
5,25,18,1
5,26,18,1
6,16,18,1
6,17,17,1
6,17,18,1
6,18,16,1
6,18,17,1
6,18,18,1
6,19,16,1
6,19,17,1
6,19,18,1
6,20,15,1
6,20,16,1
6,20,17,1
6,20,18,1
6,21,15,1
6,21,16,1
6,21,17,1
6,21,18,1
6,22,14,1
6,22,15,1
6,22,16,1
6,22,17,1
6,22,18,1
6,23,14,1
6,23,15,1
6,23,16,1
6,23,17,1
6,23,18,1
6,24,14,1
6,24,15,1
6,24,16,1
6,24,17,1
6,24,18,1
6,25,14,1
6,25,15,1
6,25,16,1
6,25,17,1
6,25,18,1
6,26,14,1
6,26,15,1
6,26,16,1
6,26,17,1
6,26,18,1
6,27,14,1
6,27,15,1
6,27,16,1
6,27,17,1
6,27,18,1
6,28,14,1
6,28,15,1
6,28,16,1
6,28,17,1
6,28,18,1
6,29,14,1
6,29,15,1
6,29,16,1
6,29,17,1
6,29,18,1
6,30,14,1
6,30,15,1
6,30,16,1
6,30,17,1
6,30,18,1
6,31,14,1
6,31,15,1
6,31,16,1
6,31,17,1
6,31,18,1
6,32,14,1
6,32,15,1
6,32,16,1
6,32,17,1
6,32,18,1
6,33,14,1
6,33,15,1
6,33,16,1
6,33,17,1
6,33,18,1
6,34,15,1
6,34,16,1
6,34,17,1
6,34,18,1
6,35,15,1
6,35,16,1
6,35,17,1
6,35,18,1
6,36,16,1
6,36,17,1
6,36,18,1
7,14,17,1
7,14,18,1
7,15,16,1
7,15,17,1
7,15,18,1
7,16,15,1
7,16,16,1
7,16,17,1
7,16,18,1
7,17,14,1
7,17,15,1
7,17,16,1
7,17,17,1
7,17,18,1
7,18,14,1
7,18,15,1
7,18,16,1
7,18,17,1
7,18,18,1
7,19,13,1
7,19,14,1
7,19,15,1
7,19,16,1
7,19,17,1
7,19,18,1
7,20,13,1
7,20,14,1
7,20,15,1
7,20,16,1
7,20,17,1
7,20,18,1
7,21,12,1
7,21,13,1
7,21,14,1
7,21,15,1
7,21,16,1
7,21,17,1
7,21,18,1
7,22,12,1
7,22,13,1
7,22,14,1
7,22,15,1
7,22,16,1
7,22,17,1
7,22,18,1
7,23,12,1
7,23,13,1
7,23,14,1
7,23,15,1
7,23,16,1
7,23,17,1
7,23,18,1
7,24,12,1
7,24,13,1
7,24,14,1
7,24,15,1
7,24,16,1
7,24,17,1
7,24,18,1
7,25,12,1
7,25,13,1
7,25,14,1
7,25,15,1
7,25,16,1
7,25,17,1
7,25,18,1
7,26,11,1
7,26,12,1
7,26,13,1
7,26,14,1
7,26,15,1
7,26,16,1
7,26,17,1
7,26,18,1
7,27,11,1
7,27,12,1
7,27,13,1
7,27,14,1
7,27,15,1
7,27,16,1
7,27,17,1
7,27,18,1
7,28,11,1
7,28,12,1
7,28,13,1
7,28,14,1
7,28,15,1
7,28,16,1
7,28,17,1
