Fast Period,Slow Period,Signal Period,Signal
2,4,2,1
2,4,3,1
2,4,4,1
2,5,2,1
2,5,3,1
2,6,2,1
2,6,3,1
2,7,2,1
2,7,3,1
2,8,2,1
2,8,3,1
2,9,2,1
2,9,3,1
2,10,2,1
2,11,2,1
2,12,2,1
2,13,2,1
2,14,2,1
2,15,2,1
2,16,2,1
2,17,2,1
2,18,2,1
2,19,2,1
2,20,2,1
2,21,2,1
2,22,2,1
2,23,2,1
2,24,2,1
2,25,2,1
2,26,2,1
2,27,2,1
2,28,2,1
2,29,2,1
2,30,2,1
2,31,2,1
2,32,2,1
2,33,2,1
2,34,2,1
2,35,2,1
3,4,2,1
3,5,2,1
3,6,2,1
3,7,2,1
3,8,2,1
3,9,2,1
