Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Current
QQQ,true,71,73,65,53.125,1.764026745768632,440.9991386735573,4.998861141406643,3.9017740773146428,9.405684754521964,19,47.017712027700725,3.0823272852607695,0,0,3483,145 days 04:00:00,1000.0,1258.1090718166845,25.810907181668448,74.09547325392532,100.0,163.20657867073996,13.543690213233209,45 days 11:00:00,64,1,-61.818041233339954,10.93522337203353,-4.431936054025971,1.8014341753453944,-1.059206420979835,1 days 18:47:38.823529411,0 days 23:08:00,2.1342933319881956,5.76842774570465,1.090981363702628,-0.6516533865272117,0
SPY,true,49,52,68,51.470588235294116,1.5589190573102947,468.56158484065463,2.1978385255794564,1.714000632693426,9.839793281653746,20,21.62627675815651,2.581140444089461,0,0,3483,145 days 04:00:00,1000.0,1149.4530197394024,14.945301973940243,49.00697722844405,100.0,146.16429625269274,6.281515143917966,36 days 03:00:00,68,0,0.0,6.024690340055329,-3.195363360537572,1.1281521283438085,-0.7540956656303731,1 days 20:54:51.428571428,0 days 16:16:21.818181818,1.8351558788074391,6.676285212333303,1.0808508962548076,-0.6950372616480034,0
QQQ,false,3,63,66,37.878787878787875,1.3866440145518122,454.78036175710594,2.7730777031908724,1.591527607432778,9.550387596899226,20,26.483966901791902,2.270760737465771,0,0,3483,145 days 04:00:00,1000.0,1183.0231284105978,18.302312841059777,74.09547325392532,100.0,151.01253034806396,11.47003221571191,36 days 23:00:00,66,0,0.0,9.108337960942954,-2.3366464085957115,2.3780938330133434,-1.001191853610611,3 days 02:02:24,0 days 11:39:30.731707317,1.6256805413267899,4.585131301889795,1.0673905888130661,-0.7529901350607787,0
QQQ,true,72,73,89,50.0,1.5237431790165707,606.3738156761412,2.867891364928081,2.1726449734303643,12.878552971576227,26,36.934290859952334,2.3816525886362654,0,0,3483,145 days 04:00:00,1000.0,1193.2542950830557,19.325429508305568,74.09547325392532,100.0,216.71498471315553,14.72801734340645,45 days 11:00:00,88,1,-59.12014503061437,10.779667088087889,-4.4319360540259956,1.423846272382562,-0.8732183338564714,1 days 07:28:38.181818181,0 days 17:38:10.909090909,1.6583048760994676,3.7976229415661686,1.069637609867245,-0.7391820490561241,0
SPY,false,13,22,61,36.0655737704918,1.2820280462773677,420.3273040482343,1.866015528687937,0.9424320851959277,8.82687338501292,18,16.471082806196364,2.0594871992706256,0,0,3483,145 days 04:00:00,1000.0,1113.8269472499637,11.382694724996384,49.00697722844405,100.0,132.64508766908625,7.478915373185867,30 days 02:00:00,61,0,0.0,8.554548160490517,-2.1685595627689125,2.2124742812669558,-0.9427972806924118,3 days 01:08:10.909090909,0 days 14:52:18.461538461,1.4692949412649343,4.162939000447166,1.06277149219827,-0.7677331806869783,0
QQQ,true,57,61,51,56.00000000000001,2.1410730524907757,344.53057708871665,7.7236693588966085,4.964709413432163,7.379844961240311,15,56.99948240053932,3.875191805675662,0,0,3483,145 days 04:00:00,1000.0,1334.5905095054488,33.459050950544885,74.09547325392532,100.0,124.11494960404977,7.896625342474238,36 days 23:00:00,50,1,-51.59295843938207,12.192149713314299,-3.1604261315387094,2.1887545105869655,-1.221449426307265,2 days 08:21:25.714285714,1 days 00:05:27.272727272,2.670455916094701,13.501767338038961,1.1165546375265978,-0.5484332647976934,0
SPY,true,49,55,50,52.0,2.1099749056910237,344.53057708871665,4.438644834650615,2.6493288728401283,7.235142118863049,15,32.11422619385458,3.9466589719627385,0,0,3483,145 days 04:00:00,1000.0,1221.9322417325313,22.193224173253135,49.00697722844405,100.0,110.96227538092464,5.10864144208428,17 days 20:00:00,50,0,0.0,6.379399867451388,-1.9565357607158884,1.4897696266132037,-0.7517985371067755,2 days 14:53:04.615384615,0 days 20:27:30,2.6749486949776915,12.826564088113587,1.1173953082775465,-0.5471415412993069,0
QQQ,true,26,63,28,60.71428571428571,2.7660347592661165,192.9371231696813,14.878206964746465,5.806462773202247,4.051679586563307,9,60.28172744372728,4.9740636866182015,0,0,3483,145 days 04:00:00,1000.0,1416.5897950129013,41.658979501290126,74.09547325392532,100.0,71.91009727729539,7.372993668516754,26 days 04:00:00,28,0,0.0,12.478430197723196,-2.706647628201939,3.2079859752108484,-1.641408641136911,4 days 09:07:03.529411764,1 days 08:21:49.090909090,3.4363280008459367,18.993432302632662,1.1522559737432578,-0.4377661998523887,0
SPY,true,30,69,21,71.42857142857143,6.380111306176605,144.70284237726096,17.416969332270526,5.541762969358803,3.0387596899224807,7,52.925984327519735,6.146226973365185,0,0,3483,145 days 04:00:00,1000.0,1365.7563559776813,36.57563559776812,49.00697722844405,100.0,51.683516545072685,4.616737498531717,18 days 09:00:00,21,0,0.0,8.608364706985911,-2.879832471799603,2.5141049187012774,-0.9245533055591788,5 days 05:16:00,2 days 05:50:00,4.191148030440905,25.768323265534338,1.185619046019795,-0.25366472967160847,0
QQQ,false,26,88,18,44.44444444444444,3.9281159881678294,124.03100775193798,24.764385468953524,4.5480965048583135,2.6046511627906974,6,64.50258540750684,4.6965779324924135,0,0,3483,145 days 04:00:00,1000.0,1445.7589384411635,44.575893844116344,74.09547325392532,100.0,45.38785706210926,7.300353444064337,24 days 10:00:00,18,0,0.0,16.590799542364678,-2.979585747401377,6.493174967096388,-1.244894264297207,10 days 03:00:00,2 days 12:54:00,3.288734208696954,20.91138090065643,1.132759043963451,-0.39839922890626966,0
