TICKER,SHORT_WINDOW,LONG_WINDOW,SIGNAL_PERIOD,BASE_DIR,USE_SMA,USE_HOURLY,REFRESH,USE_RSI,RSI_PERIOD,RSI_THRESHOLD,STOP_LOSS
MSTR,28,54,.,.,False,True,True,,,,
MSTR,68,82,.,.,True,True,True,,,,
