Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Profit Factor,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Expectancy,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Sharpe Ratio,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Calmar Ratio,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Omega Ratio,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Most Sortino Ratio,TPR,SMA,15,30,0,true,false,1,105,1.385741020512756,48.07692307692308,2.3717236282247485,5.692481107458966,1.1844261324572782,0.026557514408495082,34 days 03:55:23.076923076,0.01155871534546481,0.35495814552479077,0.7065357372826787,2.020592537338542,0,6212,6213 days 00:00:00,1000.0,36087.20940273124,3508.720940273124,3417.948717948704,100.0,1526.0124187718732,56.71834778020869,2086 days 00:00:00,104,-36.08720940272906,208.60325135561678,-30.370019411887384,19.13955301956454,-6.758511403749902,52 days 10:33:36,17 days 05:46:40,337.72400588590375,0.7832490403877691,0.41344628525258353,1.1658351358060624,0.34074701052035344,10.412252251231088,1.165835135806062,1.0,-0.026458368915166116,,,0.0007395825456958619,0.1863748015153572,35.087209402731354,0.15655537237353934,0.28637393316617277,3554,208,8997.539682539682,1.2658227848101267,,,
Mean Total Trades,TPR,SMA,14,28,0,true,false,1,109,1.3194725911254945,48.148148148148145,2.12291373922022,4.994337321145641,1.0617394816932522,-0.3514048319707739,32 days 17:06:39.999999999,0.01200328132029038,0.3684803605924018,0.7335801674179009,1.840315217015836,0,6212,6213 days 00:00:00,1000.0,23168.650230332176,2216.8650230332178,3417.948717948704,100.0,1172.884879550609,63.40674204838891,2114 days 00:00:00,108,-23.168650230330968,212.33450417527712,-27.382491222174153,17.679176566456597,-6.784441978071672,49 days 23:32:18.461538462,16 days 16:17:08.571428571,205.4798044496527,0.7117205308924675,0.3198025817679169,1.1497021791910662,0.17323696753875015,10.527076456400549,1.16056651329126,0.9906387665198239,-0.026344114981488944,,,0.0006653302653280659,0.16766322686267263,22.168650230332137,0.13595344224523376,0.28351398618648127,3534,216,8997.539682539682,1.2658227848101267,,,
Most Win Rate [%],TPR,SMA,69,75,0,true,false,1,73,1.3098941444119783,56.94444444444444,1.9512926626588538,5.717723733941941,0.839828013245935,-0.7081033839697436,48 days 21:39:59.999999999,0.008002187546860254,0.24678042498390212,0.4901802962009015,1.411022293002736,0,6212,6213 days 00:00:00,1000.0,10976.876645341797,997.6876645341797,3417.948717948704,100.0,596.3704130606693,59.250966033963046,1208 days 00:00:00,72,-10.976876645339871,162.65652308544642,-39.29371901817451,16.696540709503214,-8.802647104703611,60 days 14:38:02.926829268,33 days 10:03:52.258064516,138.72018780537687,0.5842703613213975,0.255074073424631,1.122517998825149,-0.45855484287292403,16.001147989809024,1.0988860409551469,1.0215053763440862,-0.0254475984610654,,,0.0005467965631436938,0.13779273391221084,9.976876645341822,0.10205162695173753,0.28383021270908976,3522,144,8997.539682539682,1.2658227848101267,,,
Mean Avg Losing Trade Duration,TPR,SMA,69,75,0,true,false,1,73,1.3098941444119783,56.94444444444444,1.9512926626588538,5.717723733941941,0.839828013245935,-0.7081033839697436,48 days 21:39:59.999999999,0.008002187546860254,0.24678042498390212,0.4901802962009015,1.411022293002736,0,6212,6213 days 00:00:00,1000.0,10976.876645341797,997.6876645341797,3417.948717948704,100.0,596.3704130606693,59.250966033963046,1208 days 00:00:00,72,-10.976876645339871,162.65652308544642,-39.29371901817451,16.696540709503214,-8.802647104703611,60 days 14:38:02.926829268,33,138.72018780537687,0.5842703613213975,0.255074073424631,1.122517998825149,-0.45855484287292403,16.001147989809024,1.0988860409551469,1.0215053763440862,-0.0254475984610654,,,0.0005467965631436938,0.13779273391221084,9.976876645341822,0.10205162695173753,0.28383021270908976,3522,144,8997.539682539682,1.2658227848101267,,,
