Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Least Max Drawdown [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Median Total Trades,10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Mean Win Rate [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Median Win Rate [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Least Best Trade [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Mean Best Trade [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Median Best Trade [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Least Worst Trade [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
Mean Worst Trade [%],10,31,18,JNPR,MACD,true,false,1,200,0.9495121996231757,49.246231155778894,1.2687013789082304,0.37789223040048336,0.6928410871204415,-0.3150696583121577,0 days 23:59:59.999999999,0.021017558638812578,0.6424965580541533,1.281780633318036,0.24279445734771762,0,6537,6538 days 00:00:00,1000.0,1823.821251469074,82.3821251469074,120.27810732387314,100.0,699.6690946830015,31.48251740318484,5462 days 00:00:00,199,-1.8238212514688712,27.99198289684661,-11.254838578011842,2.4995595407045132,-1.6807552588054067,1 days 00:00:00,1 days 00:00:00,4.148970214676103,0.31146256577468395,0.10837036816068364,1.417480694530057,18.89427667553016,674.804536656118,3.968945944684154,0.3571428571428571,0.0,,,0.00011489833874223936,0.028954381363044318,0.8238212514690737,0.023432664023915306,0.1118805506460105,200,0,9468.27380952381,,
