Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Metric Type
KEY,MACD,2,20,18,true,false,1,688,0.5440502030206482,41.48471615720524,0.753165976891319,-0.19217845541213074,-0.6064103300935548,-1.4600555202579815,0 days 23:59:59.999999999,0.05004878429535964,1.5245330800886356,3.0468502690724915,-0.2929824125561322,0,9477,9478 days 00:00:00,1000.0,220.52869131961825,-77.94713086803817,169.42983495628624,100.0,761.02484419068,78.92602006252373,7744 days 00:00:00,687,-0.2205286913196005,16.289687606070864,-13.219552083802233,1.652297294727353,-1.4998291737946006,1 days 00:00:00,1 days 00:00:00,-1.1342806113377901,-0.41834178060481064,-0.07165543454948921,0.7909169639264951,1.7989134930703252,159.27231317147331,2.9591203650353632,0.2672811059907834,-0.000999000999000948,,,-0.0001393309428143097,-0.03511139758920605,-0.7794713086803801,-0.03939659043978894,0.10100968992053623,688,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,21,18,true,false,1,692,0.5516442592582786,41.96816208393632,0.7760569446940873,-0.18624578085373533,-0.6003752308338501,-1.4550722405866738,0 days 23:59:59.999999999,0.05034018915297454,1.5333966445077556,3.0645773979107314,-0.28558865541484457,0,9477,9478 days 00:00:00,1000.0,228.97185384212457,-77.10281461578754,169.42983495628624,100.0,834.885860069518,79.29028133394314,7744 days 00:00:00,691,-0.22897185384209706,16.289687606070874,-13.219552083802222,1.623208884085484,-1.4948289549993052,1 days 00:00:00,1 days 00:00:00,-1.115483609701919,-0.4122652154329385,-0.06960341518516185,0.7952166855940386,1.9800980156572954,162.99226920245076,2.9328669624621044,0.2711397058823529,-0.0009990009990009593,,,-0.00013581631536273457,-0.03422571147140911,-0.7710281461578758,-0.038436524857380916,0.09991298947856855,692,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,22,17,true,false,1,693,0.552790886811363,42.052023121387286,0.7675844851212518,-0.19133523597489943,-0.6146782244791937,-1.4600734220654161,0 days 23:59:59.999999999,0.050413040367378266,1.5356125356125356,3.0690091801202914,-0.2938167868674382,0,9477,9478 days 00:00:00,1000.0,220.49836031682742,-77.95016396831726,169.42983495628624,100.0,812.0814576785426,79.27550881334544,7744 days 00:00:00,692,-0.22049836031681025,16.289687606070853,-13.219552083802228,1.617472051923764,-1.503960973577172,1 days 00:00:00,1 days 00:00:00,-1.126128816940542,-0.42347640178339657,-0.07134584297840921,0.7905711034922602,1.9307774402993882,162.08149948428886,2.908553823321212,0.2718089990817264,-0.0009990009990009528,,,-0.0001397285846438067,-0.03521160333023929,-0.7795016396831722,-0.039400103444259704,0.10006973467526195,693,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,22,18,true,false,1,679,0.5581301528484888,42.33038348082596,0.7996045943535128,-0.15833721376851229,-0.5058273460166391,-1.4233158508522297,0 days 23:59:59.999999999,0.049393123365726106,1.5045900601456157,3.0069642291864516,-0.2382325979872551,0,9477,9478 days 00:00:00,1000.0,282.77665255726845,-71.72233474427316,169.42983495628624,100.0,877.7303395169916,76.27766988327768,7744 days 00:00:00,678,-0.2827766525572315,16.28968760607086,-13.219552083802224,1.6502370851786654,-1.4858585022540365,1 days 00:00:00,1 days 00:00:00,-1.0574344701920015,-0.3414664648394779,-0.062243793523047104,0.823914641876999,2.3427337463172213,163.77853529114657,3.0050311424623652,0.27417840375586855,-0.0009990009990009556,,,-0.00011329900692890767,-0.028551349746084732,-0.7172233474427299,-0.03302545285927294,0.10062936855175414,679,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,23,17,true,false,1,685,0.5494274882759471,41.812865497076025,0.7849618060009882,-0.1801880797078893,-0.5715551341797317,-1.4482993881114006,0 days 23:59:59.999999999,0.049830230652148456,1.5178854067742957,3.033554922443811,-0.2735048566632888,0,9477,9478 days 00:00:00,1000.0,240.44708661281277,-75.95529133871872,169.42983495628624,100.0,853.3433732295166,79.45163506598774,7744 days 00:00:00,684,-0.24044708661278946,16.28968760607085,-13.219552083802222,1.668102689562197,-1.5083568234547353,1 days 00:00:00,1 days 00:00:00,-1.1101059448838777,-0.3888373352703307,-0.0672205303955206,0.804037133493796,2.2215305597676442,158.94547518238133,2.978529312392847,0.2699443413729128,-0.0009990009990009528,,,-0.00013006986173429464,-0.03277760515704225,-0.7595529133871878,-0.03718551256476066,0.10145078760348228,685,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,23,18,true,false,1,665,0.5669293231077452,42.92168674698795,0.7966114132093972,-0.1703129212093203,-0.5264721734854229,-1.4327742449320273,0 days 23:59:59.999999999,0.048373206364073947,1.4735675846786958,2.9449192782526117,-0.2509675999459911,0,9477,9478 days 00:00:00,1000.0,266.75131107835193,-73.3248688921648,169.42983495628624,100.0,868.8042090343006,76.63823612723645,7744 days 00:00:00,664,-0.2667513110783375,16.289687606070878,-13.219552083802217,1.632082699196857,-1.5256763824646251,1 days 00:00:00,1 days 00:00:00,-1.103888460256881,-0.35893083293129885,-0.06474020676453734,0.8136247941606416,2.160710078603394,163.6940598996645,2.902208028655507,0.28034682080924855,-0.0009990009990009467,,,-0.00011935149410904699,-0.03007657651547984,-0.7332486889216471,-0.03452421509606052,0.10084718870176651,665,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,24,16,true,false,1,693,0.5573264304812122,42.34104046242775,0.776986707131892,-0.1884142425100539,-0.603151345234385,-1.4575564971736732,0 days 23:59:59.999999999,0.050413040367378266,1.5356125356125356,3.0690091801202914,-0.2893312726863791,0,9477,9478 days 00:00:00,1000.0,224.76278200688103,-77.5237217993119,169.42983495628624,100.0,840.8614640273631,79.98515435841146,7744 days 00:00:00,692,-0.22476278200684874,16.289687606070853,-13.219552083802219,1.6147695120734218,-1.5125566988833832,1 days 00:00:00,1 days 00:00:00,-1.1199601953917857,-0.4158560568692146,-0.0698424250343619,0.7939701583986147,1.9008271600002211,160.5296362050751,2.89612604758155,0.27414903403863844,-0.000999000999000955,,,-0.00013759593273657522,-0.03467417504961696,-0.7752372179931182,-0.03891074668463623,0.10034812633489557,693,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,24,17,true,false,1,676,0.5650747238240783,42.81481481481482,0.7862138368580073,-0.1751424623953577,-0.5462007098798275,-1.4409639485217722,1 days 00:00:00,0.049174569722514924,1.4979423868312758,2.9936688825577713,-0.26235331815600904,0,9477,9478 days 00:00:00,1000.0,252.87550980283845,-74.71244901971616,169.42983495628624,100.0,845.4435482163066,78.33329448668009,7744 days 00:00:00,675,-0.2528755098028057,16.289687606070856,-13.21955208380223,1.6298538353694592,-1.5265516076130574,1 days 00:00:00,1 days 00:00:00,-1.1064764662034943,-0.3731970376197867,-0.06583263353013279,0.8087512518785508,2.110829192018276,160.43276988976035,2.9076533103252893,0.2781456953642384,-0.000999000999000948,,,-0.0001247664376971234,-0.031441142299675096,-0.7471244901971617,-0.03589451809808075,0.10139260712339433,676,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,24,18,true,false,1,653,0.5645982220361226,42.79141104294479,0.7766823592841107,-0.18381528883642617,-0.5687513341756666,-1.4419265569935322,0 days 23:59:59.999999999,0.04749899179122923,1.446976891421336,2.891737891737892,-0.26597647523624696,0,9477,9478 days 00:00:00,1000.0,251.24456385785993,-74.875543614214,169.42983495628624,100.0,814.3072989584025,77.78328905571654,7744 days 00:00:00,652,-0.25124456385782423,16.28968760607087,-13.219552083802219,1.5955056015336349,-1.5147282336440593,1 days 00:00:00,1 days 00:00:00,-1.1480125637703686,-0.3882813334528071,-0.06660192951861131,0.7979076914467303,2.315561823259985,173.85878619417497,2.8428948866581303,0.28066732090284596,-0.0009990009990009457,,,-0.00012648484232550633,-0.0318741802660276,-0.7487554361421396,-0.03606036528867329,0.09879584358859916,653,0,13726.607142857143,,,Standard MACD
KEY,MACD,2,25,16,true,false,1,681,0.5580715671699533,42.35294117647059,0.7874481938993966,-0.1704709517939138,-0.5418498018653313,-1.4371536821962851,0 days 23:59:59.999999999,0.04953882579453356,1.5090218423551758,3.0158277936055713,-0.2572443897440922,0,9477,9478 days 00:00:00,1000.0,259.3312377495058,-74.06687622504941,169.42983495628624,100.0,848.2879347840303,77.46996573338281,7744 days 00:00:00,680,-0.2593312377494499,16.28968760607086,-13.219552083802238,1.6395781039459465,-1.5003029111129949,1 days 00:00:00,1 days 00:00:00,-1.0888373985481525,-0.36791808739772874,-0.06537719187429789,0.8120992862908034,2.2750090688792985,162.51765131655662,2.9601434735787855,0.2743445692883895,-0.000999000999000958,,,-0.00012233827310807063,-0.0308292448232338,-0.7406687622504956,-0.03524810989587379,0.10084582182553009,681,0,13726.607142857143,,,Standard MACD
