Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],MSTR,SMA,21,23,0,true,257,1.4636200953705025,48.4375,1.4712963387440188,4.365676303852123,1.062571818263674,2.302070777903196,14 days 05:48:44.999999998,0.02619223554822941,0.799792531120332,1.5964730290456433,3.4916353011099446,0,6748,6749 days 00:00:00,1000.0,72086.35350848176,7108.635350848175,2152.7810361963634,100.0,7926.862171646685,92.16746367815507,2424 days 00:00:00,256,1,-72.08635350847908,513.9642201834862,-36.16399999999999,16.70851759017867,-7.2291139954243295,19 days 16:38:42.580645161,9 days 02:54:32.727272727,277.9626557108995,0.6884271587856926,0.2824289944167429,1.1807063643539426,0.3442039894935769,37.13372391844764,1.347886026563355,0.36591783039870474,-0.03970798522468779,None,None,0.0012295882572819971,0.3098562408350633,71.08635350848233,0.1731947869136412,0.541687001755618,9773.888888888889
Least Max Drawdown [%],MSTR,SMA,21,23,0,true,257,1.4636200953705025,48.4375,1.4712963387440188,4.365676303852123,1.062571818263674,2.302070777903196,14 days 05:48:44.999999998,0.02619223554822941,0.799792531120332,1.5964730290456433,3.4916353011099446,0,6748,6749 days 00:00:00,1000.0,72086.35350848176,7108.635350848175,2152.7810361963634,100.0,7926.862171646685,92.16746367815507,2424 days 00:00:00,256,1,-72.08635350847908,513.9642201834862,-36.16399999999999,16.70851759017867,-7.2291139954243295,19 days 16:38:42.580645161,9 days 02:54:32.727272727,277.9626557108995,0.6884271587856926,0.2824289944167429,1.1807063643539426,0.3442039894935769,37.13372391844764,1.347886026563355,0.36591783039870474,-0.03970798522468779,None,None,0.0012295882572819971,0.3098562408350633,71.08635350848233,0.1731947869136412,0.541687001755618,9773.888888888889
Most Sharpe Ratio,MSTR,SMA,21,23,0,true,257,1.4636200953705025,48.4375,1.4712963387440188,4.365676303852123,1.062571818263674,2.302070777903196,14 days 05:48:44.999999998,0.02619223554822941,0.799792531120332,1.5964730290456433,3.4916353011099446,0,6748,6749 days 00:00:00,1000.0,72086.35350848176,7108.635350848175,2152.7810361963634,100.0,7926.862171646685,92.16746367815507,2424 days 00:00:00,256,1,-72.08635350847908,513.9642201834862,-36.16399999999999,16.70851759017867,-7.2291139954243295,19 days 16:38:42.580645161,9 days 02:54:32.727272727,277.9626557108995,0.6884271587856926,0.2824289944167429,1.1807063643539426,0.3442039894935769,37.13372391844764,1.347886026563355,0.36591783039870474,-0.03970798522468779,None,None,0.0012295882572819971,0.3098562408350633,71.08635350848233,0.1731947869136412,0.541687001755618,9773.888888888889
Most Calmar Ratio,MSTR,SMA,21,23,0,true,257,1.4636200953705025,48.4375,1.4712963387440188,4.365676303852123,1.062571818263674,2.302070777903196,14 days 05:48:44.999999998,0.02619223554822941,0.799792531120332,1.5964730290456433,3.4916353011099446,0,6748,6749 days 00:00:00,1000.0,72086.35350848176,7108.635350848175,2152.7810361963634,100.0,7926.862171646685,92.16746367815507,2424 days 00:00:00,256,1,-72.08635350847908,513.9642201834862,-36.16399999999999,16.70851759017867,-7.2291139954243295,19 days 16:38:42.580645161,9 days 02:54:32.727272727,277.9626557108995,0.6884271587856926,0.2824289944167429,1.1807063643539426,0.3442039894935769,37.13372391844764,1.347886026563355,0.36591783039870474,-0.03970798522468779,None,None,0.0012295882572819971,0.3098562408350633,71.08635350848233,0.1731947869136412,0.541687001755618,9773.888888888889
Most Omega Ratio,MSTR,SMA,21,23,0,true,257,1.4636200953705025,48.4375,1.4712963387440188,4.365676303852123,1.062571818263674,2.302070777903196,14 days 05:48:44.999999998,0.02619223554822941,0.799792531120332,1.5964730290456433,3.4916353011099446,0,6748,6749 days 00:00:00,1000.0,72086.35350848176,7108.635350848175,2152.7810361963634,100.0,7926.862171646685,92.16746367815507,2424 days 00:00:00,256,1,-72.08635350847908,513.9642201834862,-36.16399999999999,16.70851759017867,-7.2291139954243295,19 days 16:38:42.580645161,9 days 02:54:32.727272727,277.9626557108995,0.6884271587856926,0.2824289944167429,1.1807063643539426,0.3442039894935769,37.13372391844764,1.347886026563355,0.36591783039870474,-0.03970798522468779,None,None,0.0012295882572819971,0.3098562408350633,71.08635350848233,0.1731947869136412,0.541687001755618,9773.888888888889
Least Avg Losing Trade Duration,MSTR,SMA,21,24,0,true,225,1.3738865275269094,48.660714285714285,1.4099496736007844,4.9886677067611815,1.033874766420995,1.637176962945331,16 days 06:12:51.428571427,0.022918206104700734,0.7002074688796681,1.3973029045643155,3.4931023880329852,0,6748,6749 days 00:00:00,1000.0,57772.64554922628,5677.264554922628,2152.7810361963634,100.0,6519.198801453198,94.67475771209892,2476 days 00:00:00,224,1,-57.77264554922294,553.9684039087947,-37.802808988764056,18.697325799339993,-8.004756050552647,22 days 05:43:29.174311926,10 days 14:11:28.695652173,253.70722408381926,0.6700518768084155,0.2591085581902976,1.1760831227513737,0.3586491252198222,37.695270515516356,1.3177329132264055,0.3664709455355335,-0.03933629606670945,None,None,0.0011881430391458868,0.2994120458647635,56.77264554922633,0.1635383697464663,0.5377829171879144,9773.888888888889
Most Total Fees Paid,MSTR,SMA,22,23,0,true,355,1.0306980113046489,48.87005649717514,1.3369456019387622,2.4165403353873183,1.0639985933944567,2.0040295304378275,10 days 06:50:50.847457626,0.03621895071903598,1.1047717842323652,2.2064315352697097,2.669725577995326,0,6748,6749 days 00:00:00,1000.0,65670.17805300422,6467.017805300422,2152.7810361963634,100.0,12166.96962240075,92.75744515596338,2319 days 00:00:00,354,1,-65.67017805299838,156.32084690553748,-34.95368745848865,11.171841512943077,-5.951786204486418,13 days 06:22:53.410404624,7 days 10:28:30.497237569,182.86962777134795,0.6789142602618133,0.27379986525436056,1.1783437151070835,0.5965918569953729,37.894165576674446,1.4142738765899843,0.3645369995956328,-0.0400545283090459,None,None,0.0012097032139033047,0.3048452099036328,64.67017805300412,0.16911831931526056,0.5403941092189799,9773.888888888889
Most Total Trades,MSTR,SMA,22,23,0,true,355,1.0306980113046489,48.87005649717514,1.3369456019387622,2.4165403353873183,1.0639985933944567,2.0040295304378275,10 days 06:50:50.847457626,0.03621895071903598,1.1047717842323652,2.2064315352697097,2.669725577995326,0,6748,6749 days 00:00:00,1000.0,65670.17805300422,6467.017805300422,2152.7810361963634,100.0,12166.96962240075,92.75744515596338,2319 days 00:00:00,354,1,-65.67017805299838,156.32084690553748,-34.95368745848865,11.171841512943077,-5.951786204486418,13 days 06:22:53.410404624,7 days 10:28:30.497237569,182.86962777134795,0.6789142602618133,0.27379986525436056,1.1783437151070835,0.5965918569953729,37.894165576674446,1.4142738765899843,0.3645369995956328,-0.0400545283090459,None,None,0.0012097032139033047,0.3048452099036328,64.67017805300412,0.16911831931526056,0.5403941092189799,9773.888888888889
Least Best Trade [%],MSTR,SMA,22,23,0,true,355,1.0306980113046489,48.87005649717514,1.3369456019387622,2.4165403353873183,1.0639985933944567,2.0040295304378275,10 days 06:50:50.847457626,0.03621895071903598,1.1047717842323652,2.2064315352697097,2.669725577995326,0,6748,6749 days 00:00:00,1000.0,65670.17805300422,6467.017805300422,2152.7810361963634,100.0,12166.96962240075,92.75744515596338,2319 days 00:00:00,354,1,-65.67017805299838,156.32084690553748,-34.95368745848865,11.171841512943077,-5.951786204486418,13 days 06:22:53.410404624,7 days 10:28:30.497237569,182.86962777134795,0.6789142602618133,0.27379986525436056,1.1783437151070835,0.5965918569953729,37.894165576674446,1.4142738765899843,0.3645369995956328,-0.0400545283090459,None,None,0.0012097032139033047,0.3048452099036328,64.67017805300412,0.16911831931526056,0.5403941092189799,9773.888888888889
Least Avg Winning Trade [%],MSTR,SMA,22,23,0,true,355,1.0306980113046489,48.87005649717514,1.3369456019387622,2.4165403353873183,1.0639985933944567,2.0040295304378275,10 days 06:50:50.847457626,0.03621895071903598,1.1047717842323652,2.2064315352697097,2.669725577995326,0,6748,6749 days 00:00:00,1000.0,65670.17805300422,6467.017805300422,2152.7810361963634,100.0,12166.96962240075,92.75744515596338,2319 days 00:00:00,354,1,-65.67017805299838,156.32084690553748,-34.95368745848865,11.171841512943077,-5.951786204486418,13 days 06:22:53.410404624,7 days 10:28:30.497237569,182.86962777134795,0.6789142602618133,0.27379986525436056,1.1783437151070835,0.5965918569953729,37.894165576674446,1.4142738765899843,0.3645369995956328,-0.0400545283090459,None,None,0.0012097032139033047,0.3048452099036328,64.67017805300412,0.16911831931526056,0.5403941092189799,9773.888888888889
