Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Mean Total Fees Paid,STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Median Total Fees Paid,STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Least Max Drawdown [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Mean Total Trades,STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Median Total Trades,STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Most Win Rate [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Most Best Trade [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Most Worst Trade [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
Most Avg Losing Trade [%],STRK_MSTR,SMA,19,20,0,true,13,1.4467276003010574,58.333333333333336,3.9714800505013397,3.1039964942862497,11.671026491144662,0.11044178919874817,0 days 13:14:59.999999999,0.6627945205479452,21.84,42.0,67.7912834352117,0,300,12 days 13:00:00,1000.0,1390.9120257264206,39.091202572642054,35.20328841446858,100.0,31.77979921816785,13.307818577924888,6 days 02:00:00,12,1,-1.3909120257262657,29.488091254588088,-3.875791230276432,6.763229699831753,-2.0189299934774563,0 days 19:00:00,0 days 05:12:00,32.69191147934556,7.258135463600894,111253.17945032718,1.3521459530250277,0.7946401007016903,6.973617932905862,1.175779089586981,0.44019138755980863,-0.019873757872207257,None,None,0.0012189006530363112,7.37191114956361,0.39091202572642114,756.3967574692762,1.2223657833812622,18.10515873015873
