Metric Type,Ticker,Strategy Type,Fast Period,Slow Period,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Best Trade [%],COF,SMA,9,42,0,true,false,None,1,119,0.8645820148903637,38.13559322033898,1.192492512045564,2.5934296828373755,0.49221243354587313,-0.9450637781968524,38 days 15:51:51.864406779,0.010531087532404981,0.3230351602895553,0.6433557394002067,0.8377689732950622,0,7736,7737 days 00:00:00,1000.0,3222.3076670869855,222.23076670869855,4045.250281408423,100.0,530.4883019008414,78.93154640004296,4930 days 00:00:00,118,-3.222307667086625,141.14098143586605,-25.57003582619818,17.847942066384263,-6.8100368549654995,66 days 03:44:00,21 days 17:05:45.205479452,18.860423514864962,0.33364540793356684,0.07190077393035013,1.0716594812241926,0.4890647374050767,23.143895029517736,1.0918440443834778,0.9815133276010316,-0.026610199588134757,,,0.00033636770089343434,0.08476466062514545,2.2223076670869713,0.03884651574728948,0.30575659795661175,0,119,11204.920634920634,,,,
Least Total Trades,COF,SMA,9,44,0,true,false,None,1,116,0.8601256716457731,39.130434782608695,1.1271527642893016,2.372524722632221,0.4355786958255935,-0.965125972745936,39 days 16:54:15.652173912,0.010263348018869262,0.3148914167528438,0.6270682523267839,0.7470876711908079,0,7736,7737 days 00:00:00,1000.0,2410.7416856334767,141.07416856334765,4045.250281408423,100.0,461.4765520476664,80.76740306270949,6604 days 00:00:00,115,-2.410741685633184,134.3857222487449,-29.097112990116848,17.580620197211523,-7.404108082454473,66 days 13:52:00,22 days 10:17:08.571428571,12.288281976687855,0.2964319822288767,0.05247830581824616,1.0633024407714464,0.46851546063464344,23.171856432859297,1.0800400393144192,0.9845027981058977,-0.02667629248424683,,,0.0002985778402564395,0.07524161574462276,1.410741685633468,0.029074790898931724,0.3054774922899319,0,116,11204.920634920634,,,,
Least Avg Losing Trade [%],COF,SMA,9,44,0,true,false,None,1,116,0.8601256716457731,39.130434782608695,1.1271527642893016,2.372524722632221,0.4355786958255935,-0.965125972745936,39 days 16:54:15.652173912,0.010263348018869262,0.3148914167528438,0.6270682523267839,0.7470876711908079,0,7736,7737 days 00:00:00,1000.0,2410.7416856334767,141.07416856334765,4045.250281408423,100.0,461.4765520476664,80.76740306270949,6604 days 00:00:00,115,-2.410741685633184,134.3857222487449,-29.097112990116848,17.580620197211523,-7.404108082454473,66 days 13:52:00,22 days 10:17:08.571428571,12.288281976687855,0.2964319822288767,0.05247830581824616,1.0633024407714464,0.46851546063464344,23.171856432859297,1.0800400393144192,0.9845027981058977,-0.02667629248424683,,,0.0002985778402564395,0.07524161574462276,1.410741685633468,0.029074790898931724,0.3054774922899319,0,116,11204.920634920634,,,,
Mean Total Fees Paid,COF,SMA,7,41,0,true,false,None,1,133,0.8128390121615308,36.36363636363637,1.173408548131884,2.0801016839514794,0.49932480808899415,-0.9421071575297705,34 days 09:27:16.363636363,0.011780538595571674,0.3610392967942089,0.7193640124095139,0.7509984492342918,0,7736,7737 days 00:00:00,1000.0,3341.910372942291,234.1910372942291,4045.250281408423,100.0,689.9638765427308,72.75576884648405,4930 days 00:00:00,132,-3.3419103729420385,128.20582866742916,-22.75611617530888,16.148767445401273,-5.959135894019832,60 days 23:00:00,19 days 05:08:34.285714285,17.767062752388057,0.3382380326011561,0.08050337507274195,1.072993778627306,0.4972872657982128,23.399042874724568,1.1018275321498907,0.9738309738309737,-0.026411811883402386,,,0.00034019050898548845,0.08572800826434308,2.341910372942274,0.040080396493457515,0.3050327401783335,0,133,11204.920634920634,,,,
Least Total Fees Paid,COF,SMA,9,45,0,true,false,None,1,119,0.7918099762565053,35.59322033898305,1.0856003444940976,2.126166871297123,0.3869686594541555,-0.9784864723865323,38 days 19:07:07.118644067,0.010531087532404981,0.3230351602895553,0.6433557394002067,0.6868266560718084,0,7736,7737 days 00:00:00,1000.0,1870.2760363246796,87.02760363246796,4045.250281408423,100.0,404.00857781438543,82.33336439130939,6604 days 00:00:00,118,-1.8702760363244124,134.38572224874486,-29.09711299011684,19.054955564927205,-7.229216354130026,68 days 11:25:42.857142858,22 days 09:28:25.263157894,7.391070443737306,0.2639575657576704,0.036408929192745076,1.0561421847949881,0.46347478616507976,23.125756243401593,1.0741053532236888,0.9832761578044596,-0.02681712032680284,,,0.0002660895438051438,0.06705456503889624,0.8702760363246893,0.020601439750974837,0.3057316477541285,0,119,11204.920634920634,,,,
Most Avg Winning Trade [%],COF,SMA,9,45,0,true,false,None,1,119,0.7918099762565053,35.59322033898305,1.0856003444940976,2.126166871297123,0.3869686594541555,-0.9784864723865323,38 days 19:07:07.118644067,0.010531087532404981,0.3230351602895553,0.6433557394002067,0.6868266560718084,0,7736,7737 days 00:00:00,1000.0,1870.2760363246796,87.02760363246796,4045.250281408423,100.0,404.00857781438543,82.33336439130939,6604 days 00:00:00,118,-1.8702760363244124,134.38572224874486,-29.09711299011684,19.054955564927205,-7.229216354130026,68 days 11:25:42.857142858,22 days 09:28:25.263157894,7.391070443737306,0.2639575657576704,0.036408929192745076,1.0561421847949881,0.46347478616507976,23.125756243401593,1.0741053532236888,0.9832761578044596,-0.02681712032680284,,,0.0002660895438051438,0.06705456503889624,0.8702760363246893,0.020601439750974837,0.3057316477541285,0,119,11204.920634920634,,,,
Median Total Fees Paid,COF,SMA,6,42,0,true,false,None,1,141,0.7852688591064314,35.0,1.1782868711653873,1.8893373242023608,0.4845416898371683,-0.9486005725694981,32 days 11:39:25.714285713,0.012494510631666927,0.38275594622543946,0.7627973112719751,0.7231550952641145,0,7736,7737 days 00:00:00,1000.0,3079.235482774695,207.9235482774695,4045.250281408423,100.0,610.8036169073962,72.91540997093188,6604 days 00:00:00,140,-3.079235482774493,128.2058286674292,-17.14080974646305,15.9575013275601,-5.6858279083748835,61 days 14:41:37.959183674,16 days 19:15:09.890109890,14.873676558981913,0.3274918160030547,0.07473133607876434,1.0705654351851621,0.5271163899852134,23.728327303197762,1.111195897420788,0.96343537414966,-0.02633388979740875,,,0.0003279448000378576,0.08264208960954011,2.0792354827746786,0.03731094055881856,0.3037015442241759,0,141,11204.920634920634,,,,
Most Total Return [%],COF,SMA,5,40,0,true,false,None,1,152,0.7835542711818105,32.450331125827816,1.2416851023589568,2.142347658543022,0.5742562637822954,-0.9048270698014862,30 days 01:54:26.225165562,0.0134762221812979,0.4126163391933816,0.8225180972078593,0.8839676481475344,0,7736,7737 days 00:00:00,1000.0,4849.98322668002,384.9983226680021,4045.250281408423,100.0,924.0553183764912,75.46921101191326,5370 days 00:00:00,151,-4.849983226679797,128.53981801362696,-16.840469957443432,17.164138871376114,-5.0740030221316985,59 days 17:08:34.285714286,15 days 20:14:07.058823529,25.52869675434897,0.38586146530068327,0.10247109831228807,1.0839430897774756,0.5725793460451302,23.439250383626135,1.1240714368648776,0.964300892477688,-0.02641181188340235,,,0.00038931268389720693,0.09810679634209615,3.8499832266800817,0.05277383646544842,0.30599465946289867,0,152,11204.920634920634,,,,
Most Profit Factor,COF,SMA,5,40,0,true,false,None,1,152,0.7835542711818105,32.450331125827816,1.2416851023589568,2.142347658543022,0.5742562637822954,-0.9048270698014862,30 days 01:54:26.225165562,0.0134762221812979,0.4126163391933816,0.8225180972078593,0.8839676481475344,0,7736,7737 days 00:00:00,1000.0,4849.98322668002,384.9983226680021,4045.250281408423,100.0,924.0553183764912,75.46921101191326,5370 days 00:00:00,151,-4.849983226679797,128.53981801362696,-16.840469957443432,17.164138871376114,-5.0740030221316985,59 days 17:08:34.285714286,15 days 20:14:07.058823529,25.52869675434897,0.38586146530068327,0.10247109831228807,1.0839430897774756,0.5725793460451302,23.439250383626135,1.1240714368648776,0.964300892477688,-0.02641181188340235,,,0.00038931268389720693,0.09810679634209615,3.8499832266800817,0.05277383646544842,0.30599465946289867,0,152,11204.920634920634,,,,
Most Expectancy,COF,SMA,5,40,0,true,false,None,1,152,0.7835542711818105,32.450331125827816,1.2416851023589568,2.142347658543022,0.5742562637822954,-0.9048270698014862,30 days 01:54:26.225165562,0.0134762221812979,0.4126163391933816,0.8225180972078593,0.8839676481475344,0,7736,7737 days 00:00:00,1000.0,4849.98322668002,384.9983226680021,4045.250281408423,100.0,924.0553183764912,75.46921101191326,5370 days 00:00:00,151,-4.849983226679797,128.53981801362696,-16.840469957443432,17.164138871376114,-5.0740030221316985,59 days 17:08:34.285714286,15 days 20:14:07.058823529,25.52869675434897,0.38586146530068327,0.10247109831228807,1.0839430897774756,0.5725793460451302,23.439250383626135,1.1240714368648776,0.964300892477688,-0.02641181188340235,,,0.00038931268389720693,0.09810679634209615,3.8499832266800817,0.05277383646544842,0.30599465946289867,0,152,11204.920634920634,,,,
