Short Window,Long Window
5,27
5,28
6,13
6,14
6,16
6,17
6,26
6,27
7,13
7,14
7,16
7,17
7,26
7,27
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,26
9,26
10,11
10,13
10,16
10,26
11,26
12,13
12,16
12,26
13,16
13,26
14,16
14,26
15,16
15,26
16,26
17,26
18,25
18,26
19,20
19,21
19,22
19,23
19,24
19,25
19,26
23,25
24,25
