Short Window,Long Window
36,88
36,89
37,86
37,87
37,88
37,89
38,84
38,85
38,86
38,87
38,88
39,82
39,83
39,84
39,85
39,86
40,80
40,81
40,82
40,83
40,84
40,85
41,79
41,80
41,81
41,82
41,83
42,77
42,78
42,79
42,80
42,81
43,76
43,77
43,78
43,79
44,74
44,75
44,76
44,77
44,78
45,73
45,74
45,75
45,76
46,71
46,72
46,73
46,74
47,70
47,71
47,72
47,73
48,68
48,69
48,70
48,71
48,72
49,67
49,68
49,69
49,70
50,66
50,67
50,68
50,69
51,65
51,66
51,67
51,68
52,63
52,64
52,65
52,66
53,62
53,63
53,64
53,65
54,61
54,62
54,63
54,64
55,60
55,61
55,62
55,63
56,59
56,60
56,61
56,62
57,58
57,59
57,60
57,61
58,59
58,60
