Short Window,Long Window
68,88
68,89
69,87
69,88
69,89
70,86
70,87
70,88
70,89
71,85
71,86
71,87
71,88
71,89
72,84
72,85
72,86
72,87
72,88
72,89
73,83
73,84
73,85
73,86
73,87
73,88
73,89
74,82
74,83
74,84
74,85
74,86
74,87
74,88
74,89
75,81
75,82
75,83
75,84
75,85
75,86
75,87
75,88
75,89
76,80
76,81
76,82
76,83
76,84
76,85
76,86
76,87
76,88
77,79
77,80
77,81
77,82
77,83
77,84
77,85
77,86
77,87
78,79
78,80
78,81
78,82
78,83
78,84
78,85
78,86
79,80
79,81
79,82
79,83
79,84
79,85
80,81
80,82
80,83
80,84
81,82
81,83
