Short Window,Long Window
23,71
23,72
23,73
23,74
23,75
23,76
23,77
24,61
24,62
24,63
24,64
24,65
24,66
24,67
24,68
24,69
24,70
24,71
24,72
24,73
24,74
24,75
24,76
24,77
24,78
24,79
24,80
24,81
24,82
24,83
24,84
24,85
24,86
24,87
25,56
25,57
25,58
25,59
25,60
25,61
25,62
25,63
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,72
25,73
25,74
25,75
25,76
25,77
25,78
25,79
25,80
25,81
25,82
25,83
25,84
25,85
25,86
25,87
25,88
25,89
26,52
26,53
26,54
26,55
26,56
26,57
26,58
26,59
26,60
26,61
26,62
26,63
26,64
26,65
26,66
26,67
26,68
26,69
26,70
26,71
26,72
26,73
26,74
26,75
26,76
26,77
26,78
26,79
26,80
26,81
26,82
26,83
26,84
26,85
26,86
26,87
26,88
26,89
27,49
27,50
27,51
27,52
27,53
27,54
27,55
27,56
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,74
27,75
27,76
27,77
27,78
27,79
27,80
27,81
27,82
27,83
27,84
27,85
27,86
27,87
27,88
27,89
28,47
28,48
28,49
28,50
28,51
28,52
28,53
28,54
28,55
28,56
28,57
28,58
28,59
28,60
28,61
28,62
28,63
28,64
28,65
28,66
28,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
28,75
28,76
28,77
28,78
28,79
28,80
28,81
28,82
28,83
28,84
28,85
28,86
28,87
28,88
28,89
29,45
29,46
29,47
29,48
29,49
29,50
29,51
29,52
29,53
29,54
29,55
29,56
29,57
29,58
29,59
29,60
29,61
29,62
29,63
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,74
29,75
29,76
29,77
29,78
29,79
29,80
29,81
29,82
29,83
29,84
29,85
29,86
29,87
29,88
29,89
30,43
30,44
30,45
30,46
30,47
30,48
30,49
30,50
30,51
30,52
30,53
30,54
30,55
30,56
30,57
30,58
30,59
30,60
30,61
30,62
30,63
30,64
30,65
30,75
30,76
30,77
30,78
30,79
30,80
30,81
30,82
30,83
30,84
30,85
30,86
30,87
30,88
30,89
31,41
31,42
31,43
31,44
31,45
31,46
31,47
31,48
31,49
31,50
31,51
31,52
31,53
31,54
31,55
31,56
31,57
31,58
31,81
31,82
31,83
31,84
31,85
31,86
31,87
31,88
31,89
32,40
32,41
32,42
32,43
32,44
32,45
32,46
32,47
32,48
32,49
32,50
32,51
32,52
32,53
32,54
32,84
32,85
32,86
32,87
32,88
32,89
33,39
33,40
33,41
33,42
33,43
33,44
33,45
33,46
33,47
33,48
33,49
33,50
33,51
33,87
33,88
33,89
34,37
34,38
34,39
34,40
34,41
34,42
34,43
34,44
34,45
34,46
34,47
34,48
34,49
34,88
34,89
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,89
36,37
36,38
36,39
36,40
36,41
36,42
36,43
36,44
36,45
37,38
37,39
37,40
37,41
37,42
37,43
37,44
38,39
38,40
38,41
38,42
39,40
39,41
48,89
49,88
49,89
50,88
50,89
51,87
51,88
51,89
52,86
52,87
52,88
52,89
53,86
53,87
53,88
53,89
54,85
54,86
54,87
54,88
54,89
55,84
55,85
55,86
55,87
55,88
55,89
56,83
56,84
56,85
56,86
56,87
56,88
56,89
57,83
57,84
57,85
57,86
57,87
57,88
57,89
58,82
58,83
58,84
58,85
58,86
58,87
58,88
58,89
59,81
59,82
59,83
59,84
59,85
59,86
59,87
59,88
60,80
60,81
60,82
60,83
60,84
60,85
60,86
60,87
61,79
61,80
61,81
61,82
61,83
61,84
61,85
61,86
62,78
62,79
62,80
62,81
62,82
62,83
62,84
62,85
63,77
63,78
63,79
63,80
63,81
63,82
63,83
63,84
64,76
64,77
64,78
64,79
64,80
64,81
64,82
64,83
65,75
65,76
65,77
65,78
65,79
65,80
65,81
65,82
66,74
66,75
66,76
66,77
66,78
66,79
66,80
66,81
67,73
67,74
67,75
67,76
67,77
67,78
67,79
67,80
68,72
68,73
68,74
68,75
68,76
68,77
68,78
68,79
69,71
69,72
69,73
69,74
69,75
69,76
69,77
69,78
70,71
70,72
70,73
70,74
70,75
70,76
70,77
71,72
71,73
71,74
71,75
71,76
72,73
72,74
72,75
73,74
