Short Window,Long Window
43,89
44,87
44,88
44,89
45,86
45,87
45,88
45,89
46,84
46,85
46,86
46,87
46,88
47,83
47,84
47,85
47,86
48,81
48,82
48,83
48,84
48,85
49,80
49,81
49,82
49,83
49,84
50,79
50,80
50,81
50,82
51,77
51,78
51,79
51,80
51,81
52,76
52,77
52,78
52,79
53,75
53,76
53,77
53,78
54,74
54,75
54,76
54,77
55,72
55,73
55,74
55,75
55,76
56,71
56,72
56,73
56,74
57,70
57,71
57,72
57,73
58,69
58,70
58,71
58,72
59,68
59,69
59,70
59,71
60,67
60,68
60,69
60,70
61,66
61,67
61,68
61,69
62,65
62,66
62,67
63,64
63,65
63,66
64,65
