Short Window,Long Window
5,47
5,48
5,49
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
7,39
7,40
7,41
7,42
7,43
7,44
7,53
8,38
8,39
8,40
8,41
8,54
8,55
9,37
9,38
9,39
9,55
9,56
9,57
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,33
10,34
10,35
10,36
10,37
10,57
10,58
10,59
10,60
11,20
11,21
11,22
11,23
11,25
11,32
11,33
11,34
11,35
11,61
11,62
12,13
12,14
12,17
12,18
12,19
12,20
12,63
13,14
13,17
13,18
14,18
15,16
15,17
15,18
22,34
23,34
23,35
24,25
24,34
24,35
25,35
26,35
27,28
27,35
29,36
30,35
30,36
31,34
31,35
31,36
31,60
32,33
32,34
32,61
