Short Window,Long Window
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
6,53
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
7,45
7,46
7,47
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
12,24
12,25
12,26
12,27
12,28
12,29
13,22
13,23
13,24
13,25
13,26
13,27
14,21
14,22
14,23
14,24
14,25
15,19
15,20
15,21
15,22
15,23
16,18
16,19
16,20
16,21
16,22
17,18
17,19
17,20
17,21
18,19
