Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Least Max Drawdown [%],HUM,false,51,76,48,35.41666666666667,1.3431998438351185,4.417448923246825,145.52245484560763,56.79250992597176,0.09276642738818333,1,13.499598240785247,0.5382385789943108,0,0,10866,10867 days 00:00:00,1000.0,7985.077832589165,698.5077832589166,2546.925647769143,100.0,519.0717652998062,58.5599544731082,2326 days 00:00:00,48,0,0.0,153.54567586626183,-47.02181710174623,45.13476470183812,-10.102745362442164,275 days 19:45:52.941176468,60 days 08:30:58.064516129,0.3791079627665734,0.12341843476935892,1.0780186891415409,-0.7257447291911561,136 days 16:00:00,0
Mean Total Trades,HUM,false,31,50,83,40.243902439024396,1.3091961439674744,7.546475243879993,86.24466239804156,52.58820877929364,0.16040861402540033,1,13.834386762358404,0.5220132734665783,0,0,10866,10867 days 00:00:00,1000.0,6846.32443005332,584.632443005332,2546.925647769143,100.0,869.7987858347741,67.16414583800491,3286 days 00:00:00,82,1,-1225.7378865860937,135.50070484481282,-36.449046823738406,25.693462199257716,-8.975314261604753,155 days 05:49:05.454545456,29 days 16:09:47.755102041,0.36183669262742635,0.09937838310332879,1.0736116947561853,-0.7704556300976385,80 days 04:58:32.195121952,0
Mean Best Trade [%],HUM,false,65,86,40,45.0,1.263949860391988,3.681207436039021,108.05301354106086,44.65000559547969,0.07730535615681944,1,8.353076695609344,0.47915371245027494,0,0,10866,10867 days 00:00:00,1000.0,5322.120541642438,432.21205416424385,2546.925647769143,100.0,357.0033386215484,68.17640219390051,2432 days 00:00:00,40,0,0.0,137.78896669835333,-35.054545454545426,36.95586785280626,-12.711983451415035,279 days 12:00:00,72 days 18:32:43.636363636,0.336808527986072,0.08472332606003881,1.0678423793982788,-0.8303004822528607,165 days 19:12:00,0
Mean Expectancy,HUM,false,26,46,95,41.48936170212766,1.2119917732868122,8.650837474691699,63.97452236326552,40.21609239470269,0.18360022087244615,1,11.745736436104796,0.5038388087785214,0,0,10866,10867 days 00:00:00,1000.0,6055.474120543909,505.54741205439086,2546.925647769143,100.0,1049.8536614530055,63.51939029814358,3286 days 00:00:00,94,1,-958.1309816030598,138.1100281609336,-36.653985012651326,22.749033064597022,-8.914872921223454,132 days 11:04:36.923076922,24 days 20:56:43.636363636,0.3495800589793819,0.09817098947729772,1.070848288029257,-0.801506803900145,69 days 12:15:19.148936170,0
Median Max Drawdown [%],HUM,false,26,60,85,40.476190476190474,1.2418652311045804,7.730535615681944,61.90359423717456,37.96396471976795,0.16427388183324132,1,10.169143724770532,0.4866544488482643,0,0,10866,10867 days 00:00:00,1000.0,5417.152526855563,441.7152526855563,2546.925647769143,100.0,776.6952392976253,69.3336557154303,3311 days 00:00:00,84,1,-782.7493890670976,141.1478700704758,-35.98305479562148,25.656720078182126,-9.435463022422292,159 days 04:56:28.235294118,23 days 18:43:12,0.337883820261552,0.08421637951525432,1.068462087722869,-0.8265692392424351,78 days 14:17:08.571428571,0
Median Total Trades,HUM,false,25,88,71,35.2112676056338,1.2455441682023403,6.534143198969262,69.79142954357172,37.234010639976376,0.1372170071783545,1,9.576571088667903,0.49442660102344055,0,0,10866,10867 days 00:00:00,1000.0,5955.191497593593,495.5191497593593,2546.925647769143,100.0,582.5001241513557,68.07582936825722,3311 days 00:00:00,71,0,0.0,152.71572906687356,-37.75797551815214,33.643620700229725,-9.338417105912546,211 days 23:02:24,27 days 02:36:31.304347826,0.3487303625385995,0.09072516647703746,1.0716435585955166,-0.8054442028202177,92 days 04:43:56.619718309,0
Median Profit Factor,HUM,false,54,61,55,36.36363636363637,1.2144293202931757,5.061660224553654,79.12935277252893,36.33119962007757,0.10629486471562673,1,8.411043847991065,0.4769772915497898,0,0,10866,10867 days 00:00:00,1000.0,5352.114402489093,435.2114402489093,2546.925647769143,100.0,471.0499244304785,65.86641455572756,2092 days 00:00:00,55,0,0.0,145.34172535195472,-52.46051346154318,38.51585386980996,-10.582495010340072,242 days 16:48:00,48 days 02:44:34.285714285,0.3378005026562138,0.08799780249277812,1.0696324718485704,-0.8291228326079673,118 days 20:56:43.636363635,0
Median Expectancy,HUM,false,25,53,90,40.44943820224719,1.1844871644587005,8.190686545186821,55.0402353305351,33.73252420666093,0.17393705135284374,1,9.573536239159887,0.4766972433327695,0,0,10866,10867 days 00:00:00,1000.0,5092.773792741822,409.2773792741822,2546.925647769143,100.0,914.204004089779,64.85172638885318,3273 days 00:00:00,89,1,-805.8071516758091,137.3387546111085,-33.13220289845677,24.475319357959535,-9.404868948679663,146 days 01:19:59.999999998,24 days 19:55:28.301886792,0.3316705712360054,0.08665535327579806,1.067067080191968,-0.8393053289040184,73 days 20:45:50.561797751,0
Median Worst Trade [%],HUM,false,30,71,68,38.23529411764706,1.2461105549616889,6.258052641266335,57.43617382036484,33.274075742635596,0.13141910546659305,1,7.548210584896098,0.46596967377477955,0,0,10866,10867 days 00:00:00,1000.0,4905.659819784809,390.56598197848086,2546.925647769143,100.0,441.00667136890246,80.51180869916004,3626 days 00:00:00,68,0,0.0,154.90646242219682,-42.9418402544533,32.48107789370896,-10.939556680195325,202 days 10:09:13.846153848,30 days 18:17:08.571428571,0.3286442035805595,0.06815195582230561,1.0674093543497187,-0.8466519891067184,96 days 09:31:45.882352940,0
Median Sharpe Ratio,HUM,false,81,87,38,39.473684210526315,1.4095562653998608,3.4971470642370694,96.01226686794897,33.06207536775103,0.07344008834897846,1,7.0511493613678695,0.4609592997232412,0,0,10866,10867 days 00:00:00,1000.0,4648.466140982061,364.8466140982061,2546.925647769143,100.0,223.42302766977667,65.40771143819651,5475 days 00:00:00,38,0,0.0,124.70455407147274,-41.68181818181818,42.965341545018745,-12.325221224844968,315 days 04:48:00,87 days 11:28:41.739130435,0.3226166779401286,0.08097525467570851,1.0645736244384836,-0.856750190403958,177 days 08:50:31.578947369,0
