Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Most Profit Factor,INGR,true,38,66,false,52,63.46153846153846,4.1453398110607,0.007570243121269472,4.723735421183212,2.7599353022643487,0.15897510554665892,0.31795021109331784,0.7509563371570925,0.8368046254636605,0,0,6869,6870 days 00:00:00,1000.0,8272.559107666191,727.2559107666191,840.7586459455878,100.0,351.8201391966333,41.858625069176185,1675 days 00:00:00,52,0,0.0,40.061885822571305,-15.569228126699302,10.3565468374147,-5.05956861753463,94 days 21:49:05.454545454,51 days 00:00:00,139.85690591665752,0.5616248151767593,0.2838206914974848,1.1180626228395902,0.598246615868886,19.063651072695205,1.0509894281770351,0.44540290342941297,-0.019051316285954766,None,None,0.00039964562237879885,0.10071069683945731,7.272559107666208,0.0805880308561222,0.2158119426579557,-0.13500037820165856,9949.146825396825,0.7336293596550763,78 days 20:46:09.230769230
Most Total Return [%],INGR,true,40,63,false,52,61.53846153846154,3.4066524799203073,0.007570243121269472,4.835421386104123,2.825190023341735,0.15897510554665892,0.31795021109331784,0.7687116252184747,0.8423602992924009,0,0,6869,6870 days 00:00:00,1000.0,8355.64279691269,735.5642796912691,840.7586459455878,100.0,364.54028294850104,41.66220412148834,1670 days 00:00:00,52,0,0.0,40.84418604651165,-18.568367122764172,11.457606071972219,-5.76007411128483,102 days 01:30:00,41 days 10:48:00,141.45466917139788,0.5643428821733356,0.2865849508205643,1.1187507383305222,0.6265576627521613,19.085891120817998,1.0525681343119158,0.4441875131385327,-0.01905131628595475,None,None,0.0004006531570139471,0.10096459556751466,7.355642796912724,0.08098420638855308,0.2153139756220115,-0.12511838773422096,9949.146825396825,0.5975751083964652,78 days 18:00:00
Most Expectancy,INGR,true,40,63,false,52,61.53846153846154,3.4066524799203073,0.007570243121269472,4.835421386104123,2.825190023341735,0.15897510554665892,0.31795021109331784,0.7687116252184747,0.8423602992924009,0,0,6869,6870 days 00:00:00,1000.0,8355.64279691269,735.5642796912691,840.7586459455878,100.0,364.54028294850104,41.66220412148834,1670 days 00:00:00,52,0,0.0,40.84418604651165,-18.568367122764172,11.457606071972219,-5.76007411128483,102 days 01:30:00,41 days 10:48:00,141.45466917139788,0.5643428821733356,0.2865849508205643,1.1187507383305222,0.6265576627521613,19.085891120817998,1.0525681343119158,0.4441875131385327,-0.01905131628595475,None,None,0.0004006531570139471,0.10096459556751466,7.355642796912724,0.08098420638855308,0.2153139756220115,-0.12511838773422096,9949.146825396825,0.5975751083964652,78 days 18:00:00
Most Sharpe Ratio,INGR,true,40,63,false,52,61.53846153846154,3.4066524799203073,0.007570243121269472,4.835421386104123,2.825190023341735,0.15897510554665892,0.31795021109331784,0.7687116252184747,0.8423602992924009,0,0,6869,6870 days 00:00:00,1000.0,8355.64279691269,735.5642796912691,840.7586459455878,100.0,364.54028294850104,41.66220412148834,1670 days 00:00:00,52,0,0.0,40.84418604651165,-18.568367122764172,11.457606071972219,-5.76007411128483,102 days 01:30:00,41 days 10:48:00,141.45466917139788,0.5643428821733356,0.2865849508205643,1.1187507383305222,0.6265576627521613,19.085891120817998,1.0525681343119158,0.4441875131385327,-0.01905131628595475,None,None,0.0004006531570139471,0.10096459556751466,7.355642796912724,0.08098420638855308,0.2153139756220115,-0.12511838773422096,9949.146825396825,0.5975751083964652,78 days 18:00:00
Most Omega Ratio,INGR,true,40,63,false,52,61.53846153846154,3.4066524799203073,0.007570243121269472,4.835421386104123,2.825190023341735,0.15897510554665892,0.31795021109331784,0.7687116252184747,0.8423602992924009,0,0,6869,6870 days 00:00:00,1000.0,8355.64279691269,735.5642796912691,840.7586459455878,100.0,364.54028294850104,41.66220412148834,1670 days 00:00:00,52,0,0.0,40.84418604651165,-18.568367122764172,11.457606071972219,-5.76007411128483,102 days 01:30:00,41 days 10:48:00,141.45466917139788,0.5643428821733356,0.2865849508205643,1.1187507383305222,0.6265576627521613,19.085891120817998,1.0525681343119158,0.4441875131385327,-0.01905131628595475,None,None,0.0004006531570139471,0.10096459556751466,7.355642796912724,0.08098420638855308,0.2153139756220115,-0.12511838773422096,9949.146825396825,0.5975751083964652,78 days 18:00:00
Most Sortino Ratio,INGR,true,40,63,false,52,61.53846153846154,3.4066524799203073,0.007570243121269472,4.835421386104123,2.825190023341735,0.15897510554665892,0.31795021109331784,0.7687116252184747,0.8423602992924009,0,0,6869,6870 days 00:00:00,1000.0,8355.64279691269,735.5642796912691,840.7586459455878,100.0,364.54028294850104,41.66220412148834,1670 days 00:00:00,52,0,0.0,40.84418604651165,-18.568367122764172,11.457606071972219,-5.76007411128483,102 days 01:30:00,41 days 10:48:00,141.45466917139788,0.5643428821733356,0.2865849508205643,1.1187507383305222,0.6265576627521613,19.085891120817998,1.0525681343119158,0.4441875131385327,-0.01905131628595475,None,None,0.0004006531570139471,0.10096459556751466,7.355642796912724,0.08098420638855308,0.2153139756220115,-0.12511838773422096,9949.146825396825,0.5975751083964652,78 days 18:00:00
Least Max Drawdown [%],INGR,true,37,63,false,54,64.81481481481481,2.5143779947819533,0.007861406318241374,4.588954112083358,2.784309236544959,0.16508953268306886,0.3301790653661377,0.7575882898678887,0.8225065667039478,0,0,6869,6870 days 00:00:00,1000.0,7871.643550291367,687.1643550291368,840.7586459455878,100.0,416.46800162856727,33.501765646684326,1645 days 00:00:00,54,0,0.0,41.773486008755015,-18.228591162304333,10.552498150974717,-6.396521749032303,92 days 21:15:25.714285714,44 days 08:50:31.578947368,127.25265833872906,0.5522617912347769,0.3458159655623198,1.1162219765134564,0.610672229257894,19.156187589042368,1.0496921898338463,0.44449116904962155,-0.018939753052754135,None,None,0.00039189480589008605,0.09875749108430168,6.871643550291331,0.07862076102412097,0.21521434363994033,-0.18268535406341962,9949.146825396825,0.4530795545857074,75 days 19:33:20
Mean Best Trade [%],INGR,true,40,62,false,53,58.490566037735846,2.80997117229772,0.007715824719755423,4.705958695246387,2.687137954552183,0.1620323191148639,0.3240646382297278,0.7625174010495313,0.8306214748455338,0,0,6869,6870 days 00:00:00,1000.0,8104.19670321426,710.419670321426,840.7586459455878,100.0,400.87030492711335,36.24781429800115,855 days 00:00:00,53,0,0.0,40.84418604651162,-18.568367122764183,11.857622239496127,-5.37138538983279,101 days 07:44:30.967741936,43 days 13:05:27.272727273,134.0414472304577,0.5577766918007863,0.3243833596750362,1.1173479768624464,0.6029694643893185,19.000225514845557,1.0477444219092402,0.4460113660282046,-0.019051316285954786,None,None,0.00039642319524454993,0.09989864520162658,7.104196703214242,0.07977332145182126,0.21554869516444966,-0.15502543595917664,9949.146825396825,0.4518491188233267,77 days 08:09:03.396226415
Most Calmar Ratio,INGR,true,37,62,false,55,60.0,2.6595326020670567,0.008006987916727326,4.595726887083574,2.7934976473339086,0.16814674625127385,0.3362934925025477,0.7727565227225983,0.8362427828971799,0,0,6869,6870 days 00:00:00,1000.0,8240.691576560806,724.0691576560807,840.7586459455878,100.0,442.09028361326136,33.606619363805315,1301 days 00:00:00,55,0,0.0,41.77348600875501,-18.228591162304344,11.12527843651439,-5.198600437062651,97 days 22:32:43.636363636,39 days 12:00:00,131.64893775565102,0.5607754782726784,0.3528294194256017,1.1180325539624958,0.6144703630297068,18.962578332806192,1.0525455267110326,0.44540290342941297,-0.01897496674891085,None,None,0.00039909298454951443,0.10057143210647763,7.24069157656081,0.08043505616207436,0.21583992518529468,-0.13879070866796528,9949.146825396825,0.4508120946152156,74 days 13:31:38.181818181
Median Total Fees Paid,INGR,true,36,68,false,51,62.745098039215684,2.706023857879972,0.00742466152278352,4.192699499679577,2.4025581402658247,0.15591789197845393,0.31183578395690786,0.6537168676891582,0.7277145142472432,0,0,6869,6870 days 00:00:00,1000.0,5920.073599576808,492.0073599576808,840.7586459455878,100.0,296.1877269354524,40.323962985895946,1673 days 00:00:00,51,0,0.0,41.77348600875501,-17.723845190740235,10.159551434083019,-5.85673533721043,108 days 19:30:00,34 days 00:00:00,96.47203136425111,0.49275338015723347,0.2457356176659407,1.1028086036969253,0.5289800278482981,19.121634880054025,1.039553949418116,0.44845034788108795,-0.019166792303294145,None,None,0.0003513830242811199,0.08854852211884222,4.920073599576802,0.06740664612737746,0.21627079013073527,-0.4148054708324432,9949.146825396825,0.2180116971805065,80 days 22:35:17.647058823
