Metric Type,Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
Most Total Return [%],2,14,0,4969,4970 days 00:00:00,1000.0,4684.898455524227,368.4898455524227,-88.37837786287875,100.0,2506.960684643084,87.58339646448997,2480 days 00:00:00,276,276,0,0.0,27.173913043478258,89.73554131900596,-14.752357922236486,15.551601629641649,-4.138040346400362,21 days 03:31:12,4 days 01:25:58.208955223,1.0949663949709307,13.351081360595032,0.4755283896738667,0.13712602319089928,1.1068993060857724,0.7439227233736067,0
Most Total Fees Paid,2,14,0,4969,4970 days 00:00:00,1000.0,4684.898455524227,368.4898455524227,-88.37837786287875,100.0,2506.960684643084,87.58339646448997,2480 days 00:00:00,276,276,0,0.0,27.173913043478258,89.73554131900596,-14.752357922236486,15.551601629641649,-4.138040346400362,21 days 03:31:12,4 days 01:25:58.208955223,1.0949663949709307,13.351081360595032,0.4755283896738667,0.13712602319089928,1.1068993060857724,0.7439227233736067,0
Most Sharpe Ratio,2,14,0,4969,4970 days 00:00:00,1000.0,4684.898455524227,368.4898455524227,-88.37837786287875,100.0,2506.960684643084,87.58339646448997,2480 days 00:00:00,276,276,0,0.0,27.173913043478258,89.73554131900596,-14.752357922236486,15.551601629641649,-4.138040346400362,21 days 03:31:12,4 days 01:25:58.208955223,1.0949663949709307,13.351081360595032,0.4755283896738667,0.13712602319089928,1.1068993060857724,0.7439227233736067,0
Most Omega Ratio,2,14,0,4969,4970 days 00:00:00,1000.0,4684.898455524227,368.4898455524227,-88.37837786287875,100.0,2506.960684643084,87.58339646448997,2480 days 00:00:00,276,276,0,0.0,27.173913043478258,89.73554131900596,-14.752357922236486,15.551601629641649,-4.138040346400362,21 days 03:31:12,4 days 01:25:58.208955223,1.0949663949709307,13.351081360595032,0.4755283896738667,0.13712602319089928,1.1068993060857724,0.7439227233736067,0
Most Sortino Ratio,2,14,0,4969,4970 days 00:00:00,1000.0,4684.898455524227,368.4898455524227,-88.37837786287875,100.0,2506.960684643084,87.58339646448997,2480 days 00:00:00,276,276,0,0.0,27.173913043478258,89.73554131900596,-14.752357922236486,15.551601629641649,-4.138040346400362,21 days 03:31:12,4 days 01:25:58.208955223,1.0949663949709307,13.351081360595032,0.4755283896738667,0.13712602319089928,1.1068993060857724,0.7439227233736067,0
Most Profit Factor,6,13,0,4969,4970 days 00:00:00,1000.0,4479.487669177365,347.9487669177365,-88.37837786287875,100.0,1419.6772855539357,85.85317930600574,1922 days 00:00:00,164,164,0,0.0,34.756097560975604,86.80968931597093,-22.308168042936032,16.928057980699254,-6.086191330985942,29 days 05:03:09.473684210,7 days 00:00:00,1.1068567097302182,21.216388226691237,0.4703708913063617,0.13560066641269233,1.1060959204732945,0.727758736034479,0
Most Expectancy,6,13,0,4969,4970 days 00:00:00,1000.0,4479.487669177365,347.9487669177365,-88.37837786287875,100.0,1419.6772855539357,85.85317930600574,1922 days 00:00:00,164,164,0,0.0,34.756097560975604,86.80968931597093,-22.308168042936032,16.928057980699254,-6.086191330985942,29 days 05:03:09.473684210,7 days 00:00:00,1.1068567097302182,21.216388226691237,0.4703708913063617,0.13560066641269233,1.1060959204732945,0.727758736034479,0
Most Calmar Ratio,2,15,0,4969,4970 days 00:00:00,1000.0,4439.502501459962,343.9502501459963,-88.37837786287875,100.0,2402.536988082623,83.86610960149437,1854 days 00:00:00,265,265,0,0.0,26.41509433962264,80.1928904851804,-14.752357922236476,15.830684402034024,-4.076902108099658,22 days 01:01:42.857142857,4 days 07:15:41.538461538,1.0903104369817678,12.97925472249048,0.4678310792633178,0.13793720760307848,1.1060380914527481,0.7317024656520928,0
Mean Max Drawdown [%],5,14,0,4969,4970 days 00:00:00,1000.0,3627.2184991990302,262.72184991990304,-88.37837786287875,100.0,1395.460741929559,86.89026218244486,1995 days 00:00:00,174,174,0,0.0,33.33333333333333,86.80968931597096,-22.308168042936053,16.816381081925584,-5.8806104979090685,28 days 12:24:49.655172414,6 days 12:24:49.655172413,1.0865214177305031,15.098956891948518,0.44176713800571776,0.11422156561058167,1.0993393638502036,0.6832615318114422,0
Least Best Trade [%],3,7,0,4969,4970 days 00:00:00,1000.0,3389.1774868726307,238.91774868726307,-88.37837786287875,100.0,1958.5821416337963,81.96484945314897,1774 days 00:00:00,321,320,1,-3.389177486872086,29.375,63.64141344686386,-23.1599027415454,14.076556504875489,-4.463011985529615,16 days 12:00:00,3 days 21:46:11.681415929,1.074519188471396,7.47677082612347,0.43513279015448997,0.11441640404468835,1.0970217794808836,0.6712674211735952,1
Least Avg Losing Trade Duration,10,12,0,4969,4970 days 00:00:00,1000.0,2422.9098710462195,142.29098710462193,-88.37837786287875,100.0,807.4105483096354,84.15840084954361,2520 days 00:00:00,132,132,0,0.0,32.57575757575758,75.48182649297175,-19.126154569562836,19.303414280020235,-6.715196633819789,35 days 07:48:50.232558139,10 days 00:16:10.786516853,1.0734520797816614,10.779620235198593,0.3877618904099547,0.07979149471391664,1.086501995298746,0.5926012308732375,0
Least Max Drawdown [%],2,4,0,4969,4970 days 00:00:00,1000.0,2287.789694004244,128.77896940042442,-88.37837786287875,100.0,2328.822341858622,73.27277461899064,1559 days 00:00:00,508,507,1,29.667001906404494,30.57199211045365,77.98260001233558,-22.400001306886963,10.327789639817087,-3.735011088903812,9 days 12:51:05.806451612,2 days 17:06:49.090909090,1.0394076010294215,2.4815043236643746,0.38333886774838766,0.08552080338368478,1.0843973179117685,0.5870082146882669,0
Least Avg Winning Trade Duration,2,5,0,4969,4970 days 00:00:00,1000.0,2043.6929495137624,104.36929495137623,-88.37837786287875,100.0,1496.7110694587332,76.04110124322449,1555 days 00:00:00,458,457,1,26.50166787105809,30.196936542669583,69.55265021286971,-22.400001306886942,10.89534755904929,-3.8642499946763644,10 days 19:28:41.739130434,2 days 23:05:49.843260188,1.0480600759751806,2.22580149155948,0.3683297047638656,0.07087544413548814,1.0809343237044184,0.5618274135602538,0
Median Max Drawdown [%],2,21,0,4969,4970 days 00:00:00,1000.0,1842.100333714969,84.2100333714969,-88.37837786287875,100.0,1083.6813354893898,87.16458241507019,2520 days 00:00:00,220,220,0,0.0,25.454545454545453,77.63620268387649,-14.752357922236476,16.824717033589152,-4.477771985154729,28 days 00:51:25.714285714,4 days 18:52:40.975609756,1.0458056914325027,3.8277287896134595,0.3471041759958065,0.05264412533195362,1.0779489644574338,0.5341467005835874,0
