Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Mean Avg Losing Trade [%],MNST,true,86,104,false,66,51.515151515151516,2.8245244203235575,0.006663974151857835,25.08565603946884,15.710302179811027,0.13994345718901455,0.2798869143780291,3.5105734320177517,1.0456569785819627,0,0,9904,9905 days 00:00:00,1000.0,326041.88809039496,32504.188809039493,72448.536887468,100.0,11994.01222218589,77.12676369935181,2408 days 00:00:00,66,0,0.0,809.4690920369468,-30.629806866448927,58.45165856054359,-10.36572163917308,121 days 00:00:00,52 days 03:00:00,4924.877092278712,0.6588803304608147,0.30818994921451526,1.1767079884038996,1.6591377016979438,31.227727504795272,1.154151285750794,0.3383326577489528,-0.03270772486732863,None,None,0.0009801544679675699,0.2469989259278276,325.04188809039454,0.15862244664970948,0.45116425491250434,2.8245244203235575,-0.5513478918210976,14345.079365079364,1.1317864741915082,2.8229567215811318,87 days 14:32:43.636363636
Most Avg Losing Trade [%],MNST,true,99,101,false,181,50.27624309392266,1.7618317243781374,0.018275444264943458,8.469134679414458,6.980266785859213,0.38378432956381264,0.7675686591276253,3.250321174924713,1.0174994413434462,0,0,9904,9905 days 00:00:00,1000.0,242368.95481347063,24136.895481347063,72448.536887468,100.0,32400.28708082049,73.30669992597576,2441 days 00:00:00,181,0,0.0,724.941525002619,-43.014806789390704,22.90986128645428,-6.132044445481366,41 days 09:13:50.769230769,22 days 17:36:00,1333.530137090998,0.6402848408949944,0.3058990365820506,1.1689113857939446,1.5691112572958636,26.896693122325026,1.2127047976172411,0.3392374256354786,-0.03283446421168453,None,None,0.0009404783997650085,0.23700055674078216,241.3689548134697,0.14991341087993404,0.44547394530054124,1.7618317243781374,-0.6668408153108994,14345.079365079364,1.8742685554817917,2.769257922382715,32 days 02:39:06.961325966
Median Avg Losing Trade [%],MNST,true,85,105,false,62,53.2258064516129,2.742896722584786,0.006260096930533118,27.459688004628298,16.691282080544003,0.13146203554119548,0.26292407108239096,3.6099064804145846,1.0482996242994267,0,0,9904,9905 days 00:00:00,1000.0,335815.2366335018,33481.52366335018,72448.536887468,100.0,12550.505396876082,76.52159312165097,2441 days 00:00:00,62,0,0.0,865.6924617664458,-33.50141846496671,60.89475653300283,-10.587114113866845,127 days 04:21:49.090909092,54 days 22:20:41.379310345,5400.245752153251,0.6611374102569233,0.312388618038086,1.176998037548974,1.6495416896171629,31.301597924360546,1.1503119245257913,0.3401434176701394,-0.0326774339466846,None,None,0.0009820456353836536,0.2474755001166807,334.8152366335017,0.15949339396163098,0.4504915405984977,2.742896722584786,-0.537857835343784,14345.079365079364,1.096953899725359,2.752172667804073,93 days 09:17:25.161290323
Most Best Trade [%],MNST,true,82,108,false,56,53.57142857142857,2.95244423128588,0.005654281098546042,31.374905253477166,17.337394687867285,0.11873990306946688,0.23747980613893377,3.725453208611586,1.0147182013683123,0,0,9904,9905 days 00:00:00,1000.0,253981.6847490194,25298.16847490194,72448.536887468,100.0,8191.796493722318,72.63895562731815,3006 days 00:00:00,56,0,0.0,989.9715370146491,-30.170002743842396,68.83204290333126,-11.844868957892933,133 days 08:00:00,69 days 00:55:23.076923076,4517.530084803919,0.645056294735844,0.3116202110980706,1.1710876609824181,1.405679631012316,27.199930440558283,1.1399639508333448,0.3414138678223185,-0.032464153925149876,None,None,0.0009422472835195785,0.2374463154469338,252.98168474901738,0.15128342416553164,0.4430104584787378,2.95244423128588,-0.6508118788624154,14345.079365079364,1.0425251606375812,2.7429449490523092,103 days 11:34:17.142857142
Median Sharpe Ratio,MNST,true,110,116,false,98,56.12244897959183,2.2852410990166594,0.009894991922455574,14.42320173360914,13.269924646177696,0.20779483037156707,0.41558966074313414,2.9970667576502033,0.9449846705474861,0,0,9904,9905 days 00:00:00,1000.0,139639.0355934935,13863.90355934935,72448.536887468,100.0,8365.187404656288,82.84248775557606,4419 days 00:00:00,98,0,0.0,671.9762871232015,-41.23028386633606,33.19107686857084,-9.582219950644188,76 days 03:03:16.363636363,40 days 06:08:22.325581395,1414.6840366683007,0.5988662415562747,0.24096319865594173,1.1567762545617386,2.1284626467266152,47.12892286264515,1.1384925897826257,0.35480782382710985,-0.03356090280212419,None,None,0.0009052219040762721,0.22811591982722057,138.63903559349333,0.13389440461095337,0.4584288326146724,2.2852410990166594,-0.8086379083005678,14345.079365079364,1.3791311552873515,2.7401171938354896,60 days 09:18:22.040816325
Least Avg Winning Trade Duration,MNST,true,89,100,false,77,51.94805194805194,2.531374405628491,0.007774636510500808,21.23026710646261,15.64211980582988,0.16326736672051698,0.32653473344103395,3.46620980524536,1.0223543085727929,0,0,9904,9905 days 00:00:00,1000.0,274858.1954029561,27385.819540295608,72448.536887468,100.0,12546.251130648041,73.35581929163406,2398 days 00:00:00,77,0,0.0,783.5452358559771,-33.50117610939373,50.798235159602456,-10.735103761796681,100 days 01:48:00,48 days 01:17:50.270270270,3556.5999402981297,0.6479318027612633,0.313448447463897,1.172473871422296,1.5525859369762929,30.216544671060948,1.1532913380111633,0.3386944181646168,-0.03279332277786763,None,None,0.0009623697291362496,0.2425171717423349,273.8581954029582,0.15359950785404863,0.4504632433966935,2.531374405628491,-0.6219962373728385,14345.079365079364,1.2224691108667407,2.6942329408450125,75 days 01:52:12.467532466
Most Total Return [%],MNST,true,82,101,false,67,52.23880597014925,2.312111699018185,0.006764943457189015,28.215287186042215,18.189999106860885,0.1420638126009693,0.2841276252019386,4.008371271280432,1.1835070745553644,0,0,9904,9905 days 00:00:00,1000.0,928459.401780073,92745.9401780073,72448.536887468,100.0,40800.6956864528,70.28677996018551,1899 days 00:00:00,67,0,0.0,902.0512323233713,-31.494088173202684,63.14355565750699,-9.987506454622377,108 days 07:32:34.285714286,61 days 21:00:00,13842.677638508549,0.7269772923712149,0.4074155808270908,1.1988657842895525,2.18657542904443,36.65235915498542,1.16878671443283,0.33959967541249664,-0.032310548050448466,None,None,0.0010846702505133204,0.27333690312935677,927.4594017800772,0.18988481526670054,0.4525052120466826,2.312111699018185,0.2801630531485626,14345.079365079364,1.1403283800830744,2.672224916641702,86 days 03:13:25.970149254
Most Total Fees Paid,MNST,true,82,101,false,67,52.23880597014925,2.312111699018185,0.006764943457189015,28.215287186042215,18.189999106860885,0.1420638126009693,0.2841276252019386,4.008371271280432,1.1835070745553644,0,0,9904,9905 days 00:00:00,1000.0,928459.401780073,92745.9401780073,72448.536887468,100.0,40800.6956864528,70.28677996018551,1899 days 00:00:00,67,0,0.0,902.0512323233713,-31.494088173202684,63.14355565750699,-9.987506454622377,108 days 07:32:34.285714286,61 days 21:00:00,13842.677638508549,0.7269772923712149,0.4074155808270908,1.1988657842895525,2.18657542904443,36.65235915498542,1.16878671443283,0.33959967541249664,-0.032310548050448466,None,None,0.0010846702505133204,0.27333690312935677,927.4594017800772,0.18988481526670054,0.4525052120466826,2.312111699018185,0.2801630531485626,14345.079365079364,1.1403283800830744,2.672224916641702,86 days 03:13:25.970149254
Most Expectancy,MNST,true,82,101,false,67,52.23880597014925,2.312111699018185,0.006764943457189015,28.215287186042215,18.189999106860885,0.1420638126009693,0.2841276252019386,4.008371271280432,1.1835070745553644,0,0,9904,9905 days 00:00:00,1000.0,928459.401780073,92745.9401780073,72448.536887468,100.0,40800.6956864528,70.28677996018551,1899 days 00:00:00,67,0,0.0,902.0512323233713,-31.494088173202684,63.14355565750699,-9.987506454622377,108 days 07:32:34.285714286,61 days 21:00:00,13842.677638508549,0.7269772923712149,0.4074155808270908,1.1988657842895525,2.18657542904443,36.65235915498542,1.16878671443283,0.33959967541249664,-0.032310548050448466,None,None,0.0010846702505133204,0.27333690312935677,927.4594017800772,0.18988481526670054,0.4525052120466826,2.312111699018185,0.2801630531485626,14345.079365079364,1.1403283800830744,2.672224916641702,86 days 03:13:25.970149254
Most Sharpe Ratio,MNST,true,82,101,false,67,52.23880597014925,2.312111699018185,0.006764943457189015,28.215287186042215,18.189999106860885,0.1420638126009693,0.2841276252019386,4.008371271280432,1.1835070745553644,0,0,9904,9905 days 00:00:00,1000.0,928459.401780073,92745.9401780073,72448.536887468,100.0,40800.6956864528,70.28677996018551,1899 days 00:00:00,67,0,0.0,902.0512323233713,-31.494088173202684,63.14355565750699,-9.987506454622377,108 days 07:32:34.285714286,61 days 21:00:00,13842.677638508549,0.7269772923712149,0.4074155808270908,1.1988657842895525,2.18657542904443,36.65235915498542,1.16878671443283,0.33959967541249664,-0.032310548050448466,None,None,0.0010846702505133204,0.27333690312935677,927.4594017800772,0.18988481526670054,0.4525052120466826,2.312111699018185,0.2801630531485626,14345.079365079364,1.1403283800830744,2.672224916641702,86 days 03:13:25.970149254
