Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Most Win Rate [%],BTC-USD,SMA,73,79,false,39,66.66666666666666,4.509369380254942,0.010119356512714063,55.91964282691606,24.50411314887333,0.3035806953814219,0.6071613907628438,16.976124054875918,2.0153931549968362,0,0,3854,3855 days 00:00:00,1000.0,511977.2609769196,51097.726097691964,16849.363178946536,100.0,10223.207674241141,64.3271929581157,1173 days 00:00:00,39,0,0.0,1647.6451727194394,-35.6609972912274,88.27753309663818,-8.796137712528118,75 days 02:46:09.230769231,25 days 16:36:55.384615384,13101.981050690247,1.3308726058992713,1.251677698355889,1.3185144373647577,-0.01537169175467686,15.858632364763379,1.1537001326941636,0.47418738049713194,-0.039772179238708585,None,None,0.002059757632678991,0.5190589234351057,510.977260976921,0.5034976987350854,0.46938189897617627,2.0326206133142843,3854,25.045597273490458,58 days 15:23:04.615384614
Most Profit Factor,BTC-USD,SMA,73,79,false,39,66.66666666666666,4.509369380254942,0.010119356512714063,55.91964282691606,24.50411314887333,0.3035806953814219,0.6071613907628438,16.976124054875918,2.0153931549968362,0,0,3854,3855 days 00:00:00,1000.0,511977.2609769196,51097.726097691964,16849.363178946536,100.0,10223.207674241141,64.3271929581157,1173 days 00:00:00,39,0,0.0,1647.6451727194394,-35.6609972912274,88.27753309663818,-8.796137712528118,75 days 02:46:09.230769231,25 days 16:36:55.384615384,13101.981050690247,1.3308726058992713,1.251677698355889,1.3185144373647577,-0.01537169175467686,15.858632364763379,1.1537001326941636,0.47418738049713194,-0.039772179238708585,None,None,0.002059757632678991,0.5190589234351057,510.977260976921,0.5034976987350854,0.46938189897617627,2.0326206133142843,3854,25.045597273490458,58 days 15:23:04.615384614
Least Total Trades,BTC-USD,SMA,68,77,false,34,55.88235294117647,3.570266715353474,0.008822003113648157,56.83788150076248,19.891688128835646,0.26466009340944474,0.5293201868188895,15.042719027186749,1.743119039318574,0,0,3854,3855 days 00:00:00,1000.0,209051.31814848777,20805.131814848777,16849.363178946536,100.0,3904.2227035069545,64.3271929581157,1281 days 00:00:00,34,0,0.0,1485.8748675580225,-28.665811966434003,109.92091799929165,-10.400631397374466,100 days 20:12:37.894736842,25 days 16:00:00,6119.156416131995,1.1742033833444123,1.0235021396325394,1.2751594353955948,-0.16722153563073003,15.826648971597157,1.1173020776376197,0.4764458062045193,-0.04096924665920958,None,None,0.0018393887143298205,0.4635259560111148,208.0513181484895,0.4179931086337825,0.47509109778166836,0.23477259015017357,3854,8.799666489539675,67 days 16:14:07.058823529
Most Expectancy,BTC-USD,SMA,12,43,false,43,51.162790697674424,3.272943242383266,0.011157239231966787,26.42998116863,10.710252085280162,0.3347171769590036,0.6694343539180072,8.846568683843461,2.3251773975073906,0,0,3854,3855 days 00:00:00,1000.0,694829.3119816381,69382.9311981638,16849.363178946536,100.0,14575.146527012079,57.92275534246966,753 days 00:00:00,43,0,0.0,342.5276290917101,-18.169826524434782,59.33728390455034,-8.04433598328655,78 days 02:10:54.545454546,20 days 11:25:42.857142857,16135.565394921818,1.4851722177554045,1.4815021404145037,1.3661088971849566,0.5442419340803892,10.66626867292099,1.171447069596261,0.44058295964125566,-0.03554168887613225,None,None,0.002040999347452713,0.5143318355580836,693.8293119816385,0.533813578746134,0.4167856444602983,3.1178370043598167,3854,7.7718102114919425,49 days 22:53:01.395348836
Most Calmar Ratio,BTC-USD,SMA,14,37,false,48,54.166666666666664,3.2282953718956886,0.012454592631032694,21.580511648994822,10.33511333346593,0.37363777893098077,0.7472755578619615,8.063294440724583,2.298970030250303,0,0,3854,3855 days 00:00:00,1000.0,572516.5993096292,57151.659930962924,16849.363178946536,100.0,13369.676324481226,50.194364826425364,752 days 00:00:00,48,0,0.0,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.464479236718678,1.6423607471164625,1.358322817347797,0.5652522935044847,10.500480581701849,1.1905572223602086,0.43789630734800444,-0.03513752055632266,None,None,0.00197938940558029,0.4988061302062331,571.5165993096309,0.5145221915525626,0.4099158633163516,2.3919180994552094,3854,7.452078750647931,44 days 21:59:59.999999999
Most Best Trade [%],BTC-USD,SMA,75,81,false,38,50.0,3.014608894757462,0.009859885832900882,55.47665290780742,19.415295731227502,0.29579657498702644,0.5915931499740529,16.409803921873497,1.7818539965835212,0,0,3854,3855 days 00:00:00,1000.0,214342.21034372886,21334.221034372884,16849.363178946536,100.0,5402.3505561112415,64.3271929581157,1307 days 00:00:00,38,0,0.0,1685.638306906867,-33.991706667568636,117.63226180549209,-6.678955989877247,94 days 08:50:31.578947368,25 days 22:44:12.631578947,5614.268693256023,1.1879095568800333,1.029610320430212,1.2791491757946067,-0.06759232906277433,15.85485978017667,1.136674836702037,0.4685714285714285,-0.03991143761287763,None,None,0.00183002449318629,0.4611661722829451,213.34221034372857,0.420311797169004,0.46721871294082645,0.26617373059120875,3854,7.148941805913845,60 days 03:47:22.105263157
Mean Total Fees Paid,BTC-USD,SMA,9,73,false,34,50.0,3.3417518332203797,0.008822003113648157,33.70879985146726,10.555343479000616,0.26466009340944474,0.5293201868188895,8.921374117409602,2.093260749652767,0,0,3854,3855 days 00:00:00,1000.0,382548.2937013849,38154.82937013849,16849.363178946536,100.0,6412.631206657584,59.48812719928436,940 days 00:00:00,34,0,0.0,371.85654321755965,-19.97501980230558,76.11711386783891,-8.699514164904391,110 days 19:45:52.941176470,16 days 16:56:28.235294117,11222.008638276026,1.357478652989109,1.2709096974095153,1.3273693894311345,0.42605522006689495,10.520509397167046,1.148511988651855,0.4411214953271029,-0.03692469067356424,None,None,0.0018991828016532274,0.4785940660166133,381.54829370138555,0.4751266086414161,0.4243072598913401,1.26446714721025,3854,6.984633807638801,63 days 18:21:10.588235293
Most Total Return [%],BTC-USD,SMA,8,44,false,47,48.93617021276596,2.7899720615634376,0.012195121951219513,25.15650890162877,10.657574226145915,0.36585365853658536,0.7317073170731707,9.203600817669061,2.3408013323567873,0,0,3854,3855 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,16849.363178946536,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.4956879744220741,1.6140634866957677,1.3688921300106998,0.5351446901527038,10.661992608100672,1.1726686847531922,0.4368244502422661,-0.03554168887613225,None,None,0.0020495680671223458,0.5164911529148312,722.4043677244822,0.5378597942543373,0.4155928304451518,3.287428314365839,3854,6.533811735733744,45 days 07:39:34.468085105
Most Sharpe Ratio,BTC-USD,SMA,8,44,false,47,48.93617021276596,2.7899720615634376,0.012195121951219513,25.15650890162877,10.657574226145915,0.36585365853658536,0.7317073170731707,9.203600817669061,2.3408013323567873,0,0,3854,3855 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,16849.363178946536,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.4956879744220741,1.6140634866957677,1.3688921300106998,0.5351446901527038,10.661992608100672,1.1726686847531922,0.4368244502422661,-0.03554168887613225,None,None,0.0020495680671223458,0.5164911529148312,722.4043677244822,0.5378597942543373,0.4155928304451518,3.287428314365839,3854,6.533811735733744,45 days 07:39:34.468085105
Most Omega Ratio,BTC-USD,SMA,8,44,false,47,48.93617021276596,2.7899720615634376,0.012195121951219513,25.15650890162877,10.657574226145915,0.36585365853658536,0.7317073170731707,9.203600817669061,2.3408013323567873,0,0,3854,3855 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,16849.363178946536,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.4956879744220741,1.6140634866957677,1.3688921300106998,0.5351446901527038,10.661992608100672,1.1726686847531922,0.4368244502422661,-0.03554168887613225,None,None,0.0020495680671223458,0.5164911529148312,722.4043677244822,0.5378597942543373,0.4155928304451518,3.287428314365839,3854,6.533811735733744,45 days 07:39:34.468085105
