Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Mean Win Rate [%],BTC-USD,EMA,12,16,false,65,46.15384615384615,2.3226051635320033,0.016865594187856773,15.302158394218253,8.455788392458052,0.5059678256357032,1.0119356512714064,7.742399810255733,2.1852277326724407,0,0,3854,3855 days 00:00:00,1000.0,422754.1642618366,42175.416426183656,16849.363178946536,100.0,14253.845093092812,69.73385582105722,827 days 00:00:00,65,0,0.0,210.71025640845198,-23.262488855774325,41.535131399064426,-7.183247038507037,59 days 21:36:00,10 days 02:44:34.285714285,6488.5256040282575,1.4050770619517807,1.1081205223470143,1.3409061324498524,0.5411059017066714,10.52374170384346,1.193314928451534,0.4368244502422661,-0.03559961715797616,None,None,0.0019016388684049736,0.47921299483805335,421.75416426183386,0.4847948276879681,0.41046355689670816,1.5030866732626609,3854,3.940889369932903,33 days 02:12:55.384615384
Most Total Return [%],BTC-USD,EMA,11,17,false,66,45.45454545454545,2.2210815017672574,0.017125064867669952,15.70762802746426,8.679846027333355,0.5137519460300985,1.027503892060197,8.069824466626681,2.2348037379730648,0,0,3854,3855 days 00:00:00,1000.0,480261.85081378,47926.185081378,16849.363178946536,100.0,16929.83577269853,66.13956646733496,827 days 00:00:00,66,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.150782159032936,59 days 16:00:00,10 days 03:20:00,7261.543194148179,1.4314083515028975,1.2009032405482838,1.3476533407059468,0.5675301904536472,10.520849316471862,1.1985512689682674,0.4384328358208956,-0.03554168887613222,None,None,0.0019332283778491987,0.48717355121799805,479.2618508137789,0.49722573623733957,0.4096060072818403,1.8443914806977566,3854,3.9323860245528404,32 days 15:38:10.909090908
Most Total Fees Paid,BTC-USD,EMA,11,17,false,66,45.45454545454545,2.2210815017672574,0.017125064867669952,15.70762802746426,8.679846027333355,0.5137519460300985,1.027503892060197,8.069824466626681,2.2348037379730648,0,0,3854,3855 days 00:00:00,1000.0,480261.85081378,47926.185081378,16849.363178946536,100.0,16929.83577269853,66.13956646733496,827 days 00:00:00,66,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.150782159032936,59 days 16:00:00,10 days 03:20:00,7261.543194148179,1.4314083515028975,1.2009032405482838,1.3476533407059468,0.5675301904536472,10.520849316471862,1.1985512689682674,0.4384328358208956,-0.03554168887613222,None,None,0.0019332283778491987,0.48717355121799805,479.2618508137789,0.49722573623733957,0.4096060072818403,1.8443914806977566,3854,3.9323860245528404,32 days 15:38:10.909090908
Most Sharpe Ratio,BTC-USD,EMA,11,17,false,66,45.45454545454545,2.2210815017672574,0.017125064867669952,15.70762802746426,8.679846027333355,0.5137519460300985,1.027503892060197,8.069824466626681,2.2348037379730648,0,0,3854,3855 days 00:00:00,1000.0,480261.85081378,47926.185081378,16849.363178946536,100.0,16929.83577269853,66.13956646733496,827 days 00:00:00,66,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.150782159032936,59 days 16:00:00,10 days 03:20:00,7261.543194148179,1.4314083515028975,1.2009032405482838,1.3476533407059468,0.5675301904536472,10.520849316471862,1.1985512689682674,0.4384328358208956,-0.03554168887613222,None,None,0.0019332283778491987,0.48717355121799805,479.2618508137789,0.49722573623733957,0.4096060072818403,1.8443914806977566,3854,3.9323860245528404,32 days 15:38:10.909090908
Most Omega Ratio,BTC-USD,EMA,11,17,false,66,45.45454545454545,2.2210815017672574,0.017125064867669952,15.70762802746426,8.679846027333355,0.5137519460300985,1.027503892060197,8.069824466626681,2.2348037379730648,0,0,3854,3855 days 00:00:00,1000.0,480261.85081378,47926.185081378,16849.363178946536,100.0,16929.83577269853,66.13956646733496,827 days 00:00:00,66,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.150782159032936,59 days 16:00:00,10 days 03:20:00,7261.543194148179,1.4314083515028975,1.2009032405482838,1.3476533407059468,0.5675301904536472,10.520849316471862,1.1985512689682674,0.4384328358208956,-0.03554168887613222,None,None,0.0019332283778491987,0.48717355121799805,479.2618508137789,0.49722573623733957,0.4096060072818403,1.8443914806977566,3854,3.9323860245528404,32 days 15:38:10.909090908
Most Sortino Ratio,BTC-USD,EMA,11,17,false,66,45.45454545454545,2.2210815017672574,0.017125064867669952,15.70762802746426,8.679846027333355,0.5137519460300985,1.027503892060197,8.069824466626681,2.2348037379730648,0,0,3854,3855 days 00:00:00,1000.0,480261.85081378,47926.185081378,16849.363178946536,100.0,16929.83577269853,66.13956646733496,827 days 00:00:00,66,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.150782159032936,59 days 16:00:00,10 days 03:20:00,7261.543194148179,1.4314083515028975,1.2009032405482838,1.3476533407059468,0.5675301904536472,10.520849316471862,1.1985512689682674,0.4384328358208956,-0.03554168887613222,None,None,0.0019332283778491987,0.48717355121799805,479.2618508137789,0.49722573623733957,0.4096060072818403,1.8443914806977566,3854,3.9323860245528404,32 days 15:38:10.909090908
Least Worst Trade [%],BTC-USD,EMA,12,65,false,35,45.714285714285715,3.1497773738946004,0.00908147379346134,31.51914340300988,9.28911944093126,0.27244421380384015,0.5448884276076803,8.587208244203522,2.0194646678431227,0,0,3854,3855 days 00:00:00,1000.0,308038.924435008,30703.8924435008,16849.363178946536,100.0,6166.929913841241,63.37032723734294,825 days 00:00:00,35,0,0.0,350.26688273306144,-25.078831073845908,78.61981002700037,-8.144575859297904,124 days 18:00:00,12 days 20:12:37.894736842,8772.540698143086,1.3109504641115133,1.136792753932514,1.311074772318782,0.432810424052233,10.296701118453749,1.1508443294590134,0.458018154311649,-0.03799931368300149,None,None,0.0018484338612668768,0.465805333039253,307.0389244350076,0.45438463069195345,0.4276262303091747,0.8222583321051357,3854,3.91686956749276,63 days 23:59:59.999999999
Most Win Rate [%],BTC-USD,EMA,20,37,false,34,55.88235294117647,2.9811763035447796,0.008822003113648157,27.489292497011,9.620492861359532,0.26466009340944474,0.5293201868188895,7.27531872001848,1.918220243353741,0,0,3854,3855 days 00:00:00,1000.0,214257.82095282167,21325.782095282168,16849.363178946536,100.0,3799.923217121271,65.38707208340095,1036 days 00:00:00,34,0,0.0,329.92871174898147,-23.894138127564695,57.83695556906786,-10.95108072759435,99 days 07:34:44.210526315,18 days 01:36:00,6272.2888515535815,1.2552491642947972,1.0128262636879033,1.3006271949602881,0.3965893016097834,10.80831004796028,1.1287625613551364,0.4373601789709172,-0.03681184954520155,None,None,0.0017439287376927021,0.4394700418985609,213.25782095282096,0.4202752360130715,0.4213524233598902,0.2656728844167218,3854,3.910662306806793,63 days 11:17:38.823529411
Median Calmar Ratio,BTC-USD,EMA,6,83,false,39,43.58974358974359,3.0655111561068087,0.010119356512714063,30.381306501690755,9.513394925930058,0.3035806953814219,0.6071613907628438,9.223178154379394,2.050784602993059,0,0,3854,3855 days 00:00:00,1000.0,334454.103112814,33345.410311281405,16849.363178946536,100.0,7779.326115943569,69.1696364619536,825 days 00:00:00,39,0,0.0,399.9600969538011,-13.4519189103896,79.62328043839481,-7.669309722126022,119 days 22:35:17.647058824,10 days 19:38:10.909090909,8550.105208020874,1.3184486420194337,1.0609325353424652,1.3113464233933616,0.6036239746584259,11.107105456689718,1.154751846432497,0.46913109756097554,-0.03845886462835054,None,None,0.0018749640956290388,0.47249095209851777,333.4541031128137,0.46222765978321845,0.43129700372888313,0.9790308961318408,3854,3.8878807669760445,58 days 09:13:50.769230769
Most Max Drawdown Duration,BTC-USD,EMA,28,31,false,34,52.94117647058824,2.549577266926666,0.008822003113648157,31.99838799887236,10.609154245343571,0.26466009340944474,0.5293201868188895,8.468696356733215,1.9756214448877105,0,0,3854,3855 days 00:00:00,1000.0,259184.5060852029,25818.450608520296,16849.363178946536,100.0,5273.479448089359,62.58691014889111,999 days 00:00:00,34,0,0.0,373.9589517630086,-23.894138127564716,69.57025175908599,-10.269958731367973,106 days 02:40:00,17 days 15:00:00,7593.6619436824385,1.2870441783750883,1.1064440277372827,1.3074345572965003,0.4198997140854589,10.645599847284108,1.1412539022865926,0.4454443194600675,-0.03681184954520157,None,None,0.001796497305546893,0.4527173209978171,258.1845060852017,0.4380592417743574,0.42333075221073085,0.5323101730503816,3854,3.7345895582352098,64 days 11:17:38.823529411
Mean Calmar Ratio,BTC-USD,EMA,9,65,false,39,43.58974358974359,3.270141435512082,0.010119356512714063,27.346408897250285,8.563067807206757,0.3035806953814219,0.6071613907628438,8.301841829211945,2.0029622505500857,0,0,3854,3855 days 00:00:00,1000.0,278310.94675511855,27731.094675511857,16849.363178946536,100.0,5977.906089440513,66.10076867981893,784 days 00:00:00,39,0,0.0,348.38534196149436,-13.65612606428769,72.27002572224198,-7.367295012970578,114 days 18:21:10.588235294,12 days 15:16:21.818181818,7110.537096285092,1.3011366291238655,1.064945538706191,1.3082107217612027,0.4480648856345214,10.433447315884559,1.1529624784318648,0.4547169811320755,-0.03766313474788996,None,None,0.0018138948309041377,0.4571014973878427,277.3109467551195,0.44476791674425464,0.4228008995738786,0.6458244968072243,3854,3.646054419869007,57 days 03:41:32.307692307
Most Worst Trade [%],BTC-USD,EMA,3,89,false,44,38.63636363636363,3.5518947391453852,0.011416709911779968,26.345726087188922,8.249720823028397,0.34250129735339907,0.6850025947067981,9.023445364579496,2.0210724545956924,0,0,3854,3855 days 00:00:00,1000.0,304876.84645152907,30387.684645152905,16849.363178946536,100.0,7079.927110849489,71.47800277043318,1054 days 00:00:00,44,0,0.0,381.91767985536535,-13.138940508990702,79.09688881694112,-6.867968964877272,117 days 16:56:28.235294118,10 days 11:33:20,6906.291964807477,1.3023137724158407,1.0054972717167108,1.3057942315908455,0.590679649243236,11.072660336300203,1.1585879070238319,0.4702517162471395,-0.038458864628350596,None,None,0.0018503350721037967,0.46628443817015675,303.8768464515306,0.45340397939699395,0.4309049171486136,0.8034915813983196,3854,3.6400247829400714,51 days 21:49:05.454545453
Median Best Trade [%],BTC-USD,EMA,13,39,false,38,50.0,2.878352262221743,0.009859885832900882,26.237865697987353,9.182528057869952,0.29579657498702644,0.5915931499740529,7.761070808434245,1.9949700585781422,0,0,3854,3855 days 00:00:00,1000.0,263424.4453993122,26242.444539931217,16849.363178946536,100.0,5512.423249173141,68.25620650428985,1048 days 00:00:00,38,0,0.0,351.7495576475902,-21.893217977098384,62.0095023155483,-9.533770919573598,97 days 15:09:28.421052632,15 days 06:18:56.842105263,6905.906457876635,1.3004506951333628,1.0183563122862263,1.3143183415120656,0.4123119502530166,10.977872714429113,1.1326463523269528,0.4368244502422661,-0.03615745397047828,None,None,0.0017916779088847834,0.45150283303896543,262.42444539931114,0.4395854212483685,0.4178426338720272,0.5574739686732754,3854,3.6144086200004972,56 days 10:44:12.631578947
Mean Best Trade [%],BTC-USD,EMA,14,44,false,37,51.35135135135135,3.111998935105528,0.009600415153087702,25.14865021874254,8.801332734501903,0.28801245459263103,0.5760249091852621,7.243124479191546,1.8822941804243116,0,0,3854,3855 days 00:00:00,1000.0,191178.98537620786,19017.898537620786,16849.363178946536,100.0,3448.727780006779,70.72018631781141,1048 days 00:00:00,37,0,0.0,342.5276290917102,-23.068542464451735,58.470264031579475,-10.02416436147422,99 days 08:50:31.578947368,15 days 09:20:00,5139.972577735348,1.2337461836023846,0.9112201189531538,1.2953260974936796,0.391664831990653,10.816192701202352,1.129004464227061,0.438969764837626,-0.03681184954520154,None,None,0.0017145817034132252,0.43207458926013276,190.1789853762075,0.40973325217867806,0.42148203218725433,0.12870132453337216,3854,3.5667043699043,58 days 12:19:27.567567566
Median Avg Winning Trade [%],BTC-USD,EMA,17,37,false,36,52.77777777777778,2.8542002536430973,0.00934094447327452,26.490731328202656,9.271024041920251,0.2802283341982356,0.5604566683964712,7.423453511795244,1.91955860025393,0,0,3854,3855 days 00:00:00,1000.0,215196.13475449118,21419.61347544912,16849.363178946536,100.0,3972.7940345966554,70.29981338159418,784 days 00:00:00,36,0,0.0,342.52762909171014,-23.068542464451728,59.86356840807585,-10.808321878714443,98 days 17:41:03.157894737,16 days 12:42:21.176470588,5949.892632069202,1.2562655563772371,0.943025730671421,1.301309908535705,0.3997794425948644,10.798657777579669,1.1222001335290932,0.4395070948469007,-0.03681184954520158,None,None,0.0017448410925181373,0.43969995531457057,214.19613475449066,0.42068099942813286,0.42123178132904326,0.2712417227858892,3854,3.5462216741999093,59 days 21:59:59.999999999
Mean Max Drawdown [%],BTC-USD,EMA,25,30,false,34,55.88235294117647,2.6753595701408326,0.008822003113648157,26.946129649572352,9.430400872018321,0.26466009340944474,0.5293201868188895,7.1315651900788275,1.8761902394948777,0,0,3854,3855 days 00:00:00,1000.0,185781.87444869344,18478.187444869345,16849.363178946536,100.0,3462.4152985821956,65.10109959921407,1042 days 00:00:00,34,0,0.0,329.92871174898147,-23.894138127564705,57.18131551094614,-11.351772441501112,99 days 00:00:00,18 days 08:00:00,5434.761013196865,1.2297100443962807,0.9830309188473452,1.2940150476508385,0.3950262079202792,10.87490451257868,1.1228782452738086,0.4368244502422661,-0.036811849545201565,None,None,0.0017058491280987557,0.42987398028088647,184.7818744486943,0.4070967300002728,0.4207117098124671,0.09666978203413899,3854,3.3647751639861694,63 days 09:52:56.470588235
Least Avg Winning Trade Duration,BTC-USD,EMA,16,44,false,38,50.0,2.9127078277377683,0.009859885832900882,24.55336458039796,8.592999208464935,0.29579657498702644,0.5915931499740529,7.262801147289484,1.9071984037626402,0,0,3854,3855 days 00:00:00,1000.0,206702.31064515378,20570.231064515378,16849.363178946536,100.0,4081.591065746769,66.06985557247192,1050 days 00:00:00,38,0,0.0,333.2718462993736,-23.894138127564695,58.210746506643076,-9.104017345847156,100 days 00:00:00,14 days 20:12:37.894736842,5413.218701188257,1.2479995861414315,0.993822060033177,1.298013839377952,0.396231634440208,10.781023446951247,1.138782023210606,0.4421997755331089,-0.03648411186208839,None,None,0.0017351147819058212,0.4372489250402669,205.70231064515372,0.4169460455268008,0.4216581227966294,0.22083136591287358,3854,3.2721426558442843,57 days 10:06:18.947368421
Least Max Drawdown Duration,BTC-USD,EMA,4,88,false,43,39.53488372093023,3.0920731981350316,0.011157239231966787,26.956983218446464,8.44112570848388,0.3347171769590036,0.6694343539180072,9.022965322209636,2.003997349845439,0,0,3854,3855 days 00:00:00,1000.0,291394.0210269075,29039.402102690747,16849.363178946536,100.0,7049.8432443919255,69.53977863987643,1032 days 00:00:00,43,0,0.0,394.2518452681012,-13.138940508990704,78.71376018707481,-6.883986337964375,118 days 19:45:52.941176470,10 days 02:46:09.230769230,6753.349326207151,1.2930434151135204,1.0229605794290066,1.3035403121102953,0.5832763588676793,11.061898557665815,1.1544736584139825,0.4702517162471395,-0.03876602577328887,None,None,0.0018396104014159005,0.4635818211568069,290.39402102690764,0.4491129453796412,0.43147878996493644,0.7234717890689066,3854,3.2519730707674497,53 days 02:13:57.209302324
Mean Profit Factor,BTC-USD,EMA,22,32,false,35,54.285714285714285,2.6560563007351923,0.00908147379346134,26.373422201568005,9.229969088778635,0.27244421380384015,0.5448884276076803,7.185286277022938,1.8535230095345647,0,0,3854,3855 days 00:00:00,1000.0,175102.22969657302,17410.222969657305,16849.363178946536,100.0,3273.3490467322563,70.60966766955549,1036 days 00:00:00,35,0,0.0,339.1130932089328,-23.06854246445174,58.31944149615861,-11.562475710758335,98 days 22:44:12.631578947,17 days 07:30:00,4974.349419902086,1.2173669722447005,0.8933576061761116,1.290587326854605,0.3839019093915925,10.806837364170157,1.1179960063127214,0.43789630734800444,-0.03724196314183691,None,None,0.0016918207058916807,0.42633881788470357,174.10222969657306,0.4016616508080295,0.4214824768927529,0.033286705542175575,3854,3.20119913846026,61 days 15:05:08.571428570
Most Avg Losing Trade [%],BTC-USD,EMA,4,70,false,51,39.21568627450981,3.375481836957277,0.013233004670472236,19.93701422611476,7.344635927837451,0.3969901401141671,0.7939802802283342,7.914798071083441,2.0785274706933707,0,0,3854,3855 days 00:00:00,1000.0,345063.908937137,34406.3908937137,16849.363178946536,100.0,10319.882502584212,63.540572144843935,736 days 00:00:00,51,0,0.0,367.5074486775499,-13.451918910389576,58.62399656787054,-5.022329220179298,97 days 16:48:00,9 days 08:30:58.064516129,6746.351155630136,1.3457346060881161,1.1630011873596366,1.319318002005583,0.44979496319946294,10.504651615179338,1.1860756210083299,0.45636569701548924,-0.03681184954520161,None,None,0.0018659203582227525,0.47021193027213365,344.06390893713683,0.4652158365669534,0.42051392831887685,1.0419994826098153,3854,3.190995331761328,43 days 23:59:59.999999999
Median Sortino Ratio,BTC-USD,EMA,23,24,false,38,50.0,2.544950133086661,0.009859885832900882,26.299249857680692,9.204010817755261,0.29579657498702644,0.5915931499740529,7.779228032629991,1.9863617617067753,0,0,3854,3855 days 00:00:00,1000.0,258711.2670310529,25771.12670310529,16849.363178946536,100.0,5885.807774560099,67.49171826034097,1048 days 00:00:00,38,0,0.0,351.74955764759005,-21.893217977098374,62.629750334816016,-10.03125061945463,95 days 11:22:06.315789474,17 days 16:25:15.789473684,6781.8754481856,1.2969343170575833,1.0256018232843551,1.3130067908406842,0.40107622524786524,10.975807198958075,1.1267093107468928,0.4395070948469007,-0.036157453970478225,None,None,0.0017871987150592907,0.45037407619494124,257.7112670310532,0.4378874527860248,0.41792809202000797,0.52950152652099,3854,3.189403039479432,56 days 13:53:41.052631579
