Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Most Profit Factor,BTC-USD,EMA,5,89,false,36,47.22222222222222,4.566421004105039,0.00934094447327452,33.13816330415031,10.376658245911868,0.2802283341982356,0.5604566683964712,9.28625230111114,2.146522987272281,0,0,3854,3855 days 00:00:00,1000.0,461340.58189589554,46034.05818958955,16849.363178946536,100.0,8821.15696346767,66.56776134680048,756 days 00:00:00,36,0,0.0,370.83724307053217,-13.451918910389585,77.75550274566181,-6.782614090886291,121 days 22:35:17.647058824,11 days 07:34:44.210526315,12787.238385997096,1.3745316186275636,1.1829399349785716,1.3255883659389156,0.6149718653309323,10.975762064031635,1.1577517744450356,0.47418738049713194,-0.038458864628350554,None,None,0.0019606098651464496,0.49407368601690527,460.3405818958944,0.4932968979382557,0.43259664972905004,1.732094839472011,3854,9.422644787559292,63 days 13:19:59.999999999
Least Total Trades,BTC-USD,EMA,6,87,false,34,50.0,3.8123508882446107,0.008822003113648157,35.22283369398132,11.029437701191425,0.26466009340944474,0.5293201868188895,9.322078455594434,2.121804044362623,0,0,3854,3855 days 00:00:00,1000.0,424445.07082965336,42344.507082965334,16849.363178946536,100.0,8243.31699413163,64.52180256755722,823 days 00:00:00,34,0,0.0,389.9565614473167,-13.451918910389582,77.91528258207283,-7.469615194110195,122 days 02:49:24.705882354,12 days 02:49:24.705882352,12454.266789107452,1.3598235737818456,1.1986727998514817,1.3220597938864203,0.613364842450254,11.02037540949025,1.154128250488225,0.4719358533791524,-0.03845886462835052,None,None,0.00193857987308143,0.48852212801652034,423.44507082965436,0.48518232071917367,0.43236231773957684,1.513122106352082,3854,8.439665956643172,67 days 02:49:24.705882353
Most Best Trade [%],BTC-USD,EMA,8,80,false,34,47.05882352941176,2.956779468066931,0.008822003113648157,48.22697897313853,14.213145396393747,0.26466009340944474,0.5293201868188895,12.76375675988617,2.1536117482776866,0,0,3854,3855 days 00:00:00,1000.0,463875.01109909476,46287.50110990948,16849.363178946536,100.0,10121.199240633072,65.05809978214666,827 days 00:00:00,34,0,0.0,910.5866256579709,-13.62426836697767,112.06609780785371,-8.518904435497172,129 days 06:00:00,11 days 10:40:00,13613.970914679261,1.3729989928636384,1.2118153981646365,1.3268495865260699,0.6595835381985383,11.08879951173275,1.167887166624414,0.46689497716894973,-0.038458864628350554,None,None,0.0019637440357386598,0.49486349700614224,462.8750110990968,0.4938317927603557,0.43377184829206744,1.7471365308183409,3854,8.373502373009298,66 days 21:10:35.294117646
Most Expectancy,BTC-USD,EMA,8,80,false,34,47.05882352941176,2.956779468066931,0.008822003113648157,48.22697897313853,14.213145396393747,0.26466009340944474,0.5293201868188895,12.76375675988617,2.1536117482776866,0,0,3854,3855 days 00:00:00,1000.0,463875.01109909476,46287.50110990948,16849.363178946536,100.0,10121.199240633072,65.05809978214666,827 days 00:00:00,34,0,0.0,910.5866256579709,-13.62426836697767,112.06609780785371,-8.518904435497172,129 days 06:00:00,11 days 10:40:00,13613.970914679261,1.3729989928636384,1.2118153981646365,1.3268495865260699,0.6595835381985383,11.08879951173275,1.167887166624414,0.46689497716894973,-0.038458864628350554,None,None,0.0019637440357386598,0.49486349700614224,462.8750110990968,0.4938317927603557,0.43377184829206744,1.7471365308183409,3854,8.373502373009298,66 days 21:10:35.294117646
Most Avg Winning Trade [%],BTC-USD,EMA,10,73,false,35,42.857142857142854,3.0003917842462484,0.00908147379346134,46.15858571621806,12.753339210596259,0.27244421380384015,0.5448884276076803,12.575639595752197,2.1399420185630382,0,0,3854,3855 days 00:00:00,1000.0,444995.6594993259,44399.565949932585,16849.363178946536,100.0,9268.240907473613,63.91562120393473,824 days 00:00:00,35,0,0.0,890.7152603334797,-14.077820412504899,118.10176707554668,-7.798800303278393,134 days 04:48:00,12 days 15:36:00,12685.590271409319,1.3660000801650611,1.2224901941653914,1.3256599367739526,0.6532332490437343,11.125095149318096,1.167404539579352,0.4646656534954407,-0.03845886462835051,None,None,0.0019525548973915415,0.49204383414266845,443.99565949932384,0.48977982815280385,0.43351011076410617,1.6350886664613133,3854,7.292407737459327,64 days 17:49:42.857142856
Median Win Rate [%],BTC-USD,EMA,9,68,false,37,45.94594594594595,3.552764570136907,0.009600415153087702,30.139339806588215,9.437627126763672,0.28801245459263103,0.5760249091852621,8.680505237496865,2.1182199846801577,0,0,3854,3855 days 00:00:00,1000.0,400013.5320800135,39901.35320800135,16849.363178946536,100.0,8387.32195967463,62.20582456546341,790 days 00:00:00,37,0,0.0,356.40503953331216,-13.656126064287688,73.574013186903,-6.780132566679363,116 days 14:07:03.529411766,13 days 00:00:00,10784.14951567604,1.3671061576214398,1.2273428994906737,1.3258291862907576,0.4760874291044704,10.403210812466256,1.1640627233303027,0.4591218773656321,-0.037241963141836906,None,None,0.0019091371913757514,0.48110257222668934,399.013532080012,0.4794377999303192,0.423527486928552,1.368122331048008,3854,6.510241752299389,60 days 14:16:12.972972974
Median Total Trades,BTC-USD,EMA,5,68,false,42,42.857142857142854,3.404302257045387,0.010897768552153606,26.79514173734742,8.884003523158107,0.3269330565646082,0.6538661131292164,8.760217589272898,2.1563694541472356,0,0,3854,3855 days 00:00:00,1000.0,445128.01596149325,44412.80159614932,16849.363178946536,100.0,11947.66612708756,60.73733099174874,736 days 00:00:00,42,0,0.0,357.96391275742644,-13.451918910389582,70.41813507153536,-5.922103263293529,109 days 14:40:00,11 days 05:00:00,10574.476570511742,1.3906644485883537,1.2865437916303686,1.3325164022047549,0.47297255267457355,10.496914417616086,1.175426669710706,0.4591218773656321,-0.036811849545201544,None,None,0.0019340027781569854,0.4873687000955603,444.1280159614958,0.48980879006721945,0.4217755922033271,1.6358741944409865,3854,5.808006105205852,53 days 09:08:34.285714285
Mean Total Trades,BTC-USD,EMA,5,67,false,45,42.22222222222222,3.4415486043547885,0.01167618059159315,22.760506188984586,7.965548307067732,0.3502854177477945,0.700570835495589,7.972673418559728,2.1060732557068977,0,0,3854,3855 days 00:00:00,1000.0,377483.7746742512,37648.37746742512,16849.363178946536,100.0,10512.384734004629,60.73733099174874,736 days 00:00:00,45,0,0.0,357.96391275742644,-13.451918910389576,61.4614504970459,-5.520953113060223,102 days 05:03:09.473684211,11 days 07:23:04.615384615,8366.306103872252,1.3631860695346403,1.2411245033758906,1.3250021955777664,0.44916723402345227,10.535958100640517,1.171696156420008,0.45746691871455575,-0.036811849545201655,None,None,0.0018887414543160878,0.47596284648765413,376.4837746742528,0.4738420350074606,0.4202077670974495,1.2344095184835935,3854,5.108074644037885,49 days 16:31:59.999999999
Median Worst Trade [%],BTC-USD,EMA,14,41,false,36,52.77777777777778,3.353860937776205,0.00934094447327452,27.32075438099072,9.561509177359067,0.2802283341982356,0.5604566683964712,7.656049489224178,2.0066445816461993,0,0,3854,3855 days 00:00:00,1000.0,280234.99921984656,27923.499921984654,16849.363178946536,100.0,4771.844926337851,69.12923146278841,756 days 00:00:00,36,0,0.0,342.5276290917101,-23.06854246445173,60.687700703600036,-9.971715038396175,98 days 18:56:50.526315789,16 days 09:52:56.470588235,7756.52775610685,1.3070820770334681,1.0199000346449791,1.3156001314489603,0.4215860300975145,10.857631608611822,1.1292513426856232,0.44058295964125566,-0.03630093700072269,None,None,0.0018119505945077238,0.45661154981594637,279.23499921984666,0.44541873805683285,0.4204266089511896,0.6572436373663886,3854,4.49256440326208,59 days 21:19:59.999999999
Most Calmar Ratio,BTC-USD,EMA,9,37,false,46,43.47826086956522,2.566133937206224,0.011935651271406332,23.768892438256465,8.756269087587574,0.35806953814218995,0.7161390762843799,8.510916337517884,2.132179894320135,0,0,3854,3855 days 00:00:00,1000.0,382013.7255238478,38101.372552384775,16849.363178946536,100.0,9709.994699920406,55.67699955814258,790 days 00:00:00,46,0,0.0,367.256929074612,-23.717899192117393,64.79551016425378,-7.7900442740491584,89 days 12:00:00,13 days 13:50:46.153846153,8282.90707660539,1.3824849964092587,1.357486751297611,1.3365155887725555,0.44252677039724114,10.926273189220614,1.1417014521040147,0.4411214953271029,-0.03535762367473365,None,None,0.0018786480786798345,0.4734193158273183,381.01372552384646,0.47499177258119873,0.4121276080925152,1.2612945158659086,3854,4.293211738158827,46 days 14:05:13.043478260
