Metric Type,Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Current
Most Total Return [%],38,46,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
Most Expectancy,38,46,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
Most Sharpe Ratio,38,46,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
Most Sortino Ratio,38,46,0,4425,4426 days 00:00:00,1000.0,15190.294456657473,1419.0294456657473,5296.118853024271,100.0,171.36657637445737,73.74924680619533,2075 days 00:00:00,32,32,0,0.0,40.625,362.628300773749,-21.36840741178645,68.98004719734162,-12.36199243190627,148 days 11:04:36.923076922,34 days 08:50:31.578947368,2.9614616499996598,443.446701770546,0.689770958266712,0.3410581298594282,1.163911612941419,1.0801905421197289,0
Most Total Fees Paid,2,40,0,4425,4426 days 00:00:00,1000.0,13985.46649062157,1298.5466490621568,5296.118853024271,100.0,1086.8231176552974,73.79915429154974,2068 days 00:00:00,128,128,0,0.0,27.34375,214.17681758343014,-41.05966189069066,28.120607823982013,-4.825854249476489,51 days 08:13:42.857142857,8 days 02:34:50.322580645,1.4677436612115533,101.44895695798095,0.6790449131739781,0.32930963432679433,1.167598956879209,1.0434516472518518,0
Most Omega Ratio,2,40,0,4425,4426 days 00:00:00,1000.0,13985.46649062157,1298.5466490621568,5296.118853024271,100.0,1086.8231176552974,73.79915429154974,2068 days 00:00:00,128,128,0,0.0,27.34375,214.17681758343014,-41.05966189069066,28.120607823982013,-4.825854249476489,51 days 08:13:42.857142857,8 days 02:34:50.322580645,1.4677436612115533,101.44895695798095,0.6790449131739781,0.32930963432679433,1.167598956879209,1.0434516472518518,0
Most Avg Losing Trade Duration,3,40,0,4425,4426 days 00:00:00,1000.0,13268.146265035693,1226.8146265035693,5296.118853024271,100.0,774.2602489513037,72.20473744625167,1887 days 00:00:00,105,105,0,0.0,30.476190476190478,204.78841167165172,-41.05966189069065,29.543741760895,-5.8328685250165275,57 days 06:00:00,9 days 23:00:49.315068493,1.5112216150836542,116.83948823843525,0.6708217943926023,0.3291225370838126,1.165097243912617,1.0290949589410017,0
Median Best Trade [%],2,43,0,4425,4426 days 00:00:00,1000.0,12848.860001489495,1184.8860001489495,5296.118853024271,100.0,900.7357064804042,78.13297269745057,2069 days 00:00:00,122,122,0,0.0,28.688524590163933,199.44729933626988,-41.05966189069066,27.27412312097562,-5.076713429024696,55 days 10:17:08.571428572,7 days 03:51:43.448275862,1.4941242336944052,97.1218032908975,0.6662459717053314,0.299961692375416,1.1632611526972632,1.0187971768434658,0
Mean Max Drawdown [%],39,47,0,4425,4426 days 00:00:00,1000.0,12617.146749686888,1161.7146749686888,5296.118853024271,100.0,144.1448589272822,73.2288196130699,2075 days 00:00:00,32,32,0,0.0,37.5,362.62830077374895,-21.36840741178646,71.05497086520387,-11.393556853602336,156 days 18:00:00,35 days 02:24:00,2.923722266513679,363.0358359277152,0.6598409287686522,0.31752235907737025,1.1562120207041147,1.0320417535416089,0
Most Profit Factor,38,55,0,4425,4426 days 00:00:00,1000.0,12431.849895458361,1143.184989545836,5296.118853024271,100.0,110.92969049526924,76.22134437966044,2076 days 00:00:00,29,29,0,0.0,37.93103448275862,392.63693663581336,-22.11115761701254,75.45365175310482,-11.413165081763895,165 days 21:49:05.454545454,42 days 17:20:00,4.1048192524132565,394.20172053304685,0.6576612784829204,0.30308438360196016,1.1544803425778858,1.0303028512428225,0
