Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Mean Max Drawdown [%],MSTY_MSTR,EMA,36,39,false,15,-0.0,0.0,0.0,NaN,-5.134558918609624,0.33131409993342315,1 days 12:51:25.714285714,0.11829580937877657,3.8551759306476288,7.453340132585415,NaN,0,0,1961,81 days 18:00:00,1000.0,493.34780271921727,-50.66521972807827,-75.7683386520246,100.0,20.207233436073544,52.343394094207376,81 days 10:00:00,14,1,6.2592511858755415,-2.0576103938258563,-8.13244467897927,NaN,-5.001295141125105,NaT,1 days 12:51:25.714285714,-36.63653203333274,-4.842635563824541,-1.8289680411291458,0.6299893360893749,-10.672846479273453,153.4511994101613,0.616392443943561,0.16508313539192399,-0.004002801352676358,None,None,-0.00033768845756967697,-2.0423397913814063,-0.5066521972807845,-0.8867277257175858,0.5075658258835694,118.34738756613756
Median Max Drawdown [%],MSTY_MSTR,EMA,37,72,false,13,-0.0,0.0,0.0,NaN,-5.312169488932862,0.340242510482053,1 days 06:30:00,0.10139640803895134,3.341152473227945,6.425293217746048,NaN,0,0,1961,81 days 18:00:00,1000.0,500.11271105994626,-49.988728894005376,-75.7683386520246,100.0,17.290953330264276,50.81305112674457,81 days 10:00:00,12,1,1.7427036680010133,-2.0244985834924396,-9.557849045502959,NaN,-5.620387872802795,NaT,1 days 06:30:00,-41.802499384004555,-5.068112171714351,-1.87878834613784,0.5541786423078253,-12.042442504891572,186.6897814394975,0.5426930745916011,0.10910118711136234,-0.00286327087159703,None,None,-0.00033317546212111466,-2.0150451949085015,-0.4998872889400534,-0.8818711235032404,0.47850307674729403,118.34738756613756
Most Total Trades,MSTY_MSTR,EMA,2,3,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.449827286358534,-0.06807413881749533,0 days 04:29:37.215189871,2.002579058769289,61.16879143294238,122.08057113717491,0.006116879143294238,0,0,1961,81 days 18:00:00,1000.0,190.73796944606477,-80.92620305539351,-75.7683386520246,100.0,207.07339051151604,81.13262296023304,81 days 17:00:00,237,1,0.8190501159006374,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.765483450211692,-1.2317945953223015,0.572666905490429,-8.227940789615769,112.48830084645506,0.7878067411283928,0.3905031892274982,-0.00802735303052094,None,None,-0.0008052252754858451,-4.870002466138391,-0.809262030553935,-0.9939480125488561,0.6686509544564058,118.34738756613756
Least Total Trades,MSTY_MSTR,EMA,87,89,false,5,-0.0,0.0,0.0,NaN,-3.412744128880332,0.600419094818835,1 days 04:48:00,0.04224850334956306,1.2850586435492095,2.570117287098419,NaN,0,0,1961,81 days 18:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.7683386520246,100.0,8.486324004290644,31.099220967593038,81 days 10:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.2910758531600397,-2.572841090860492,0.5223579767586601,-17.895445044951646,379.2343534215978,0.5017385829392393,0.040296924708377514,0.0,None,None,-0.000171191982935396,-1.0353691127932751,-0.30275581342649116,-0.670979328847819,0.37861993333717364,118.34738756613756
Mean Total Trades,MSTY_MSTR,EMA,10,88,false,19,-0.0,0.0,0.0,NaN,-5.851442555579906,0.2801820406111664,0 days 23:43:20,0.152094612058427,4.883222845486997,9.50943396226415,NaN,0,0,1961,81 days 18:00:00,1000.0,454.6058908521758,-54.53941091478243,-75.7683386520246,100.0,24.5433292602324,55.28872548863003,81 days 10:00:00,18,1,0.9047492860829607,-0.8509858491016894,-7.227387557663738,NaN,-4.274560873072122,NaT,0 days 23:43:20,-30.349936579661517,-5.603833286139477,-1.7551367622613285,0.5343226453012943,-11.58210591841757,170.47092400140818,0.5560823910375459,0.12693854106835153,-0.0033579240356248216,None,None,-0.00038046249851341195,-2.3010371910091156,-0.5453941091478254,-0.9119688222166605,0.4941793495001681,118.34738756613756
Median Total Trades,MSTY_MSTR,EMA,15,88,false,14,-0.0,0.0,0.0,NaN,-5.0500757162744545,0.36444020494138296,1 days 06:18:27.692307692,0.10984610870886395,3.598164201937787,6.939316675165732,NaN,0,0,1961,81 days 18:00:00,1000.0,518.4469021438736,-48.155309785612644,-75.7683386520246,100.0,18.95616198426919,49.00985176881118,81 days 10:00:00,13,1,1.0318046334756446,-2.0432221264634665,-7.413758601056064,NaN,-4.931908629351087,NaT,1 days 06:18:27.692307692,-37.12191557612325,-4.815626804991935,-1.931783732269616,0.5764321289816603,-12.200678477770419,190.49561238545587,0.5681182040444248,0.11858608893956671,-0.0028632708715970166,None,None,-0.0003150188999580396,-1.9052343069462234,-0.481553097856127,-0.8680053513356011,0.47614774487279327,118.34738756613756
Most Win Rate [%],MSTY_MSTR,EMA,3,4,false,153,0.0,32.89473684210527,0.43468762428357527,0.0001,-5.682740078700594,0.18506170515534126,0 days 07:16:11.052631578,1.284354501826717,39.322794492605816,78.38857725650179,0.003932279449260582,0,0,1961,81 days 18:00:00,1000.0,382.53479295706427,-61.74652070429357,-75.7683386520246,100.0,183.98103802056497,64.86889365664739,79 days 03:00:00,152,1,1.642647069261784,9.873478248764643,-15.308447647117898,1.4704757940610285,-1.6114953812983117,0 days 14:42:00,0 days 03:37:38.823529411,-4.073077987580248,-5.127575841480509,-1.520452594415701,0.7291778377094936,-8.116558128761524,118.86519967867008,0.8198655015590791,0.4352596927578639,-0.006833964927644659,None,None,-0.0004536741381210653,-2.743821187356203,-0.6174652070429363,-0.9482923901397853,0.6440059420341232,118.34738756613756
Least Win Rate [%],MSTY_MSTR,EMA,2,64,false,43,-0.0,0.0,0.0,NaN,-6.133234977521348,0.17461222069207594,0 days 14:14:17.142857142,0.3548874281363297,11.051504334523203,21.845996940336562,NaN,0,0,1961,81 days 18:00:00,1000.0,374.6173921815466,-62.53826078184533,-75.7683386520246,100.0,52.20554936758115,63.16556929934034,81 days 10:00:00,42,1,1.6086488672170276,-0.3083652012308172,-15.380747085184037,NaN,-2.2806576372762377,NaT,0 days 14:14:17.142857142,-14.92836325442072,-5.868501539492709,-1.5633866689440412,0.5525054532761673,-11.633091775799219,180.0027261536124,0.5932350219471668,0.1890909090909091,-0.004097960324673844,None,None,-0.0004703737886152596,-2.84482067354509,-0.625382607818453,-0.9515207967844795,0.5834099535541695,118.34738756613756
Mean Win Rate [%],MSTY_MSTR,EMA,2,62,false,45,-0.0,2.272727272727273,0.00840821291879569,0.0001,-6.309814174528434,0.15853177805947122,0 days 13:57:16.363636363,0.37178682947615493,11.565527791942886,22.87404385517593,0.0011565527791942887,0,0,1961,81 days 18:00:00,1000.0,362.4335079509302,-63.75664920490698,-75.7683386520246,100.0,53.559858548339186,64.36355542791819,81 days 10:00:00,44,1,1.55632990932844,0.5969759586367716,-15.380747085184044,0.5969759586367716,-2.3166848221929137,1 days 09:00:00,0 days 13:30:41.860465116,-14.525518680872686,-6.029564047460758,-1.5369484023247102,0.5519425902744938,-11.396707188224804,174.781217745423,0.5986587342789184,0.19415702982349362,-0.00426232825568083,None,None,-0.00048680354289926304,-2.944187827454743,-0.6375664920490698,-0.9562184596030538,0.5876595009090652,118.34738756613756
Median Win Rate [%],MSTY_MSTR,EMA,2,64,false,43,-0.0,0.0,0.0,NaN,-6.133234977521348,0.17461222069207594,0 days 14:14:17.142857142,0.3548874281363297,11.051504334523203,21.845996940336562,NaN,0,0,1961,81 days 18:00:00,1000.0,374.6173921815466,-62.53826078184533,-75.7683386520246,100.0,52.20554936758115,63.16556929934034,81 days 10:00:00,42,1,1.6086488672170276,-0.3083652012308172,-15.380747085184037,NaN,-2.2806576372762377,NaT,0 days 14:14:17.142857142,-14.92836325442072,-5.868501539492709,-1.5633866689440412,0.5525054532761673,-11.633091775799219,180.0027261536124,0.5932350219471668,0.1890909090909091,-0.004097960324673844,None,None,-0.0004703737886152596,-2.84482067354509,-0.625382607818453,-0.9515207967844795,0.5834099535541695,118.34738756613756
