Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Avg Losing Trade Duration,GD,false,81,86,false,43,48.837209302325576,5.67093793441911,0.0027016838401608444,21.625566862904687,8.365019416485513,0.05673536064337773,0.11347072128675546,1.2269343350843762,0.9961083004717464,0,0,15916,15917 days 00:00:00,1000.0,410733.08089736674,40973.308089736674,35927.44647592585,100.0,6324.8898265036405,55.04508243521301,1623 days 00:00:00,43,0,0.0,227.7769230769231,-23.25384333514591,52.864884299216165,-8.193781599028984,393 days 00:00:00,79 days 15:16:21.818181819,9528.676299938761,0.6606858815103444,0.26882654915060283,1.1328925318036387,0.3788247347733557,9.650228275659614,1.0817430215208625,0.447,-0.02035785523548498,None,None,0.00047040967712792353,0.11854323863623673,409.73308089737037,0.09996334867652101,0.2159374277177115,0.14044587380269125,232 days 16:11:09.767441859
Least Max Drawdown Duration,GD,false,84,85,false,44,45.45454545454545,5.098427985532485,0.002764513696908771,20.786586406209935,7.657611496117124,0.05805478763508419,0.11610957527016838,1.2067608594708457,0.9761699414068266,0,0,15916,15917 days 00:00:00,1000.0,356102.60090907256,35510.26009090726,35927.44647592585,100.0,6119.088439292517,55.70281452907908,1618 days 00:00:00,44,0,0.0,224.78846153846158,-25.174995419612113,55.099940518531994,-7.8078753540584485,406 days 06:00:00,79 days 08:00:00,8070.5136570243785,0.647941509823108,0.2589182363096636,1.1300196630380583,0.37778156571496735,9.632737366730472,1.0804594097961866,0.44805312954876275,-0.02041043652594999,None,None,0.0004615112684183283,0.11630083964141874,355.1026009090697,0.09748063858843325,0.2160196253099248,-0.011611913062013408,227 days 22:21:49.090909090
Most Avg Winning Trade [%],GD,false,82,88,false,43,44.18604651162791,5.311001932282441,0.0027016838401608444,21.20902030497615,7.422571114285263,0.05673536064337773,0.11347072128675546,1.203301415895543,0.9776898659553445,0,0,15916,15917 days 00:00:00,1000.0,363281.8882218691,36228.18882218691,35927.44647592585,100.0,5465.459087817348,55.1945150879517,1624 days 00:00:00,43,0,0.0,224.78846153846152,-25.174995419612127,57.82399463769373,-7.777834375091936,432 days 07:34:44.210526320,75 days 20:00:00,8425.160191206258,0.6490839228011175,0.26225177421204554,1.1302188528640313,0.3742085812173579,9.584335529801585,1.079543590846798,0.44858026938478346,-0.020426127815744488,None,None,0.0004630630557081098,0.11669189003844366,362.2818882218652,0.09782751078733898,0.21636448919323778,0.008370824418667799,233 days 08:22:19.534883723
Least Worst Trade [%],GD,false,84,86,false,44,43.18181818181818,5.449184883890106,0.002764513696908771,20.676361294528256,7.236155177676126,0.05805478763508419,0.11610957527016838,1.2003617640201123,0.974820625413569,0,0,15916,15917 days 00:00:00,1000.0,355812.003939617,35481.2003939617,35927.44647592585,100.0,5339.181794720005,55.19451508795168,1624 days 00:00:00,44,0,0.0,224.78846153846152,-25.174995419612134,57.76237802508856,-7.509011420697573,432 days 06:18:56.842105264,72 days 21:07:12,8063.909180445841,0.6472285875326406,0.2612638667081593,1.1298087987509053,0.3742330679699107,9.581492186039418,1.0796103554710423,0.44858026938478346,-0.020426127815744405,None,None,0.00046176932146072393,0.11636586900810243,354.81200393961814,0.09746645367847795,0.2163784908876482,-0.012420756990429821,228 days 01:38:10.909090910
Median Best Trade [%],GD,false,62,84,false,58,43.103448275862064,2.898070909004901,0.0036441316913797435,14.09271784272523,6.489555094273913,0.07652676551897461,0.15305353103794922,1.0784701138753034,0.8353167662555886,0,0,15916,15917 days 00:00:00,1000.0,128784.15359391322,12778.415359391322,35927.44647592585,100.0,3480.5860049769253,69.64805553130647,2790 days 00:00:00,58,0,0.0,230.7376623376624,-24.214419377379016,44.12288429016497,-8.657408253820023,321 days 01:55:12,57 days 13:49:05.454545455,2203.1750619640216,0.5580628849269818,0.1692030347975727,1.1116504262113918,0.3542645450902435,9.728997839379934,1.0758942475538709,0.43823981205385376,-0.02052423262647875,None,None,0.0003977247285536065,0.10022663159550885,127.78415359391377,0.07994991469652457,0.2161454793982863,-0.6443272034945806,171 days 03:43:26.896551723
Least Avg Losing Trade [%],GD,false,61,85,false,59,42.3728813559322,2.8933348938241026,0.0037069615481276704,13.743890810564437,6.328923747727223,0.07784619251068108,0.15569238502136215,1.0699095698849796,0.824721635109337,0,0,15916,15917 days 00:00:00,1000.0,119188.45905384154,11818.845905384154,35927.44647592585,100.0,3225.7879192327464,69.81212072185875,2790 days 00:00:00,59,0,0.0,230.73766233766239,-24.214419377379027,44.2394547959354,-8.67931800220833,316 days 16:19:12,59 days 01:24:42.352941177,2003.1942212515514,0.5515388713477204,0.16596474531930983,1.1102328927587308,0.3452042964620514,9.717616022532777,1.0751946022075602,0.4379799439877134,-0.020524232626478633,None,None,0.0003926815203001743,0.09895574311564392,118.1884590538414,0.07862680341976036,0.2159290332223516,-0.6710357382814921,168 days 05:17:17.288135592
Median Win Rate [%],GD,false,74,79,false,53,39.62264150943396,3.415868664958863,0.0033299824076401105,16.273003964273734,6.2945861714818285,0.06992963056044232,0.13985926112088465,1.1379651553302756,0.8909856246348247,0,0,15916,15917 days 00:00:00,1000.0,192112.4781066618,19111.24781066618,35927.44647592585,100.0,4007.1718806005647,71.78436776265431,2790 days 00:00:00,53,0,0.0,223.30508474576268,-24.214419377379013,53.63376415435154,-8.244994910464824,384 days 22:51:25.714285716,58 days 12:45:00,3605.8958133332417,0.5935107804104439,0.1785150026390585,1.1189385044570417,0.36933603000182136,9.754010595389783,1.0767144099492296,0.44162666425142655,-0.02047781569965862,None,None,0.00042273362267152687,0.10652887291322477,191.11247810666228,0.08680980231526636,0.21601548384381494,-0.4680599462176588,187 days 20:49:48.679245283
Mean Expectancy,GD,false,66,80,false,60,40.0,2.9281791192014177,0.003769791404875597,13.52112316674188,5.977287824678673,0.07916561950238753,0.15833123900477505,1.0704080918632048,0.8269583985032044,0,0,15916,15917 days 00:00:00,1000.0,121354.62749882317,12035.462749882317,35927.44647592585,100.0,3357.151390437319,70.21744970952753,2790 days 00:00:00,60,0,0.0,230.73766233766239,-24.214419377379024,45.98069314330506,-8.118590150966908,328 days 00:00:00,57 days 07:20:00,2005.9104583137205,0.5526729697719354,0.16566320725497316,1.1104259092558906,0.3532349307102746,9.706580406053675,1.0754176331140928,0.43862979031091825,-0.020531876431125223,None,None,0.00039408702006246574,0.09930992905574136,120.3546274988226,0.07893442268908535,0.21625721657578037,-0.6650064524361061,165 days 14:00:00
Mean Best Trade [%],GD,false,65,82,false,58,39.6551724137931,3.2184698491931214,0.0036441316913797435,14.099189372400055,5.973132355225664,0.07652676551897461,0.15305353103794922,1.0789653591092778,0.8343757514083127,0,0,15916,15917 days 00:00:00,1000.0,128363.48036337609,12736.348036337607,35927.44647592585,100.0,3232.9795351896937,70.88223878983258,3060 days 00:00:00,58,0,0.0,230.7376623376623,-24.21441937737902,48.01490822413934,-8.18828301588576,339 days 11:28:41.739130432,61 days 02:44:34.285714286,2195.9220752306223,0.5574776949417901,0.16613859663943456,1.1113582654552046,0.3534094963288569,9.685558402837914,1.0747778658516611,0.4396707670043415,-0.02055035273616221,None,None,0.00039770386476988706,0.10022137392201154,127.3634803633768,0.07989397444460744,0.21636101906910998,-0.6454981000424859,171 days 11:59:59.999999999
Mean Worst Trade [%],GD,false,29,75,false,94,42.5531914893617,1.8664163942859437,0.005906006534305102,8.396953892662973,5.857658801997191,0.12402613722040713,0.24805227444081426,1.0414417557248496,0.8487372675013928,0,0,15916,15917 days 00:00:00,1000.0,137305.46364797818,13630.546364797818,35927.44647592585,100.0,8187.010086196259,59.973465402014405,1964 days 00:00:00,94,0,0.0,241.6631578947368,-20.92614107883815,28.868573450093145,-6.767208742470487,194 days 13:48:00,36 days 06:13:20,1450.0581239146607,0.5627672798121964,0.19923844534086108,1.1142524241097336,0.45288592456181676,10.304786833321552,1.0963641300175617,0.4233211124027542,-0.02046896992806102,None,None,0.0004021809399243796,0.10134959686094366,136.30546364797718,0.08104593901258439,0.2167401394476885,-0.6206090968938933,103 days 15:03:49.787234042
