Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Most Total Fees Paid,MSTR_SPY,SMA,29,32,0,false,false,1,178,1.2113768697759704,50.847457627118644,1.2357735565609433,5.231281250397093,0.7803643303913059,0.662821956697339,19 days 02:42:42.711864405,0.018098746997338183,0.5536137440758294,1.104117298578199,2.8961091993460215,0,6752,6753 days 00:00:00,1000.0,9287.20079476885,828.7200794768851,498.38172760412124,100.0,1597.625545787407,97.03570620207871,5260 days 00:00:00,177,-63.727228509602355,579.544491482966,-60.27741455638513,17.849094424615274,-7.821628929828608,23 days 07:12:00,14 days 18:45:31.034482758,47.18038431230755,0.5065258183995723,0.1319239263435818,1.1361500157202762,0.26087059922727096,44.137137456909386,1.3259685177391625,0.3223027217544547,-0.03543619024846726,None,None,0.000814561501878578,0.20526949847340165,8.287200794768859,0.08672163826037704,0.4877182380041889,3390,3389,0.9997050147492625,9779.682539682539
Most Total Trades,MSTR_SPY,SMA,29,32,0,false,false,1,178,1.2113768697759704,50.847457627118644,1.2357735565609433,5.231281250397093,0.7803643303913059,0.662821956697339,19 days 02:42:42.711864405,0.018098746997338183,0.5536137440758294,1.104117298578199,2.8961091993460215,0,6752,6753 days 00:00:00,1000.0,9287.20079476885,828.7200794768851,498.38172760412124,100.0,1597.625545787407,97.03570620207871,5260 days 00:00:00,177,-63.727228509602355,579.544491482966,-60.27741455638513,17.849094424615274,-7.821628929828608,23 days 07:12:00,14 days 18:45:31.034482758,47.18038431230755,0.5065258183995723,0.1319239263435818,1.1361500157202762,0.26087059922727096,44.137137456909386,1.3259685177391625,0.3223027217544547,-0.03543619024846726,None,None,0.000814561501878578,0.20526949847340165,8.287200794768859,0.08672163826037704,0.4877182380041889,3390,3389,0.9997050147492625,9779.682539682539
Mean Win Rate [%],MSTR_SPY,SMA,29,32,0,false,false,1,178,1.2113768697759704,50.847457627118644,1.2357735565609433,5.231281250397093,0.7803643303913059,0.662821956697339,19 days 02:42:42.711864405,0.018098746997338183,0.5536137440758294,1.104117298578199,2.8961091993460215,0,6752,6753 days 00:00:00,1000.0,9287.20079476885,828.7200794768851,498.38172760412124,100.0,1597.625545787407,97.03570620207871,5260 days 00:00:00,177,-63.727228509602355,579.544491482966,-60.27741455638513,17.849094424615274,-7.821628929828608,23 days 07:12:00,14 days 18:45:31.034482758,47.18038431230755,0.5065258183995723,0.1319239263435818,1.1361500157202762,0.26087059922727096,44.137137456909386,1.3259685177391625,0.3223027217544547,-0.03543619024846726,None,None,0.000814561501878578,0.20526949847340165,8.287200794768859,0.08672163826037704,0.4877182380041889,3390,3389,0.9997050147492625,9779.682539682539
Most Best Trade [%],MSTR_SPY,SMA,29,32,0,false,false,1,178,1.2113768697759704,50.847457627118644,1.2357735565609433,5.231281250397093,0.7803643303913059,0.662821956697339,19 days 02:42:42.711864405,0.018098746997338183,0.5536137440758294,1.104117298578199,2.8961091993460215,0,6752,6753 days 00:00:00,1000.0,9287.20079476885,828.7200794768851,498.38172760412124,100.0,1597.625545787407,97.03570620207871,5260 days 00:00:00,177,-63.727228509602355,579.544491482966,-60.27741455638513,17.849094424615274,-7.821628929828608,23 days 07:12:00,14 days 18:45:31.034482758,47.18038431230755,0.5065258183995723,0.1319239263435818,1.1361500157202762,0.26087059922727096,44.137137456909386,1.3259685177391625,0.3223027217544547,-0.03543619024846726,None,None,0.000814561501878578,0.20526949847340165,8.287200794768859,0.08672163826037704,0.4877182380041889,3390,3389,0.9997050147492625,9779.682539682539
Least Avg Winning Trade Duration,MSTR_SPY,SMA,29,32,0,false,false,1,178,1.2113768697759704,50.847457627118644,1.2357735565609433,5.231281250397093,0.7803643303913059,0.662821956697339,19 days 02:42:42.711864405,0.018098746997338183,0.5536137440758294,1.104117298578199,2.8961091993460215,0,6752,6753 days 00:00:00,1000.0,9287.20079476885,828.7200794768851,498.38172760412124,100.0,1597.625545787407,97.03570620207871,5260 days 00:00:00,177,-63.727228509602355,579.544491482966,-60.27741455638513,17.849094424615274,-7.821628929828608,23 days 07:12:00,14 days 18:45:31.034482758,47.18038431230755,0.5065258183995723,0.1319239263435818,1.1361500157202762,0.26087059922727096,44.137137456909386,1.3259685177391625,0.3223027217544547,-0.03543619024846726,None,None,0.000814561501878578,0.20526949847340165,8.287200794768859,0.08672163826037704,0.4877182380041889,3390,3389,0.9997050147492625,9779.682539682539
Most Total Return [%],MSTR_SPY,SMA,40,60,0,false,false,0,61,1.0849555338093846,50.81967213114754,1.5856009140429315,12.022182748592234,0.7912729448273551,0.7968505673618062,56 days 09:02:57.049180327,0.006237421281568526,0.18972156398104265,0.3794431279620853,2.280867313528829,0,6752,6753 days 00:00:00,1000.0,9955.174900082224,895.5174900082224,498.38172760412124,100.0,307.3235932963104,97.97233764675653,6311 days 00:00:00,61,0.0,388.022623075167,-60.90459916968408,37.963154869087276,-14.783488442585977,78 days 13:56:07.741935484,33 days 10:23:59.999999999,146.80614590298723,0.5124278734385836,0.13499310987616348,1.1368462291087063,0.31148259977118375,44.086672400232615,1.2372359915837006,0.3301162103604491,-0.03607132867275756,None,None,0.0008225242024285542,0.20727609901199567,8.955174900082241,0.08954190711376375,0.48681353358383445,3439,3439,1.0,9779.682539682539
Most Avg Winning Trade [%],MSTR_SPY,SMA,40,60,0,false,false,0,61,1.0849555338093846,50.81967213114754,1.5856009140429315,12.022182748592234,0.7912729448273551,0.7968505673618062,56 days 09:02:57.049180327,0.006237421281568526,0.18972156398104265,0.3794431279620853,2.280867313528829,0,6752,6753 days 00:00:00,1000.0,9955.174900082224,895.5174900082224,498.38172760412124,100.0,307.3235932963104,97.97233764675653,6311 days 00:00:00,61,0.0,388.022623075167,-60.90459916968408,37.963154869087276,-14.783488442585977,78 days 13:56:07.741935484,33 days 10:23:59.999999999,146.80614590298723,0.5124278734385836,0.13499310987616348,1.1368462291087063,0.31148259977118375,44.086672400232615,1.2372359915837006,0.3301162103604491,-0.03607132867275756,None,None,0.0008225242024285542,0.20727609901199567,8.955174900082241,0.08954190711376375,0.48681353358383445,3439,3439,1.0,9779.682539682539
Most Expectancy,MSTR_SPY,SMA,40,60,0,false,false,0,61,1.0849555338093846,50.81967213114754,1.5856009140429315,12.022182748592234,0.7912729448273551,0.7968505673618062,56 days 09:02:57.049180327,0.006237421281568526,0.18972156398104265,0.3794431279620853,2.280867313528829,0,6752,6753 days 00:00:00,1000.0,9955.174900082224,895.5174900082224,498.38172760412124,100.0,307.3235932963104,97.97233764675653,6311 days 00:00:00,61,0.0,388.022623075167,-60.90459916968408,37.963154869087276,-14.783488442585977,78 days 13:56:07.741935484,33 days 10:23:59.999999999,146.80614590298723,0.5124278734385836,0.13499310987616348,1.1368462291087063,0.31148259977118375,44.086672400232615,1.2372359915837006,0.3301162103604491,-0.03607132867275756,None,None,0.0008225242024285542,0.20727609901199567,8.955174900082241,0.08954190711376375,0.48681353358383445,3439,3439,1.0,9779.682539682539
Most Sharpe Ratio,MSTR_SPY,SMA,40,60,0,false,false,0,61,1.0849555338093846,50.81967213114754,1.5856009140429315,12.022182748592234,0.7912729448273551,0.7968505673618062,56 days 09:02:57.049180327,0.006237421281568526,0.18972156398104265,0.3794431279620853,2.280867313528829,0,6752,6753 days 00:00:00,1000.0,9955.174900082224,895.5174900082224,498.38172760412124,100.0,307.3235932963104,97.97233764675653,6311 days 00:00:00,61,0.0,388.022623075167,-60.90459916968408,37.963154869087276,-14.783488442585977,78 days 13:56:07.741935484,33 days 10:23:59.999999999,146.80614590298723,0.5124278734385836,0.13499310987616348,1.1368462291087063,0.31148259977118375,44.086672400232615,1.2372359915837006,0.3301162103604491,-0.03607132867275756,None,None,0.0008225242024285542,0.20727609901199567,8.955174900082241,0.08954190711376375,0.48681353358383445,3439,3439,1.0,9779.682539682539
Most Calmar Ratio,MSTR_SPY,SMA,40,60,0,false,false,0,61,1.0849555338093846,50.81967213114754,1.5856009140429315,12.022182748592234,0.7912729448273551,0.7968505673618062,56 days 09:02:57.049180327,0.006237421281568526,0.18972156398104265,0.3794431279620853,2.280867313528829,0,6752,6753 days 00:00:00,1000.0,9955.174900082224,895.5174900082224,498.38172760412124,100.0,307.3235932963104,97.97233764675653,6311 days 00:00:00,61,0.0,388.022623075167,-60.90459916968408,37.963154869087276,-14.783488442585977,78 days 13:56:07.741935484,33 days 10:23:59.999999999,146.80614590298723,0.5124278734385836,0.13499310987616348,1.1368462291087063,0.31148259977118375,44.086672400232615,1.2372359915837006,0.3301162103604491,-0.03607132867275756,None,None,0.0008225242024285542,0.20727609901199567,8.955174900082241,0.08954190711376375,0.48681353358383445,3439,3439,1.0,9779.682539682539
