Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Most Total Return [%],MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Total Fees Paid,MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Least Avg Winning Trade [%],MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Sharpe Ratio,MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Calmar Ratio,MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Omega Ratio,MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Sortino Ratio,MSTR_SPY,EMA,11,12,0,false,false,1,149,3.3205885280642113,38.513513513513516,1.8042673059682082,7.297431522373691,1.3266072764574304,69.72779194284216,23 days 10:32:25.945945945,0.015133415568395769,0.4634182464454976,0.9237263033175356,3.381762919654514,0,6752,6753 days 00:00:00,1000.0,353494.3913809852,35249.439138098525,498.38172760412124,100.0,19255.24266992545,89.82462849425465,2404 days 00:00:00,148,9371.51066033123,300.7690039230465,-30.081287342619323,29.61980497969491,-6.684714489354983,43 days 16:25:15.789473684,10 days 18:11:52.087912088,2318.397842707119,0.8317498991381597,0.4154988264898335,1.2398298764543008,0.6067207552178636,47.653670189571066,1.4073349158100783,0.3351126927639383,-0.03355402002678738,None,None,0.0013887546088215469,0.34996616142302983,352.4943913809817,0.24479360605097122,0.5063833983100747,3471,3470,0.9997118985883031,9779.682539682539
Most Total Trades,MSTR_SPY,EMA,10,13,0,false,false,1,151,3.1492299419058774,38.0,1.7935087018233231,7.17905062197291,1.3215730545133504,67.25139636074616,23 days 03:11:59.999999999,0.0153379211841849,0.4696386255924171,0.9361670616113744,3.3715594671617444,0,6752,6753 days 00:00:00,1000.0,341152.48829662305,34015.248829662305,498.38172760412124,100.0,18795.18270083095,89.82462849425465,2404 days 00:00:00,150,9044.313739689765,300.7690039230467,-30.081287342619323,29.688149870544216,-6.61684891747402,43 days 11:47:22.105263158,10 days 15:44:30.967741935,2207.3878303795555,0.8286173995499863,0.41256511367198134,1.238866389109707,0.6073964196137477,47.67537453308323,1.4115612903677701,0.3345849802371541,-0.033554020026787354,None,None,0.001383375947590602,0.3486107387928317,340.15248829662386,0.24314389857927132,0.5063290842185235,3472,3471,0.9997119815668203,9779.682539682539
Least Win Rate [%],MSTR_SPY,EMA,10,13,0,false,false,1,151,3.1492299419058774,38.0,1.7935087018233231,7.17905062197291,1.3215730545133504,67.25139636074616,23 days 03:11:59.999999999,0.0153379211841849,0.4696386255924171,0.9361670616113744,3.3715594671617444,0,6752,6753 days 00:00:00,1000.0,341152.48829662305,34015.248829662305,498.38172760412124,100.0,18795.18270083095,89.82462849425465,2404 days 00:00:00,150,9044.313739689765,300.7690039230467,-30.081287342619323,29.688149870544216,-6.61684891747402,43 days 11:47:22.105263158,10 days 15:44:30.967741935,2207.3878303795555,0.8286173995499863,0.41256511367198134,1.238866389109707,0.6073964196137477,47.67537453308323,1.4115612903677701,0.3345849802371541,-0.033554020026787354,None,None,0.001383375947590602,0.3486107387928317,340.15248829662386,0.24314389857927132,0.5063290842185235,3472,3471,0.9997119815668203,9779.682539682539
Most Avg Losing Trade [%],MSTR_SPY,EMA,10,13,0,false,false,1,151,3.1492299419058774,38.0,1.7935087018233231,7.17905062197291,1.3215730545133504,67.25139636074616,23 days 03:11:59.999999999,0.0153379211841849,0.4696386255924171,0.9361670616113744,3.3715594671617444,0,6752,6753 days 00:00:00,1000.0,341152.48829662305,34015.248829662305,498.38172760412124,100.0,18795.18270083095,89.82462849425465,2404 days 00:00:00,150,9044.313739689765,300.7690039230467,-30.081287342619323,29.688149870544216,-6.61684891747402,43 days 11:47:22.105263158,10 days 15:44:30.967741935,2207.3878303795555,0.8286173995499863,0.41256511367198134,1.238866389109707,0.6073964196137477,47.67537453308323,1.4115612903677701,0.3345849802371541,-0.033554020026787354,None,None,0.001383375947590602,0.3486107387928317,340.15248829662386,0.24314389857927132,0.5063290842185235,3472,3471,0.9997119815668203,9779.682539682539
